GeneInstanceType,GenomicEndPosition,GeneLabel,ChromosomeLocation,GeneDbId,GeneSubclass,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
1,8079661,106,2,106,1,4,8,8078567,0
1,11072966,143,2,143,1,4,8,11071767,0
1,399424,2,2,2,1,4,8,398357,1
1,7317315,95,2,95,1,4,8,7316389,0
0,13676580,185,2,185,0,4,3,13675672,0
0,12922778,167,2,167,0,4,1,12921741,1
1,10043962,124,2,124,1,4,8,10042970,1
0,1070261,10,2,10,0,4,7,1069203,1
0,650633,5,2,5,0,4,1,649602,1
1,15869900,219,2,219,1,4,8,15868737,0
0,2618113,26,2,26,0,4,1,2617085,0
0,1075153,11,2,11,0,4,3,1074146,1
0,10690268,135,2,135,0,4,1,10689213,0
1,14736174,194,2,194,1,4,2,14735137,1
1,3870901,50,2,50,1,4,8,3869591,1
1,12752736,164,2,164,1,4,8,12751600,1
0,6024898,81,2,81,0,4,3,6023867,0
1,6052501,82,2,82,1,4,8,6051458,1
0,11908845,156,2,156,0,4,3,11907763,0
0,11795184,151,2,151,0,4,3,11794162,1
0,11839496,153,2,153,0,4,1,11838489,0
0,1091068,13,2,13,0,4,1,1090040,1
0,6552221,87,2,87,0,4,1,6551190,1
0,12776244,166,2,166,0,4,1,12775180,0
0,4661896,60,2,60,0,4,1,4660850,1
0,12024392,159,2,159,0,3,1,12023694,0
1,5610557,71,2,71,1,4,8,5609394,1
0,10697961,136,2,136,0,4,3,10696900,0
0,3201152,41,2,41,0,4,1,3200130,0
1,11821242,152,2,152,1,4,8,11820139,1
1,12975701,169,2,169,1,4,2,12974564,0
1,2623678,27,2,27,1,4,2,2622551,0
0,14061641,188,2,188,0,4,3,14060619,0
0,5529268,67,2,67,0,4,1,5528171,0
0,3396906,42,2,42,0,4,1,3395821,0
0,6186983,84,2,84,0,1,1,6186102,1
1,8558806,109,2,109,1,4,8,8557664,1
0,11027091,139,2,139,0,0,1,11026060,1
0,9079565,115,2,115,0,4,1,9078525,1
1,2062955,21,2,21,1,4,8,2061858,0
0,15249720,203,2,203,0,4,1,15248707,0
0,4217830,57,2,57,0,4,3,4216805,0
1,11636458,150,2,150,1,4,2,11635427,1
1,7318448,96,2,96,1,4,2,7317402,0
1,14268702,191,2,191,1,9,2,14267807,1
1,6854082,88,2,88,1,4,8,6852934,1
1,15293907,206,2,206,1,4,2,15292789,0
0,6354597,85,2,85,0,0,1,6354109,1
1,11033475,140,2,140,1,4,8,11032478,0
0,6544562,86,2,86,0,4,3,6543552,1
1,10169864,127,2,127,1,4,2,10168681,1
0,3909879,51,2,51,0,4,3,3908887,1
0,10611003,131,2,131,0,4,3,10610206,1
1,7781,223,1,223,1,2,6,6699,0
0,5873017,77,2,77,0,4,3,5871956,1
0,4198138,56,2,56,0,7,3,4197374,0
1,6860436,89,2,89,1,9,2,6859351,1
0,13238507,175,2,175,0,4,3,13237458,1
0,9110101,117,2,117,0,4,1,9109139,1
0,5572292,70,2,70,0,7,1,5571425,0
0,7187489,94,2,94,0,4,3,7186437,1
1,15463627,210,2,210,1,4,8,15462293,1
0,11044403,142,2,142,0,0,3,11043360,0
0,13471047,179,2,179,0,4,1,13469977,1
0,6876412,90,2,90,0,4,3,6875396,0
0,15548039,214,2,214,0,4,3,15547005,1
0,4189414,55,2,55,0,4,1,4188470,0
0,8103004,107,2,107,0,4,3,8101955,0
0,1968691,20,2,20,0,4,3,1967645,1
0,13487826,180,2,180,0,4,1,13486831,1
0,12668918,163,2,163,0,4,1,12667941,0
0,14803568,195,2,195,0,4,1,14802528,1
0,9111286,118,2,118,0,3,1,9110645,1
1,10175978,128,2,128,1,4,2,10174812,1
0,10063828,125,2,125,0,4,1,10062812,1
0,11417113,149,2,149,0,4,1,11416202,1
0,3839108,49,2,49,0,0,3,3838143,1
0,15245981,202,2,202,0,4,3,15245001,0
0,4794170,62,2,62,0,4,3,4793112,0
0,11039441,141,2,141,0,0,1,11038383,0
0,996150,7,2,7,0,4,1,995096,1
0,2610589,24,2,24,0,3,1,2610110,1
0,1948983,19,2,19,0,4,1,1947973,1
1,12986117,170,2,170,1,6,8,12985017,0
0,8611154,110,2,110,0,3,1,8610666,1
0,3159817,37,2,37,0,3,1,3159308,0
0,5566967,69,2,69,0,4,1,5565966,0
1,10865512,137,2,137,1,4,2,10864281,0
0,15381893,207,2,207,0,4,3,15380895,1
0,2675101,30,2,30,0,4,1,2674088,0
0,13656596,182,2,182,0,1,1,13655969,1
0,15734997,217,2,217,0,4,3,15733954,1
0,7990190,104,2,104,0,1,1,7989512,1
0,1530030,17,2,17,0,4,1,1528990,0
1,15617770,215,2,215,1,9,2,15617138,0
0,8548650,108,2,108,0,3,1,8547976,1
1,13261045,176,2,176,1,5,2,13259773,0
0,6795,221,0,221,0,2,0,5740,0
1,14315393,193,2,193,1,4,8,14314118,0
0,5656284,74,2,74,0,4,1,5655262,1
0,13209191,174,2,174,0,4,3,13208058,0
0,13010781,171,2,171,0,4,3,13009759,1
0,5635227,72,2,72,0,4,1,5634100,1
0,2612985,25,2,25,0,4,3,2611942,1
1,3481477,45,2,45,1,4,2,3480417,1
0,9042467,113,2,113,0,4,3,9041418,1
1,11931847,158,2,158,1,4,8,11930744,0
0,10615448,132,2,132,0,4,1,10614405,1
0,12650587,162,2,162,0,0,1,12650045,1
0,972563,6,2,6,0,4,1,971490,1
0,15771876,218,2,218,0,4,3,15770842,1
1,14074478,190,2,190,1,4,5,14073441,1
0,1872491,18,2,18,0,4,1,1871409,1
0,12769646,165,2,165,0,4,3,12768564,1
0,361146,1,2,1,0,4,3,360103,0
0,6976684,92,2,92,0,3,1,6976217,0
0,2221558,22,2,22,0,4,3,2220551,0
0,10679542,134,2,134,0,4,1,10678550,0
1,9956399,122,2,122,1,4,2,9955395,1
1,10868784,138,2,138,1,4,8,10867744,1
0,13149864,172,2,172,0,4,3,13148833,0
0,8078463,105,2,105,0,4,3,8077390,0
0,3487364,46,2,46,0,4,1,3486321,1
0,7988125,103,2,103,0,4,1,7987085,0
1,7499541,97,2,97,1,4,2,7498552,0
0,15486768,212,2,212,0,4,1,15485722,0
0,15261276,204,2,204,0,4,3,15260260,1
0,4009957,52,2,52,0,4,3,4008911,0
0,13934901,186,2,186,0,4,3,13933864,0
0,3823268,48,2,48,0,4,3,3822219,0
0,2827664,32,2,32,0,4,1,2826519,0
0,12497012,161,2,161,0,3,1,12496449,0
1,9245357,119,2,119,1,4,8,9244299,1
0,2667781,29,2,29,0,4,1,2666693,0
0,7128584,93,2,93,0,4,1,7127547,1
0,14293891,192,2,192,0,3,1,14293424,0
0,9100845,116,2,116,0,4,1,9099808,1
0,1324875,16,2,16,0,4,1,1323609,0
0,13641800,181,2,181,0,4,1,13640808,1
0,13431354,178,2,178,0,4,1,13430320,0
0,4520224,59,2,59,0,1,3,4519742,1
1,2664952,28,2,28,1,4,2,2663984,1
0,13192541,173,2,173,0,7,1,13191587,1
0,11897827,155,2,155,0,4,3,11896778,1
0,1066919,9,2,9,0,3,1,1066278,0
0,2860949,33,2,33,0,4,3,2860035,1
0,5560013,68,2,68,0,4,1,5558991,1
