Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,13483838,100,100,1,0,13482798
1,10815148,84,84,2,0,10814110
0,6955492,54,54,1,0,6953756
1,8380600,65,65,2,0,8379902
1,9240256,75,75,5,0,9238329
0,9377132,78,78,5,0,9376461
0,3221626,27,27,5,0,3220494
1,2102690,15,15,11,0,2100093
0,20867515,143,143,1,0,20866022
1,12160930,92,92,8,0,12160046
0,2680808,19,19,16,0,2679423
0,1401408,10,10,1,0,1400647
1,20915947,144,144,1,0,20914958
1,9200825,74,74,5,0,9199485
0,6638754,53,53,4,1,6637225
0,6441604,52,52,2,0,6440312
1,15741,0,0,18,0,14537
0,18735986,133,133,15,0,18734498
0,5430215,43,43,23,0,5429553
0,9310089,76,76,2,0,9309220
1,17401205,123,123,13,1,17399302
1,23649517,155,155,2,0,23648664
1,6362947,51,51,5,0,6361372
1,12665749,96,96,1,0,12664313
0,20479303,141,141,6,1,20477665
1,2737107,20,20,5,0,2736457
0,981427,6,6,5,0,980799
0,3054496,24,24,4,1,3053067
0,2642795,18,18,16,0,2641014
0,3511059,31,31,5,0,3509868
0,14412758,108,108,24,0,14411913
1,23514561,154,154,1,0,23513521
1,15398283,113,113,1,0,15396637
0,4838125,39,39,9,0,4836803
0,12246771,93,93,2,0,12245099
1,18766836,134,134,2,0,18765534
1,7567593,59,59,1,0,7566580
0,3453161,30,30,1,0,3451287
0,18932862,135,135,2,0,18931125
1,7857029,61,61,1,0,7856016
0,13282465,99,99,26,0,13280789
0,2579015,16,16,11,0,2576673
0,14931220,111,111,1,0,14928527
0,11412405,86,86,2,0,11411355
0,13967339,105,105,16,0,13965975
1,34835,165,165,19,0,33567
1,7776355,60,60,1,0,7775540
1,4299137,34,34,4,1,4297472
1,13580138,101,101,2,0,13578653
0,11497432,88,88,2,0,11496159
0,8750931,70,70,1,0,8750116
0,8422594,66,66,3,1,8420066
0,14939089,112,112,5,0,14937890
0,3097194,25,25,1,0,3096508
