Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,SportsTeam,OlympediaPeopleId,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
1,13,69190.0,25740.0,12,,196424.0,4,8,112082.0,1,,21,18,13,12,5,115868.0,38195.0,175.0
1,19,58116.0,22910.0,27,15237.0,170625.0,5,6,99713.0,3,78.0,15,12,10,27,14,81488.0,27111.0,186.0
1,0,43410.0,17901.0,4,33516.0,139783.0,10,18,66795.0,6,70.0,10,17,13,4,15,42590.0,6413.0,189.0
1,7,56436.0,20917.0,21,5649.0,156570.0,6,9,77380.0,4,78.0,12,15,13,21,0,71706.0,9746.0,180.0
1,1,46381.0,18610.0,13,77168.0,137427.0,5,20,71557.0,3,62.0,8,17,3,13,15,63999.0,12474.0,173.0
1,21,83295.0,28377.0,25,84000.0,212377.0,1,0,587366.0,6,62.0,27,17,7,25,11,141854.0,84019.0,171.0
1,17,43388.0,14319.0,17,67673.0,140293.0,14,13,68367.0,0,63.0,6,1,13,18,15,58588.0,2278.0,173.0
1,18,53778.0,21261.0,18,2006.0,174179.0,0,3,78098.0,6,74.0,13,10,13,19,15,70986.0,21855.0,189.0
1,26,6263.0,45.0,22,247878.0,140855.0,1,26,24166.0,6,70.0,0,5,0,22,15,4177.0,174.0,179.0
1,2,,26409.0,26,,193912.0,11,23,148777.0,6,,24,14,13,26,6,96575.0,44537.0,179.0
1,22,39842.0,12843.0,19,1311517.0,140292.0,3,25,67388.0,9,58.0,7,4,9,20,15,57418.0,2276.0,166.0
0,15,48143.0,21971.0,16,205449.0,168754.0,9,10,79462.0,6,,14,0,11,16,15,64280.0,16672.0,184.0
2,10,19255.0,3891.0,8,508772.0,140196.0,15,4,32532.0,2,71.0,1,11,1,8,15,11292.0,716.0,183.0
1,9,69332.0,25704.0,7,,181190.0,5,27,112353.0,3,73.0,20,24,13,7,4,105160.0,37717.0,190.0
1,4,,23403.0,11,6736.0,182517.0,15,11,99665.0,2,58.0,16,25,13,11,7,95077.0,27295.0,173.0
1,5,11009.0,5139.0,3,188233.0,140904.0,9,7,55131.0,6,65.0,3,13,5,3,15,27924.0,581.0,183.0
1,16,104375.0,,20,,273882.0,2,15,,6,,28,11,13,17,13,185469.0,181011.0,
1,27,,27715.0,14,,194388.0,1,14,149501.0,6,,25,3,13,14,10,88265.0,5515.0,
1,8,19630.0,10023.0,6,28543.0,140233.0,7,5,54679.0,5,61.0,4,22,13,6,15,22431.0,794.0,175.0
1,24,71935.0,28298.0,2,,192457.0,7,1,98774.0,5,66.0,26,20,13,2,12,114071.0,45987.0,176.0
1,12,66232.0,23948.0,10,,176305.0,0,17,109829.0,6,,19,2,13,10,2,81941.0,37446.0,175.0
1,3,,24316.0,1,,181239.0,12,28,97280.0,7,67.0,17,9,12,1,8,104872.0,37281.0,186.0
1,20,56041.0,20719.0,24,127549.0,174582.0,13,24,88889.0,8,65.0,5,21,6,24,15,72449.0,18655.0,177.0
1,14,65469.0,24924.0,15,,186507.0,8,21,109737.0,6,,22,16,13,15,9,120486.0,38481.0,202.0
1,28,54848.0,20156.0,23,12312.0,132359.0,5,19,86812.0,3,64.0,11,6,13,23,15,67163.0,15752.0,180.0
1,6,62573.0,23503.0,5,54522.0,181270.0,3,22,92264.0,9,63.0,18,23,8,5,1,91205.0,27124.0,174.0
1,25,3083.0,3366.0,28,24074.0,140270.0,0,12,30329.0,2,63.0,2,7,2,28,15,15181.0,568.0,175.0
1,23,56666.0,18975.0,0,32176.0,133024.0,15,2,70590.0,2,58.0,9,19,4,0,15,65132.0,20147.0,172.0
1,11,69878.0,26378.0,9,,206876.0,3,16,162777.0,6,,23,8,13,9,3,118440.0,61639.0,168.0
