Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,SportsTeam,OlympediaPeopleId,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
0,22,30026.0,7147.0,25,140921.0,140611.0,0,14,57601.0,2,62.0,1,4,6,25,17,32008.0,563.0,172.0
0,4,69634.0,26526.0,27,5000.0,194619.0,12,13,149727.0,7,66.0,24,16,16,27,4,115790.0,45992.0,176.0
0,1,46381.0,18610.0,13,77168.0,137427.0,5,25,71557.0,3,62.0,12,20,8,13,17,63999.0,12474.0,173.0
0,30,58050.0,20184.0,31,,135591.0,1,30,89133.0,1,72.5,10,22,18,31,17,71225.0,19274.0,173.0
0,5,47686.0,17534.0,12,8603.0,140333.0,13,18,59773.0,8,72.0,7,17,11,22,17,37589.0,2325.0,183.0
0,20,58116.0,22910.0,26,15237.0,170625.0,5,7,99713.0,3,78.0,19,15,13,26,16,81488.0,27111.0,186.0
0,16,,27653.0,1,9263.0,203488.0,11,28,155023.0,6,,26,25,15,1,9,121435.0,66973.0,185.0
0,26,56672.0,22018.0,28,52940.0,168758.0,14,10,86735.0,2,,18,9,14,28,17,74063.0,16639.0,183.0
0,7,,29474.0,3,,215760.0,4,2,638202.0,6,,29,7,17,3,10,149604.0,92666.0,184.0
0,24,,,15,,217126.0,6,3,361755.0,4,,30,21,18,15,13,150617.0,96135.0,185.0
0,31,11585.0,1994.0,32,569371.0,140778.0,7,17,28378.0,5,65.0,0,1,0,32,17,13069.0,133.0,181.0
0,11,,22005.0,6,,135527.0,1,4,93662.0,6,,8,14,18,6,3,78283.0,28169.0,184.0
0,25,39842.0,12843.0,19,1311517.0,140292.0,2,29,67388.0,8,58.0,6,3,10,19,17,57418.0,2276.0,166.0
0,27,,16636.0,5,,138290.0,8,1,65007.0,6,72.0,9,1,18,5,17,52713.0,6234.0,183.0
0,3,,31598.0,14,,240123.0,15,22,361433.0,6,,32,11,18,14,12,148738.0,102733.0,183.0
0,6,8760.0,4179.0,0,42225.0,140749.0,11,26,32691.0,6,78.0,4,4,3,0,17,19407.0,406.0,181.0
0,8,69983.0,27153.0,4,,208878.0,5,19,98323.0,3,,23,6,18,4,8,126230.0,51244.0,180.0
0,17,61866.0,23334.0,18,160840.0,185156.0,2,21,97634.0,8,65.0,16,1,7,18,17,100717.0,35077.0,170.0
1,15,19255.0,3891.0,9,508772.0,140196.0,14,5,32532.0,2,71.0,3,12,2,10,17,11292.0,716.0,183.0
0,21,83295.0,28377.0,24,84000.0,212377.0,1,0,587366.0,6,62.0,28,20,9,24,6,141854.0,84019.0,171.0
0,19,90917.0,,21,,244546.0,3,11,592388.0,0,,31,24,18,8,17,161635.0,,
0,14,16313.0,3333.0,10,134950.0,140752.0,1,16,44513.0,1,74.0,2,4,4,11,17,18746.0,150.0,181.0
0,23,,,8,,194640.0,7,15,149698.0,5,,25,2,18,9,11,144344.0,46012.0,188.0
0,12,65688.0,24926.0,7,465450.0,198937.0,2,31,95844.0,8,60.0,20,8,18,7,2,100412.0,58275.0,175.0
0,2,,27716.0,30,1122.0,209286.0,10,8,109481.0,6,68.0,27,19,18,30,7,111158.0,78129.0,190.0
0,0,47885.0,18123.0,16,21399.0,139801.0,9,32,68832.0,6,71.0,11,23,5,16,17,58401.0,6309.0,179.0
0,18,62142.0,22703.0,20,5158.0,164943.0,5,9,88833.0,3,72.0,17,5,18,20,1,77956.0,20448.0,177.0
0,29,54848.0,20156.0,23,12312.0,132359.0,5,23,86812.0,3,64.0,14,6,18,23,17,67163.0,15752.0,180.0
0,9,52116.0,19994.0,11,21760.0,132360.0,5,20,75170.0,3,55.0,13,13,12,12,15,67513.0,10990.0,173.0
1,13,23014.0,7606.0,2,95405.0,140501.0,14,24,45633.0,2,68.0,5,12,1,2,17,20340.0,828.0,179.0
0,10,56436.0,20917.0,22,5649.0,156570.0,6,12,77380.0,4,78.0,15,18,18,21,0,71706.0,9746.0,180.0
0,28,,25867.0,29,,189901.0,5,6,102022.0,3,,21,0,18,29,5,115709.0,39293.0,
0,32,,28564.0,17,,202649.0,6,27,157662.0,4,,22,10,18,17,14,142225.0,65463.0,187.0
