StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
1,407549,143,11,406749
1,643595,19,11,642765
0,316903,136,29,315689
0,190939,254,0,189335
1,2187940,195,24,2187290
0,1188618,206,37,1187623
1,13960,17,2,13361
1,432941,216,0,432381
1,992655,224,11,991897
0,1745136,203,16,1744339
0,462427,183,11,461594
0,1049347,138,15,1048619
1,25566,239,0,24859
0,313057,152,16,312338
0,4472,229,22,3321
0,1057942,137,21,1056725
1,15410,240,2,14340
0,265338,260,28,264103
0,1047,2,25,259
1,1222996,114,16,1222181
0,1588977,129,37,1588012
1,12897,8,0,11857
1,997273,225,11,996476
0,1062126,210,23,1060936
1,363876,163,0,363610
1,1075329,5,1,1075195
0,261357,61,0,260583
1,33929,176,20,32910
1,1564778,76,16,1564014
1,724125,98,37,723133
0,231201,259,32,230431
0,445921,22,2,445157
1,5205,105,2,4201
0,13702,29,2,12743
1,227094,23,1,226831
1,2202990,67,24,2202343
0,77977,43,11,77144
1,1905082,71,11,1904309
0,2162466,68,11,2161639
1,537352,91,21,536177
1,11189,50,22,10047
0,603523,101,33,602549
1,1790,11,2,1116
1,884301,144,2,883339
0,1639752,130,19,1638709
0,153559,247,36,152606
1,26139,30,11,25351
0,1604402,198,17,1603254
1,750678,159,24,750031
0,277578,85,11,276769
1,1592913,77,40,1591840
1,365512,38,22,364310
0,25842,212,2,24370
1,1675,227,11,854
1,375903,37,20,374896
0,1153229,252,21,1151997
1,712890,95,18,712129
0,492438,215,21,491209
0,297062,82,21,295851
1,826530,16,18,825718
0,1474427,53,32,1473666
0,387281,14,22,386064
0,779639,99,2,778437
0,822069,220,18,821287
0,38006,211,11,37197
0,290434,83,2,289571
0,497406,36,2,496306
1,499594,262,33,498617
0,41345,81,39,40839
0,285745,84,11,284939
1,2521,117,2,1283
1,1131697,178,2,1130438
0,301271,154,18,300510
1,987733,121,0,987176
1,599280,217,11,598465
1,8024,103,4,6789
0,1218003,115,0,1217665
