GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,FIRST_NAME,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_SURNAME,BIOGRAPHICAL_NOTE,BIRTH_DATE
1,75,17,3,17,6,0,0,11,30
0,28,53,4,17,44,0,1,11,79
1,3,31,3,15,53,0,0,11,69
1,59,37,3,27,26,0,0,11,27
0,79,62,4,10,75,0,1,11,41
0,47,42,4,3,80,0,1,11,46
0,38,41,4,15,74,0,1,11,84
1,64,10,4,2,82,0,1,11,40
1,55,47,3,9,16,0,0,10,67
1,47,13,4,15,86,0,1,9,0
1,23,34,3,3,17,2,0,11,55
1,4,39,3,0,64,0,0,11,73
1,71,22,3,15,33,0,0,11,45
1,78,76,3,8,36,0,0,11,56
1,25,2,4,13,43,0,1,11,59
0,47,51,4,15,79,0,1,11,70
0,35,81,4,7,77,0,1,13,38
0,66,71,4,14,2,0,1,11,6
0,30,73,4,17,56,0,0,11,14
1,15,27,3,23,61,0,0,4,17
1,74,6,3,6,23,0,0,3,12
1,69,18,4,10,76,0,1,11,81
0,60,58,4,1,11,0,1,11,18
1,72,19,3,15,52,0,0,11,80
0,43,74,4,9,46,0,1,11,42
0,31,83,6,6,63,0,0,13,9
1,17,35,3,9,41,0,0,11,51
0,61,85,4,0,27,0,1,11,66
0,45,69,4,25,24,0,1,11,54
1,68,33,3,9,14,0,0,11,48
0,0,26,4,14,0,0,1,11,4
0,41,49,4,1,67,0,1,11,11
0,70,54,4,13,28,0,1,11,71
1,22,4,3,1,12,0,0,11,39
1,1,84,3,22,39,1,0,11,24
0,47,52,4,8,65,0,1,11,32
1,11,8,3,3,49,0,0,7,49
1,47,38,3,18,78,0,0,11,63
0,47,63,4,17,85,0,1,11,75
1,9,20,3,11,47,0,0,11,36
1,65,77,3,4,72,1,0,15,15
0,24,1,4,5,3,0,1,11,7
1,73,21,3,22,45,0,0,0,2
0,58,72,4,21,25,0,1,11,33
0,18,80,4,7,66,0,1,12,28
0,53,59,1,14,35,0,0,11,5
0,54,68,4,17,14,0,1,11,58
0,46,40,4,3,20,0,1,11,31
1,76,25,3,5,30,0,0,11,37
1,49,28,3,15,22,0,0,6,22
0,47,43,4,20,8,0,1,11,52
1,47,7,3,15,86,0,0,11,34
0,39,60,4,13,58,0,1,11,66
1,5,75,4,26,59,0,1,11,74
0,40,45,4,11,73,0,1,11,19
0,36,85,4,24,55,0,1,11,25
1,14,30,3,12,71,0,0,11,44
1,20,11,3,13,37,0,0,11,53
1,47,32,3,17,19,0,0,11,83
0,44,65,4,9,21,0,1,11,64
1,12,14,3,26,54,0,0,11,47
0,42,85,4,17,51,0,1,11,65
1,8,12,3,9,48,0,0,11,78
0,48,70,4,5,38,0,1,11,20
1,6,24,3,8,69,0,0,11,62
1,2,29,3,26,70,0,0,11,60
0,62,66,4,9,15,0,1,11,72
1,51,15,3,14,1,0,0,1,3
1,10,5,3,14,68,0,0,11,61
0,50,67,4,9,18,0,1,11,57
1,63,78,3,7,42,0,0,16,13
1,77,23,0,11,9,0,0,11,26
1,19,16,3,2,4,0,0,11,23
1,16,79,3,2,13,1,0,8,16
1,26,3,3,10,29,0,0,11,35
0,32,64,4,0,83,0,1,11,82
0,56,57,4,25,34,0,1,11,43
0,57,61,4,17,7,0,1,11,41
0,37,85,4,17,84,0,1,11,68
0,47,48,4,15,81,0,1,11,29
0,33,46,2,26,62,0,0,11,50
1,7,0,3,11,50,0,0,2,8
1,13,9,3,10,60,0,0,11,76
0,29,50,4,15,32,0,1,11,85
0,52,56,4,19,31,0,1,11,10
1,67,82,5,16,57,0,0,14,1
0,34,55,4,13,40,0,1,11,77
1,27,36,4,15,10,0,1,5,21
0,21,44,4,4,5,0,1,11,31
