Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Twitter_Username,Birthplace,Uci_Rider_Id,Weight_Kg,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Sport_Country
0,3,69634.0,26526,6,9,194619,2,5,149727,66.0,5,4,7,9,115790,45992,176.0,6
0,10,51513.0,17627,7,10,135523,3,3,78566,60.0,1,0,1,10,60103,6104,183.0,1
0,0,57256.0,23463,5,8,189196,1,6,89712,72.0,2,5,6,5,72654,34624,180.0,0
1,6,41102.0,13411,0,2,140510,1,8,65478,,9,5,3,2,37695,6223,,4
0,8,17747.0,1992,0,3,140399,4,7,31056,63.0,7,5,9,3,11476,486,175.0,3
0,1,58206.0,20196,0,1,161575,1,0,77425,63.0,0,5,4,1,73120,20466,172.0,3
0,4,19249.0,4898,0,0,140156,1,9,30344,63.0,2,5,8,0,17293,7760,178.0,0
0,9,58116.0,22910,4,7,170625,7,2,99713,78.0,3,2,6,8,81488,27111,186.0,4
0,5,61640.0,21812,2,4,170183,5,1,97091,58.0,4,3,2,4,91127,20384,176.0,3
0,2,43386.0,14310,3,6,140509,6,10,53804,62.0,6,1,5,7,36343,3991,173.0,5
0,7,56436.0,20917,1,5,156570,0,4,77380,78.0,8,5,0,6,71706,9746,180.0,2
