StrandOrientation,GenomicStartPosition,GenomicEndPosition,GeneDbId
1,389704,391137,85
1,266289,267266,50
1,272725,273888,84
0,218687,220225,37
1,585768,587198,69
1,1157,2377,103
1,1381346,1381990,67
1,359730,360740,118
1,367493,368482,28
1,2075,3259,101
0,2106,2882,65
1,440959,441837,112
0,430644,431585,89
1,603339,604409,96
1,13402,14514,79
0,761364,762518,23
0,216422,217615,120
0,552546,553985,24
0,1824,2612,3
0,689499,690506,66
0,244757,245389,39
1,85631,86161,13
1,545914,547086,18
1,1252076,1253659,43
0,704282,705562,22
0,306750,307709,75
0,116032,117411,119
0,448939,449733,1
0,625132,626457,20
1,372953,373963,27
1,506107,507159,92
1,574721,575815,95
1,530381,531481,17
1,668569,669822,42
0,315237,316139,29
1,271751,272650,49
0,975470,976612,61
1,500910,502004,91
0,28731,29669,78
1,19538,20974,80
1,624448,625575,98
1,1127086,1127958,106
0,1796725,1798125,74
0,461756,463276,59
0,436220,437122,86
0,1952,2899,108
1,1972075,1973004,46
1,513729,514925,15
0,399113,400165,2
1,1026155,1027129,100
1,315128,315559,117
0,514066,514203,113
1,746270,747400,60
1,1904098,1905561,47
1,228501,229688,53
1,449385,450224,88
0,262717,263994,8
0,282400,283947,38
1,443839,444750,87
1,1854422,1855873,26
0,517981,518865,114
1,548385,549818,99
0,346477,347997,34
1,27086,28060,81
1,1,714,40
0,922486,924009,56
1,13145,14110,51
0,20600,21643,52
1,1564452,1564652,0
0,621833,622717,35
1,495984,496985,115
1,15559,16755,12
0,16842,17420,32
0,283762,284733,111
0,216889,218013,31
1,495283,496221,90
0,425919,427442,57
1,393,1562,19
0,514307,514924,62
1,18156,19265,76
1,1078741,1080003,105
0,66546,67859,14
1,522144,523271,16
1,317781,318674,63
0,2002453,2003523,73
1,234100,235050,54
1,1861267,1862763,25
1,616619,617521,97
1,2056686,2058209,7
1,62844,64367,64
0,24613,25674,102
0,491759,493306,83
0,317091,317984,107
1,1696570,1698039,4
1,514700,515623,93
1,578298,579257,41
0,1591861,1593162,44
1,211883,212824,55
1,1554660,1556126,72
1,256881,257891,48
1,436782,437723,33
0,2129,3154,82
1,47974,48657,10
1,488107,489099,94
0,23213,24337,77
1,544968,546194,70
1,287549,288343,116
0,7841,9331,11
1,1705558,1706820,5
1,1055425,1056372,104
0,1504257,1505678,21
0,1262121,1263503,71
0,212129,213667,36
1,380409,381686,68
0,7429,8433,109
1,211570,212508,30
0,399232,400752,58
0,1976967,1977944,45
1,196203,197165,9
0,318496,319749,110
0,1678407,1679690,6
