Languages,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Biography,Team_Affiliation,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Last_Name,First_Name,Full_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
8,11,14222.0,47.0,140355.0,18023.0,8,0,6,22860.0,65.0,0,12,12,12,5198.0,202.0,5,178.0,8
1,7,23014.0,7606.0,140501.0,9831.0,1,6,8,45633.0,68.0,8,11,0,0,20340.0,828.0,5,179.0,3
7,8,45487.0,15789.0,133565.0,54574.0,7,8,2,55607.0,72.0,9,8,5,5,62028.0,9234.0,4,183.0,13
2,6,47066.0,16881.0,140633.0,47478.0,10,5,12,59614.0,,12,1,7,7,32178.0,2530.0,5,175.0,10
8,2,19252.0,4888.0,140933.0,13528.0,9,6,0,48399.0,,6,5,1,1,22421.0,294.0,5,175.0,4
1,9,6554.0,3447.0,140784.0,12637.0,11,9,3,30299.0,72.0,7,4,6,6,14463.0,512.0,5,178.0,9
4,5,18417.0,449.0,140547.0,20953.0,11,3,9,14324.0,67.0,1,13,3,3,6643.0,48.0,5,183.0,6
4,0,43386.0,14310.0,140509.0,43346.0,4,7,11,53804.0,62.0,10,7,10,10,36343.0,3991.0,1,173.0,11
6,10,26009.0,12193.0,140797.0,9096.0,6,2,13,54603.0,78.0,11,10,9,9,30229.0,784.0,0,184.0,7
3,1,6036.0,3758.0,140938.0,5726.0,3,4,4,32004.0,62.0,4,3,4,4,20208.0,580.0,5,172.0,2
3,4,22663.0,5789.0,140869.0,12014.0,0,6,5,43936.0,69.0,5,2,2,2,22017.0,713.0,2,186.0,5
5,3,2132.0,606.0,140197.0,4242.0,5,10,10,23149.0,68.0,3,9,8,8,2768.0,557.0,5,178.0,0
2,12,41886.0,13566.0,140495.0,46784.0,2,1,1,64917.0,65.0,13,0,11,11,53957.0,2275.0,3,184.0,12
0,13,8414.0,1382.0,140859.0,6748.0,10,6,7,20718.0,69.0,2,6,13,13,12971.0,402.0,5,182.0,1
