StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,313057,145,145,0,15,312338
1,81801,40,40,0,46,80905
1,15410,226,226,1,39,14340
0,2162466,65,65,0,20,2161639
1,749937,94,94,0,14,749176
1,1088191,237,237,0,19,1087412
1,432941,203,203,1,14,432381
1,497744,120,120,1,15,496932
1,33929,166,166,0,2,32910
0,1422032,55,55,0,20,1421220
1,652441,52,52,1,8,651695
0,402463,86,86,0,5,401243
0,18040,108,108,0,59,16886
1,394684,23,23,0,14,394031
1,1098996,238,238,0,19,1097833
1,663709,105,105,0,19,662936
1,9906,4,4,0,24,8728
1,12258,153,153,0,70,11053
1,2202990,64,64,0,20,2202343
1,937169,156,156,1,19,936387
1,269718,147,147,1,20,269074
1,946792,6,6,0,14,945539
1,4632,135,135,0,33,3406
1,563168,90,90,1,14,561921
1,477748,119,119,1,15,476525
1,749602,56,56,0,20,748862
0,1832,60,60,0,48,591
0,217780,244,244,0,5,216641
1,1034038,239,239,0,19,1032938
0,779639,95,95,1,14,778437
0,10709,218,218,1,79,9531
0,23056,192,192,0,75,22262
1,667923,93,93,1,14,666610
0,497406,34,34,1,4,496306
1,365512,36,36,0,4,364310
0,9985,149,149,0,67,9303
0,4174,29,29,1,43,2966
0,1057942,131,131,0,14,1056725
0,589228,206,206,0,14,588062
1,26139,27,27,0,43,25351
1,182780,42,42,1,12,181743
0,196658,242,242,0,5,195561
0,387281,11,11,0,14,386064
0,1887968,127,127,1,19,1886823
1,1860,160,160,0,71,1114
0,581117,205,205,0,14,580287
0,386514,173,173,0,15,385279
1,599280,204,204,0,14,598465
0,745129,159,159,1,9,744176
0,1428734,54,54,0,20,1428093
1,1921338,125,125,1,19,1920505
0,13702,26,26,1,42,12743
0,1173402,230,230,0,15,1172566
0,210588,243,243,0,5,209491
0,17599,78,78,1,52,16553
0,1049347,132,132,0,14,1048619
0,358168,103,103,0,19,357524
0,1247221,178,178,1,18,1246121
0,878597,141,141,0,14,877761
0,18090,97,97,0,54,17131
0,1778534,129,129,0,19,1777443
0,1193619,231,231,0,15,1192936
1,5205,98,98,1,55,4201
0,177073,106,106,1,21,175745
0,153559,234,234,0,81,152606
0,4472,216,216,0,77,3321
1,979496,116,116,0,20,978543
1,1905082,68,68,0,20,1904309
1,27009,45,45,1,29,25858
0,38006,197,197,0,76,37197
1,1147481,175,175,0,18,1146423
1,226729,43,43,0,12,226322
0,76658,39,39,1,46,76494
1,987733,114,114,0,20,987176
0,914563,155,155,0,19,913814
0,400728,174,174,0,15,399566
1,983808,115,115,0,20,982858
1,493669,121,121,1,15,492404
1,3831,167,167,1,74,3070
0,3587,161,161,1,72,2544
1,10011,38,38,0,45,9199
0,1474427,53,53,0,20,1473666
0,36547,223,223,0,38,35690
1,531335,171,171,0,1,530982
0,462427,172,172,0,15,461594
1,1925877,67,67,1,20,1925107
1,1564778,73,73,0,20,1564014
0,1098330,232,232,0,15,1097515
1,15525,110,110,0,32,14710
1,2102,112,112,1,60,1101
0,1062126,196,196,0,16,1060936
0,705599,92,92,0,14,704769
1,77581,8,8,0,8,76523
0,837722,210,210,0,14,837087
1,1677,76,76,0,50,712
0,272963,214,214,0,15,272211
0,11639,198,198,1,76,10170
1,2187940,184,184,0,19,2187290
0,1471918,181,181,0,18,1470884
1,2879,133,133,0,63,2091
0,12102,220,220,0,36,11231
1,551759,88,88,1,14,550737
1,12897,5,5,0,25,11857
0,863354,140,140,0,14,862533
0,2640,169,169,1,34,1327
1,2049687,187,187,1,19,2048413
0,384191,37,37,0,4,383100
1,323886,158,158,0,11,323095
0,571633,48,48,0,7,570836
0,663114,17,17,1,20,662260
1,826530,13,13,0,19,825718
0,31139,61,61,0,49,29922
0,1229889,177,177,0,18,1228786
1,1222996,107,107,0,20,1222181
0,290434,81,81,1,14,289571
1,1022329,213,213,0,14,1021526
1,36628,46,46,0,29,35402
1,1131697,168,168,1,20,1130438
0,31870,222,222,0,38,31118
1,295086,101,101,1,12,293887
1,941707,7,7,0,14,940901
0,2901,221,221,1,37,1762
0,1588977,122,122,0,18,1588012
0,644758,118,118,0,6,643769
1,17814,235,235,0,81,16873
1,750678,154,154,0,19,750031
0,335,10,10,0,26,3
1,7239,182,182,1,0,5971
0,41030,151,151,1,69,39978
0,19059,165,165,0,73,18244
1,1152958,194,194,1,14,1151783
0,1745136,191,191,0,20,1744339
1,2521,109,109,1,59,1283
0,247509,144,144,0,15,246700
0,684782,57,57,0,20,683826
0,1070767,195,195,0,14,1069991
0,137805,157,157,1,12,136807
1,461022,201,201,0,14,460051
0,1577124,189,189,0,19,1576114
1,11189,50,50,0,47,10047
1,13960,14,14,1,27,13361
0,39296,62,62,0,49,38151
1,375903,35,35,0,4,374896
0,12268,236,236,0,82,10958
1,2097143,190,190,0,20,2096334
0,13009,152,152,0,69,11804
0,550504,49,49,0,7,549704
1,11743,224,224,0,38,10985
0,556235,170,170,1,1,555144
0,1148502,228,228,0,15,1147669
0,381597,15,15,1,10,380962
1,9178,75,75,0,30,8375
0,2155792,185,185,0,19,2155145
0,41345,79,79,1,31,40839
0,29968,163,163,1,73,28721
0,1648331,123,123,0,18,1647294
0,492438,202,202,0,14,491209
0,37518,31,31,0,28,36670
1,1522877,180,180,0,18,1521903
1,178084,111,111,0,17,176870
0,15379,219,219,0,79,14528
0,77977,41,41,0,3,77144
0,617253,207,207,0,14,616495
1,3650,148,148,0,66,2478
1,537352,89,89,0,14,536177
1,35179,44,44,1,13,34406
1,614,51,51,0,47,222
1,1912694,126,126,0,19,1911738
1,287088,100,100,1,12,285889
0,1165493,229,229,0,15,1164663
1,37248,164,164,0,73,35989
1,55904,32,32,1,28,55386
1,1783506,128,128,0,19,1782673
0,432927,247,247,0,5,431740
1,13082,113,113,0,61,12327
0,320234,146,146,0,15,319014
1,827468,209,209,1,14,826311
0,28969,25,25,0,41,28568
0,738,2,2,0,23,1
0,5008,9,9,0,26,4142
1,227094,20,20,0,12,226831
0,14090,63,63,0,49,12945
1,1026,225,225,0,80,841
0,1863,104,104,0,58,1015
1,2029082,21,21,0,20,2027874
0,445921,19,19,1,4,445157
0,247162,12,12,0,14,246347
1,1018268,212,212,0,14,1017216
0,23025,134,134,0,64,22318
1,1675,215,215,0,35,854
0,26635,162,162,1,73,25832
1,2151652,66,66,0,20,2150759
0,2142542,186,186,0,19,2141583
0,392050,87,87,0,12,391007
1,19523,47,47,0,29,18321
0,1687805,70,70,0,20,1687044
0,10624,96,96,0,53,9845
0,255296,142,142,0,15,254511
0,305564,85,85,0,14,304740
0,486743,58,58,0,1,485586
0,277578,83,83,0,14,276769
0,822069,208,208,0,14,821287
0,1047,1,1,0,22,259
1,265814,200,200,0,11,265029
