Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,674303,18,18,3,673725
1,947466,44,44,6,947014
0,587573,72,72,3,586902
1,478865,39,39,3,478194
1,1661430,20,20,1,1660327
0,9043,56,56,3,8369
1,605502,69,69,3,604933
1,1573901,40,40,1,1573260
0,37689,23,23,3,37021
1,4852,25,25,3,4175
0,509037,87,87,3,508240
0,1104782,83,83,3,1104102
1,670988,35,35,3,670362
1,1346554,53,53,4,1345826
1,1154177,67,67,1,1153497
1,1507852,61,61,1,1507205
0,226568,60,60,4,225903
0,1732531,57,57,3,1731896
0,2154696,63,63,3,2154196
0,1153891,12,12,3,1153361
0,1164151,80,80,3,1163459
0,430900,27,27,3,430274
1,23414,75,75,3,22770
0,1142124,79,79,3,1141357
0,1170502,54,54,3,1169873
0,487905,32,32,4,487330
1,1565614,1,1,3,1565111
1,743660,17,17,3,742947
0,40393,26,26,3,39713
0,1064488,68,68,3,1063814
0,475933,70,70,1,475256
0,17347,21,21,3,16595
0,16318,36,36,3,15653
0,905931,43,43,3,905182
1,388745,86,86,4,388080
0,28212,65,65,3,27637
1,1702393,5,5,3,1701380
1,547641,34,34,3,547144
0,10697,77,77,3,10023
0,829209,73,73,1,828511
1,590414,58,58,3,589821
0,136301,84,84,3,135930
1,179239,38,38,3,178622
1,17274,14,14,1,16765
1,430064,9,9,4,429414
1,18257,76,76,1,17595
0,7133,46,46,1,6462
0,17466,31,31,3,16792
0,624606,16,16,3,623983
0,1721960,42,42,4,1721430
0,7796,51,51,3,7137
1,1654501,41,41,1,1653854
1,1832,13,13,1,1149
1,2105453,24,24,3,2104848
0,11162,78,78,3,10509
1,20358,64,64,3,19783
1,1548861,62,62,3,1548016
0,974933,47,47,3,974307
1,1690792,4,4,3,1690151
0,9429,45,45,3,8836
1,840636,6,6,3,840031
0,755,55,55,3,93
0,1091842,81,81,3,1091081
1,4297,74,74,3,3704
0,989314,48,48,1,988862
0,381646,10,10,3,381053
1,5579,85,85,3,4953
0,1192387,82,82,3,1191707
0,405260,3,3,3,404595
0,25270,49,49,3,24593
0,468982,19,19,3,468374
0,1728460,2,2,2,1728161
0,570089,28,28,3,569511
1,524975,59,59,3,524382
0,738855,29,29,3,738181
0,4340,22,22,3,3579
1,5600,52,52,0,4947
1,2529,30,30,5,1873
0,3403,15,15,1,2810
0,71817,11,11,1,71311
0,1266,0,0,3,595
0,490761,71,71,3,490084
0,1682099,8,8,3,1681482
1,7594,7,7,3,6935
1,472195,50,50,3,471323
0,4574,33,33,1,3870
0,1728056,37,37,1,1727928
1,68829,66,66,3,68515
