SportType,StageWinner,StageDate,NextStage,StartLocation,StageNumber,PreviousStage,StageDescription,StageDistanceKm,EndLocation,RaceEvent,StageLabel,StageType
0,10,8,4,15,9,7,2,147.2,3,2,9,3
0,6,14,16,9,8,11,2,106.0,13,4,16,4
0,18,9,5,13,12,3,2,201.0,10,2,4,3
0,17,27,26,11,10,21,2,41.9,20,8,25,6
0,0,0,0,7,0,22,0,,11,0,0,5
0,7,4,6,12,2,2,2,162.7,2,2,5,2
0,5,24,23,3,6,18,2,19.8,13,7,24,6
0,21,13,12,20,0,22,2,7.1,22,4,13,1
0,21,16,14,5,10,13,2,210.7,0,4,14,3
0,19,5,7,9,4,4,2,174.9,9,2,6,3
0,20,11,2,1,2,0,1,181.7,2,1,2,0
0,8,1,10,10,1,22,3,175.4,14,3,10,2
0,21,20,21,3,7,17,2,22.2,13,6,22,6
0,9,2,11,0,2,8,3,134.5,16,3,11,2
0,16,26,24,4,9,20,2,182.2,17,8,27,2
0,8,3,26,8,3,9,3,100.0,12,3,12,4
0,2,25,25,16,8,19,2,96.3,19,8,26,2
0,14,19,20,17,3,16,2,144.6,8,6,21,2
0,1,22,18,6,7,15,1,59.2,4,5,19,3
0,13,10,1,1,1,22,1,29.3,5,1,1,4
0,3,18,19,19,1,22,2,161.5,21,6,20,4
0,11,15,13,2,9,12,2,137.0,1,4,17,3
0,21,21,17,14,5,14,1,16.7,6,5,18,6
0,12,6,8,5,5,5,2,134.6,7,2,7,2
0,4,17,15,19,12,10,2,157.3,18,4,15,2
0,17,7,9,11,7,6,2,41.5,20,2,8,1
0,15,12,3,18,6,1,1,177.7,15,1,3,0
0,21,23,22,20,0,22,2,7.6,22,7,23,1
