Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,1169344,40,0,1158920,0
0,7614,2,0,1030,1
0,609988,156,0,605538,1
0,1211309,161,0,1200861,0
0,71128,80,0,60752,1
1,18759,150,1,8548,1
0,52109,55,0,41772,1
0,18044,36,0,13358,1
0,424181,137,0,413739,0
0,225503,222,0,215040,0
1,1026196,140,1,1015775,0
0,330111,108,0,322282,0
0,458221,50,0,447770,1
0,328819,64,0,318764,0
0,18045,172,0,7588,0
0,83617,100,0,73238,1
1,743366,13,1,733188,0
0,775910,130,0,765552,0
0,22103,169,0,14689,1
0,332104,166,0,321641,0
0,7780,9,0,2,1
0,818767,119,0,810066,0
0,573981,157,0,563530,0
0,459416,61,0,449073,1
1,5380,25,1,2,1
1,214744,10,1,206012,1
0,31572,74,0,21127,1
0,63253,173,0,52823,1
0,286931,190,0,283691,0
0,149649,114,0,143326,0
0,14171,178,0,4392,1
0,11492,31,0,5925,1
0,26884,60,0,16478,1
0,45907,205,0,38978,1
0,13390,159,0,2987,0
0,193120,183,0,183374,0
0,9732,191,0,1,0
1,1233807,176,1,1224493,1
0,62951,93,0,52593,1
0,970184,184,0,959784,1
0,138304,215,0,127910,1
0,13701,151,0,3220,1
0,328850,46,0,318795,0
0,5595,7,0,1,1
0,213628,99,0,203258,0
1,24168,111,1,13795,0
0,31191,120,0,20812,1
0,3034,90,0,2,0
0,347060,219,0,339083,1
1,127990,148,1,117557,1
0,390898,218,0,380639,1
0,60872,206,0,50520,1
0,141214,129,0,130814,1
0,842551,211,0,832124,0
0,475972,76,0,470489,0
0,534898,112,0,529028,1
0,47512,123,0,39092,1
0,2345983,164,0,2335691,0
0,33876,199,0,23431,0
0,2017022,5,0,2011656,0
1,796435,41,1,786038,0
0,908777,37,0,898398,0
1,1020605,200,1,1014285,0
1,25728,92,1,21774,1
0,13163,65,0,2601,0
1,789447,212,1,779023,0
0,7954,192,0,2,0
0,229560,213,0,219184,1
0,1028641,19,0,1018586,0
0,69531,217,0,59128,1
0,5243,68,0,2,0
0,9826,22,0,2831,0
1,12411,132,1,1858,1
0,6482,4,0,3,0
0,78813,196,0,72588,1
0,12312,195,0,7990,1
0,40663,197,0,30197,1
0,24830,101,0,14646,1
0,288082,208,0,277652,0
0,64484,127,0,55971,1
0,127475,170,0,117093,1
0,32850,186,0,28143,1
0,207695,52,0,204667,0
