Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,7608,43,43,101,6745,1
1,391707,126,126,18,391090,1
1,476915,38,38,15,476025,0
0,346408,207,207,52,346178,1
1,216862,127,127,145,214952,0
1,80177,231,231,145,78453,1
1,8014,87,87,95,5234,1
1,557,94,94,64,3,1
0,12665,71,71,18,11931,1
0,346850,206,206,88,346512,1
1,890682,192,192,102,889150,0
0,1130987,148,148,96,1130442,0
1,2216,42,42,11,1884,0
1,56787,224,224,79,55507,1
0,45867,21,21,57,45670,1
1,929,176,176,140,3,0
1,25397,153,153,122,23602,1
1,36817,151,151,122,35931,1
1,578507,188,188,65,577500,0
1,30441,198,198,90,27628,1
1,1839347,133,133,78,1836461,0
0,71748,34,34,26,71398,1
1,122795,35,35,67,121053,0
1,1122061,146,146,112,1121249,0
1,752571,48,48,134,750136,0
1,33312,82,82,130,32212,1
1,17807,29,29,7,16818,1
1,17424,191,191,51,14611,1
1,543960,138,138,108,542011,0
1,23503,235,235,91,21764,1
1,57738,225,225,59,56893,1
0,870832,54,54,30,869711,0
1,12423,129,129,61,10753,1
1,3521,177,177,23,564,0
1,46358,95,95,30,44298,1
1,119855,183,183,12,118959,1
1,351059,66,66,106,348930,0
1,4441,72,72,141,1115,1
0,218,156,156,47,3,0
1,615828,187,187,35,612868,0
1,835,4,4,105,1,0
1,71222,130,130,7,69540,1
1,100170,26,26,145,98553,1
1,76293,27,27,20,74227,1
1,17384,125,125,63,15111,1
1,395,203,203,15,3,1
1,1444050,22,22,111,1442287,0
1,229154,239,239,137,227562,0
1,64517,123,123,24,64071,1
0,747484,169,169,135,746714,0
1,58454,116,116,109,55821,1
1,10805,109,109,142,10074,0
1,805101,144,144,122,802591,0
0,4265,68,68,131,3411,0
1,8105,61,61,101,5802,1
1,42976,229,229,138,42014,1
0,157631,186,186,37,157230,0
1,7838,217,217,21,7741,1
1,794,8,8,46,3,0
0,1231,13,13,103,899,1
1,74182,14,14,75,73355,1
1,2332647,201,201,94,2330257,0
1,114401,65,65,74,112584,1
1,41471,158,158,94,39177,1
0,1415811,19,19,98,1415230,0
1,6985,85,85,61,4031,1
1,74451,230,230,30,72187,1
1,1129891,147,147,8,1128836,0
1,535,6,6,15,1,0
1,11717,178,178,125,11061,0
1,1338938,195,195,111,1337487,0
0,36096,30,30,136,35452,1
1,56420,159,159,1,55923,1
1,20561,121,121,15,20007,1
1,2400,168,168,33,211,0
1,3058,140,140,42,647,0
1,33980,166,166,78,31590,1
1,358301,174,174,56,355485,0
0,202126,79,79,113,201683,0
1,83691,199,199,59,83233,1
1,1034156,76,76,18,1031220,0
1,393196,84,84,128,390821,1
