Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1160395,344,344,56,1159709,0
1,18293,401,401,157,17649,0
0,7200,132,132,25,6637,0
0,55025,356,356,102,54438,0
0,1464254,86,86,98,1463646,0
0,494817,199,199,14,494134,1
0,2016292,326,326,63,2015537,0
0,9057,385,385,92,8128,0
0,4555,130,130,132,3962,0
0,683253,96,96,58,682675,0
1,844685,365,365,114,844098,0
1,112468,398,398,38,111971,0
0,4870,337,337,141,4217,0
0,2682,259,259,132,1954,0
0,158502,17,17,1,158113,0
0,1955674,329,329,161,1955171,0
0,756041,97,97,98,755460,1
0,1368555,306,306,77,1367977,1
0,1487064,90,90,29,1486369,1
1,44362,297,297,123,43754,1
0,265007,253,253,5,264339,0
0,128464,413,413,7,128075,0
0,1921473,106,106,58,1920904,1
0,458814,349,349,101,458125,0
0,316703,368,368,47,316059,0
0,548591,220,220,42,548190,0
0,1604078,114,114,77,1603452,0
0,85370,59,59,78,84681,0
0,17407,256,256,44,16820,0
0,1033564,294,294,168,1032920,0
1,1738968,26,26,42,1738420,0
0,6677,376,376,91,6162,1
0,278070,217,217,158,277438,1
0,1731530,333,333,58,1730895,0
0,515441,202,202,67,514617,0
0,567879,378,378,90,567310,0
0,10321,124,124,44,9749,0
0,1686468,110,110,98,1685914,0
0,7629,224,224,44,6979,0
0,1645,353,353,106,1004,0
0,382637,55,55,158,382086,0
1,807869,23,23,119,807330,1
0,431207,424,424,145,430704,0
0,39701,50,50,44,39237,1
0,307213,254,254,14,306524,0
0,782,44,44,128,129,1
0,1132814,314,314,58,1132212,1
0,36247,70,70,64,35642,1
0,170789,66,66,32,170208,1
0,717564,265,265,124,716974,1
0,1637787,112,112,58,1637185,1
0,269583,417,417,137,268954,0
1,628319,180,180,67,627354,1
0,1932015,105,105,98,1931470,0
0,2027,38,38,73,1341,0
0,1743790,332,332,58,1743146,0
0,521226,203,203,114,520573,0
0,1118634,316,316,153,1117975,1
0,376974,53,53,151,376393,1
0,250738,320,320,158,250097,0
0,1579,2,2,167,1004,1
0,578960,74,74,116,578253,0
0,552848,142,142,164,552180,1
0,52129,260,260,132,51491,0
1,19103,377,377,32,18480,1
0,4829,252,252,39,4128,0
0,603114,233,233,15,602248,1
0,436400,10,10,27,435816,0
0,1148872,407,407,35,1148204,0
1,347837,16,16,9,347313,0
0,1581481,210,210,86,1580900,1
0,1081012,403,403,170,1080440,1
0,15668,341,341,21,15015,0
0,6518,300,300,151,5874,1
0,33001,18,18,48,32291,1
0,527500,426,426,130,526817,1
0,668902,146,146,79,668282,1
0,1995197,212,212,150,1994529,0
0,216763,319,319,144,216122,0
0,596495,157,157,137,595866,0
0,416038,380,380,65,415541,0
1,463493,99,99,81,462885,1
0,14001,391,391,154,13402,1
1,385637,19,19,56,384969,0
0,627298,98,98,85,626603,1
0,1845,386,386,89,1489,1
0,375081,120,120,26,374536,1
0,1473130,85,85,28,1472456,0
0,1134002,405,405,49,1133424,1
0,468801,293,293,84,468253,1
0,42175,383,383,150,41594,0
0,9261,126,126,44,8539,0
0,400683,54,54,158,400036,1
0,35038,299,299,122,34388,1
0,416102,242,242,24,415509,0
1,13194,346,346,107,12661,1
0,653543,82,82,55,652923,1
0,327963,422,422,99,327337,1
0,78452,296,296,87,77844,0
0,2893,381,381,148,2228,0
0,38888,77,77,57,38181,1
0,22995,301,301,57,22609,1
0,1066542,402,402,71,1065931,1
0,438865,348,348,22,438233,0
0,345916,151,151,135,345353,0
1,499409,363,363,56,498789,0
0,262228,36,36,169,261515,0
0,350824,411,411,100,350453,1
0,224418,164,164,22,223792,0
0,17055,46,46,44,16375,0
0,1049,279,279,70,204,1
0,807166,149,149,118,806492,1
1,874302,270,270,119,873739,1
0,281,8,8,75,3,1
0,16035,339,339,54,15472,0
0,311595,409,409,100,311224,1
0,6125,9,9,75,5631,1
0,582243,75,75,160,581596,0
0,1670681,27,27,124,1670067,0
1,544317,144,144,114,543658,0
0,285006,241,241,135,284026,0
0,482096,249,249,111,481446,0
0,16573,162,162,128,15977,0
0,1236,123,123,0,691,0
0,2152710,104,104,161,2152117,1
0,218124,163,163,22,217234,0
0,505974,290,290,15,505327,1
0,314714,121,121,26,314181,0
0,729959,94,94,17,729363,0
0,358436,273,273,57,358038,1
0,594102,227,227,44,593512,1
0,22696,71,71,62,22061,1
1,1261581,321,321,131,1260970,0
0,160801,400,400,50,160181,0
1,10872,102,102,104,10210,0
0,412598,275,275,46,411981,1
0,517192,289,289,6,516578,1
0,53893,303,303,43,53279,1
0,253563,283,283,133,252895,0
0,237931,281,281,24,237338,0
0,266589,173,173,22,265723,0
0,1078119,189,189,161,1077559,0
0,468817,292,292,6,467864,1
0,1243238,183,183,161,1242540,1
0,1176204,396,396,5,1175530,0
0,6197,384,384,155,5628,0
0,47042,78,78,32,46335,1
0,374682,40,40,17,374062,0
0,1420673,89,89,161,1420101,0
0,388432,191,191,76,388043,1
0,70633,57,57,128,70109,0
0,11230,371,371,127,10535,0
0,694973,304,304,72,694383,0
0,1677970,116,116,138,1677395,0
0,5761,372,372,23,5141,0
0,1886263,213,213,103,1885670,0
0,320021,421,421,99,319437,1
0,282372,170,170,48,281740,1
0,456160,318,318,120,455483,0
0,36542,382,382,150,35961,1
0,602338,317,317,94,601643,1
0,377041,360,360,26,376496,1
0,1142859,406,406,49,1142287,1
0,1481322,91,91,77,1480762,1
0,1306828,204,204,93,1306226,1
0,1739,5,5,35,1236,1
0,410649,138,138,32,410251,0
0,1587490,207,207,93,1586741,0
0,2442,280,280,30,1612,1
0,333597,423,423,66,332944,1
0,1411596,20,20,17,1410949,0
0,260483,174,174,101,259935,0
0,917604,269,269,103,916954,0
0,371048,272,272,100,370350,1
0,11470,45,45,128,11081,1
0,377176,139,139,100,376607,0
0,1943209,7,7,58,1942577,0
0,7470,264,264,128,6853,1
0,120884,33,33,108,120498,0
0,21243,13,13,16,20602,1
0,617680,228,228,15,617066,1
0,340144,410,410,100,339536,0
1,862102,237,237,1,861431,0
0,1875155,214,214,49,1874526,0
0,633183,229,229,97,632827,1
0,59685,47,47,78,58891,0
0,1611491,327,327,124,1610868,0
0,31626,354,354,23,31012,0
0,76266,274,274,48,75574,1
0,430625,11,11,135,430509,0
0,288480,172,172,101,287506,0
0,1187163,343,343,169,1186465,0
0,1200244,309,309,58,1199621,0
0,18926,387,387,152,18276,0
0,2115566,24,24,98,2114982,1
0,1109679,313,313,98,1109041,1
0,1559,49,49,44,987,1
0,413954,415,415,17,413337,0
0,159847,65,65,100,159101,1
0,1139142,312,312,58,1138561,1
0,462219,361,361,117,461563,1
0,1348,165,165,44,512,1
0,1344856,195,195,125,1344239,0
0,203566,68,68,57,203195,1
0,3660,192,192,44,3085,1
0,1001979,93,93,166,1001410,0
1,1671935,117,117,122,1671336,0
0,3008,160,160,144,2760,1
0,17644,345,345,156,17072,0
0,393310,276,276,10,392783,0
0,1025055,188,188,77,1024453,0
0,1654543,29,29,151,1654004,1
0,11006,12,12,141,10434,1
0,1840810,108,108,58,1840178,0
0,1182146,310,310,58,1181541,1
1,356421,429,429,139,355831,1
0,398667,244,244,24,398035,0
0,1235855,184,184,98,1235211,1
0,1806636,334,334,147,1806064,0
0,7249,51,51,44,6641,0
0,452612,277,277,98,451995,0
0,425782,137,137,48,425384,0
0,1121,1,1,163,531,0
0,725245,148,148,118,724664,1
0,7534,340,340,149,7151,0
0,14571,374,374,103,14272,0
0,244449,284,284,121,243556,0
0,622513,25,25,98,621803,0
0,261062,171,171,32,260553,0
0,253089,175,175,22,252442,0
0,305429,369,369,9,304515,0
1,690105,145,145,56,689434,0
0,26110,302,302,32,25487,1
0,55203,79,79,32,54550,0
0,6670,222,222,44,6140,1
0,467996,362,362,164,467418,0
0,1079,125,125,78,750,0
0,1784731,330,330,147,1784156,1
0,1392058,305,305,166,1391459,0
0,174019,63,63,48,173294,1
1,44727,392,392,68,44119,1
1,978860,271,271,119,978390,0
0,7294,257,257,44,6638,0
0,9111,129,129,78,8734,0
0,641578,81,81,55,640880,1
0,2852,15,15,37,2211,0
0,1610144,113,113,77,1609563,0
1,225709,67,67,34,225092,1
0,873,4,4,33,262,1
1,504309,425,425,146,503911,1
0,1707,375,375,89,1054,0
0,570400,73,73,116,569783,0
0,897457,268,268,61,896894,0
0,528985,288,288,15,528356,1
0,930600,238,238,169,929947,1
0,459742,245,245,27,459083,0
0,8892,373,373,4,8245,0
0,410431,178,178,64,409799,0
0,95645,62,62,113,95094,1
0,311313,420,420,137,310645,1
0,444695,30,30,112,444042,0
0,302673,240,240,47,302005,0
0,332148,408,408,100,331510,0
0,22912,56,56,132,22523,0
0,20624,72,72,69,19953,1
0,276224,133,133,83,275592,0
0,605996,234,234,6,605367,1
0,631273,155,155,99,630704,1
1,893116,235,235,11,892445,1
0,9993,32,32,129,9376,1
0,1448091,87,87,17,1447573,1
0,12594,194,194,96,11959,1
0,389569,243,243,111,388676,0
0,28027,42,42,128,27344,0
0,426818,134,134,130,426186,1
0,32545,258,258,128,31979,0
1,11424,39,39,109,10828,0
0,474095,351,351,115,473496,0
1,891600,267,267,42,891058,1
0,1570983,119,119,98,1570405,1
0,487260,198,198,126,486679,1
1,28680,127,127,165,27985,0
0,478938,100,100,3,478315,0
0,1109266,395,395,140,1108595,0
0,21792,342,342,41,21193,0
0,652493,232,232,6,651543,1
0,538452,143,143,119,537880,1
0,21840,225,225,132,21079,0
0,567898,122,122,63,567485,0
0,53116,394,394,38,52718,0
0,308712,367,367,27,308044,0
0,641268,230,230,134,640657,1
0,1591262,328,328,72,1590720,0
0,559332,141,141,82,558976,0
0,643220,196,196,67,642618,0
1,588625,154,154,110,587969,1
0,277659,419,419,137,277030,0
1,1591401,208,208,131,1590901,0
0,1060193,186,186,58,1059636,1
0,272757,177,177,22,271798,0
0,21892,336,336,54,21179,0
