EntityType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,TwitterHandle,Birthplace,UciRiderId,NativeName,Languages,Profession,WeightKg,Birthdate,SportsTeam,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,Surname,FirstCyclingRiderId,Gender,HeightCm,FreebaseId
1,1,46381.0,18610.0,21,4,21,137427.0,5,17,23,71557.0,4,4,2,2,10,17,5,14,63999.0,1,12474.0,1,173.0,0
1,10,16313.0,3333.0,15,11,4,140752.0,1,8,14,44513.0,1,2,2,10,2,6,2,8,18746.0,24,150.0,1,181.0,3
1,31,,27715.0,22,0,23,194388.0,1,13,17,149501.0,7,7,2,12,25,3,15,15,88265.0,7,5515.0,1,,15
1,0,43410.0,17901.0,9,7,14,139783.0,10,4,21,66795.0,7,7,2,8,12,17,15,4,42590.0,8,6413.0,1,189.0,7
1,9,19630.0,10023.0,12,0,12,140233.0,7,5,6,54679.0,7,6,2,1,6,22,15,6,22431.0,23,794.0,1,175.0,5
1,23,30026.0,7147.0,33,26,5,140611.0,0,26,13,57601.0,11,3,2,2,1,6,3,27,32008.0,18,563.0,1,172.0,6
0,19,,,0,0,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
0,19,,,0,0,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
0,7,,,13,0,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
1,8,56436.0,20917.0,28,1,18,156570.0,6,1,10,77380.0,7,5,2,11,14,15,15,22,71706.0,0,9746.0,1,180.0,15
1,18,43388.0,14319.0,25,16,20,140293.0,14,11,16,68367.0,7,0,2,3,8,1,15,19,58588.0,11,2278.0,1,173.0,10
1,20,58116.0,22910.0,34,25,6,170625.0,5,25,7,99713.0,12,4,2,11,17,12,12,28,81488.0,17,27111.0,1,186.0,15
1,14,69190.0,25740.0,19,14,23,196424.0,4,16,9,112082.0,7,1,2,12,22,18,15,12,115868.0,25,38195.0,1,175.0,15
1,28,71935.0,28298.0,5,5,23,192457.0,7,13,2,98774.0,7,6,2,6,26,20,15,2,114071.0,3,45987.0,1,176.0,15
1,2,,24316.0,4,0,23,181239.0,12,18,29,97280.0,13,8,2,7,19,10,14,1,104872.0,26,37281.0,1,186.0,15
1,30,6263.0,45.0,29,22,11,140855.0,1,14,28,24166.0,8,7,2,8,0,6,0,23,4177.0,5,174.0,1,179.0,8
0,19,,,1,0,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
1,22,83295.0,28377.0,32,24,22,212377.0,1,6,0,587366.0,10,7,2,2,27,17,9,26,141854.0,4,84019.0,1,171.0,15
1,26,39842.0,12843.0,26,20,3,140292.0,3,12,27,67388.0,6,10,2,0,9,4,11,20,57418.0,19,2276.0,1,166.0,11
1,5,,22909.0,35,0,23,163164.0,5,13,3,89412.0,7,4,2,12,15,5,15,29,84023.0,14,20105.0,1,,15
1,16,48143.0,21971.0,24,18,8,168754.0,9,23,11,79462.0,5,7,1,12,16,0,13,17,64280.0,28,16672.0,1,184.0,14
1,17,104375.0,,27,19,23,273882.0,2,13,18,,7,7,2,12,29,11,15,18,185469.0,13,181011.0,1,,15
1,11,19255.0,3891.0,14,0,16,140196.0,15,7,5,32532.0,0,3,3,9,3,11,1,7,11292.0,22,716.0,1,183.0,2
1,3,,23403.0,18,0,19,182517.0,15,10,12,99665.0,3,3,2,0,18,24,15,11,95077.0,10,27295.0,1,173.0,15
1,4,11009.0,5139.0,8,6,7,140904.0,9,3,8,55131.0,7,7,2,5,5,13,7,3,27924.0,16,581.0,1,183.0,4
0,19,,,2,3,0,,11,0,17,,7,7,0,12,30,14,15,21,,17,,0,,15
1,24,92920.0,31654.0,20,15,9,240140.0,14,21,1,415141.0,7,10,2,12,28,20,15,13,140379.0,17,114659.0,1,183.0,15
1,13,66232.0,23948.0,17,13,23,176305.0,0,9,20,109829.0,2,7,2,12,21,2,15,10,81941.0,6,37446.0,1,175.0,15
0,19,,,6,8,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
1,21,56041.0,20719.0,31,23,2,174582.0,13,27,26,88889.0,9,9,2,5,7,21,8,25,72449.0,20,18655.0,1,177.0,13
1,15,65469.0,24924.0,23,17,23,186507.0,8,22,24,109737.0,7,7,2,12,23,16,15,16,120486.0,9,38481.0,1,202.0,15
1,32,54848.0,20156.0,30,21,1,132359.0,5,24,22,86812.0,7,4,2,4,13,7,15,24,67163.0,12,15752.0,1,180.0,1
0,19,,,7,0,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
1,6,62573.0,23503.0,10,9,17,181270.0,3,19,25,92264.0,7,10,2,3,20,23,10,5,91205.0,15,27124.0,1,174.0,15
1,29,3083.0,3366.0,36,0,10,140270.0,0,15,15,30329.0,7,3,2,3,4,8,4,30,15181.0,2,568.0,1,175.0,9
0,25,,,37,0,23,,11,13,17,,7,7,0,12,30,14,15,21,,17,,0,,15
1,27,56666.0,18975.0,3,2,13,133024.0,15,2,4,70590.0,7,3,2,0,11,19,6,0,65132.0,27,20147.0,1,172.0,12
1,12,69878.0,26378.0,16,12,23,206876.0,3,13,19,162777.0,7,7,2,12,24,9,15,9,118440.0,21,61639.0,1,168.0,15
0,19,,,11,10,15,,11,20,17,,7,7,0,12,30,14,15,21,,17,,0,,15
