EntityType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,Nationality,TwitterHandle,Birthplace,UciRiderId,NativeName,Languages,Profession,WeightKg,Birthdate,SportsTeam,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,Surname,FirstCyclingRiderId,Gender,HeightCm,FreebaseId
0,27,,,42,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,0,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,11,22663.0,5789.0,18,5,7,140869.0,8,19,18,43936.0,1,6,2,7,15,12,9,3,22017.0,10,713.0,1,186.0,15
1,42,,3146.0,54,0,28,126877.0,0,11,15,33637.0,13,3,2,18,12,8,23,34,15956.0,15,772.0,1,,33
1,37,52044.0,20798.0,33,13,26,132438.0,6,9,0,86938.0,12,5,2,8,31,13,17,19,71789.0,28,16643.0,1,183.0,37
1,24,7153.0,544.0,31,0,1,140516.0,0,8,2,12974.0,13,3,2,16,6,25,23,17,7364.0,12,547.0,1,190.0,11
1,14,10637.0,27.0,21,0,28,140854.0,16,11,20,12426.0,24,9,2,3,5,19,1,5,5873.0,16,37.0,1,180.0,22
0,39,,,20,0,28,,13,24,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,38,1761.0,11.0,53,0,13,140750.0,1,27,16,13978.0,21,7,2,17,9,22,7,33,2452.0,5,33.0,1,192.0,18
1,43,54395.0,20730.0,55,23,16,168961.0,1,17,4,75859.0,22,2,2,8,32,2,14,35,74709.0,35,18258.0,1,187.0,5
1,33,56041.0,20719.0,40,18,4,174582.0,18,26,30,88889.0,16,11,2,3,21,26,13,26,72449.0,26,18655.0,1,177.0,35
1,26,48143.0,21971.0,32,12,11,168754.0,10,22,6,79462.0,11,7,1,18,33,0,19,18,64280.0,36,16672.0,1,184.0,36
1,3,69634.0,26526.0,49,22,21,194619.0,18,16,8,149727.0,20,11,2,4,38,15,20,32,115790.0,23,45992.0,1,176.0,37
1,23,62729.0,23558.0,29,11,12,181257.0,4,21,9,97437.0,10,1,2,13,34,17,15,15,101407.0,1,27121.0,1,192.0,37
1,28,11767.0,39.0,35,0,28,140524.0,1,11,12,26259.0,13,7,2,9,8,22,23,21,9688.0,20,251.0,1,177.0,29
1,29,54668.0,21392.0,37,14,9,135315.0,1,12,21,93654.0,13,2,2,9,23,11,23,23,77634.0,18,22682.0,1,184.0,8
1,16,52629.0,19903.0,23,0,2,138911.0,5,20,1,75167.0,4,4,2,14,29,9,23,8,67145.0,30,12481.0,1,179.0,4
1,40,6263.0,45.0,39,17,15,140855.0,1,13,32,24166.0,15,7,2,8,11,4,0,25,4177.0,11,174.0,1,179.0,28
0,27,,,36,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,7,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,6
1,18,16313.0,3333.0,25,8,5,140752.0,1,5,13,44513.0,6,2,2,12,14,4,8,10,18746.0,33,150.0,1,181.0,10
0,27,,,0,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,36,41892.0,19165.0,34,0,8,137797.0,10,10,35,66315.0,13,7,2,11,27,26,23,20,43238.0,31,11313.0,1,184.0,3
0,27,,,1,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,19,19255.0,3891.0,24,0,22,140196.0,21,4,3,32532.0,5,3,3,9,19,12,4,9,11292.0,32,716.0,1,183.0,9
1,1,43410.0,17901.0,15,4,19,139783.0,12,2,26,66795.0,13,7,2,8,28,22,23,2,42590.0,13,6413.0,1,189.0,26
1,10,5172.0,161.0,17,0,28,140762.0,0,11,7,13388.0,13,7,2,6,3,16,16,22,5689.0,8,86.0,1,174.0,12
1,41,26755.0,13635.0,27,0,28,140629.0,5,11,29,23382.0,8,4,2,1,4,7,2,13,18419.0,25,1151.0,1,172.0,16
1,9,55192.0,19941.0,56,24,18,135398.0,1,28,5,86228.0,23,7,2,13,25,24,23,36,59790.0,14,10971.0,1,180.0,2
1,31,26009.0,12193.0,38,16,10,140797.0,17,23,37,54603.0,13,10,2,15,22,5,6,24,30229.0,27,784.0,1,184.0,24
0,27,,,10,1,3,,13,0,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,8,14464.0,2022.0,14,0,28,140242.0,12,11,14,28862.0,0,7,2,6,16,27,3,1,9556.0,29,7.0,1,186.0,21
0,20,,,43,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,2,46381.0,18610.0,28,2,25,137427.0,5,18,27,71557.0,9,4,2,1,26,22,12,14,63999.0,0,12474.0,1,173.0,0
0,27,,,36,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,0,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,36,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,15,65688.0,24926.0,22,7,20,198937.0,2,3,36,95844.0,3,12,2,0,36,10,23,7,100412.0,3,58275.0,1,175.0,37
0,27,,,11,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,22,,26392.0,26,9,28,193131.0,1,11,16,148275.0,7,7,2,7,37,1,23,12,89152.0,22,45363.0,1,176.0,37
0,27,,,10,1,3,,13,0,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,13,4461.0,336.0,48,0,28,140687.0,1,11,10,13540.0,13,7,2,10,7,14,23,31,8996.0,7,28.0,1,182.0,32
0,32,,,52,10,17,,13,6,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,27,8022.0,8490.0,36,0,28,117397.0,11,11,17,45887.0,13,7,2,18,17,20,23,6,19512.0,19,,1,,37
1,7,52038.0,20697.0,12,3,27,156131.0,7,1,23,86630.0,13,6,2,6,30,8,18,0,68186.0,4,20584.0,1,180.0,1
0,0,,,8,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,36,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,2,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,3,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,30
0,27,,,51,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,35,41076.0,13362.0,46,20,23,139405.0,15,15,33,65995.0,19,7,2,8,24,3,23,29,51551.0,2,3277.0,1,177.0,20
0,6,,,9,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,41,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,6,,,9,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,27,,,50,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,25,58428.0,21992.0,30,15,14,168776.0,9,7,31,86895.0,13,7,2,18,35,21,23,16,77835.0,21,16793.0,1,179.0,7
1,27,15752.0,,36,0,28,115135.0,16,11,19,26355.0,13,9,2,18,10,18,23,11,10851.0,19,,1,,37
1,30,5696.0,6.0,58,0,28,140348.0,19,11,28,14571.0,14,12,2,2,2,26,22,38,5344.0,9,40.0,1,171.0,14
0,27,,,5,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,34
1,34,30026.0,7147.0,44,19,6,140611.0,0,25,11,57601.0,17,3,2,1,13,4,10,27,32008.0,24,563.0,1,172.0,25
1,44,15477.0,3348.0,57,21,0,140665.0,3,29,22,27822.0,13,0,1,6,18,2,11,37,13279.0,37,4669.0,1,183.0,13
1,21,18094.0,103.0,47,0,28,117248.0,20,11,34,10592.0,13,5,2,18,0,23,21,30,9709.0,34,249.0,1,,27
0,0,,,8,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
0,4,,,16,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,37
1,12,11026.0,85.0,19,0,28,140368.0,5,11,24,11859.0,2,4,2,18,1,6,23,4,6132.0,17,63.0,1,,19
0,27,,,6,0,28,,13,11,19,,13,7,0,18,39,20,23,22,,19,,0,,23
