Languages,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Twitter_Followers,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
4,20,65225.0,24934.0,30,182731,,13804.0,25,111343.0,,34,27,29,104017,37280.0,14,188.0,27
11,12,62573.0,23503.0,7,181270,,54522.0,27,92264.0,63.0,30,19,7,91205,27124.0,5,174.0,27
6,16,19630.0,10023.0,11,140233,10112.0,28543.0,7,54679.0,61.0,9,31,11,22431,794.0,14,175.0,9
0,19,43338.0,12719.0,9,140949,54552.0,,24,71758.0,66.0,8,38,9,61115,7590.0,14,182.0,2
3,0,7764.0,1237.0,8,140800,6404.0,41367.0,13,29164.0,70.0,3,18,8,10911,706.0,13,183.0,11
4,35,17795.0,43.0,38,140553,20516.0,55134.0,26,13980.0,66.0,0,36,37,8149,139.0,14,177.0,10
5,29,90006.0,31323.0,23,240120,,,0,363549.0,,38,8,21,148726,111801.0,11,,27
2,38,58050.0,20184.0,39,135591,,,37,89133.0,72.5,16,9,38,71225,19274.0,14,173.0,4
6,31,46998.0,16666.0,37,140492,55148.0,22458.0,8,64680.0,71.0,13,10,36,48356,2338.0,3,176.0,22
6,23,39287.0,13240.0,13,140835,10495.0,66281.0,12,55029.0,67.0,7,34,13,21075,1310.0,14,178.0,19
6,4,61538.0,24057.0,14,177672,,,33,91640.0,82.0,31,13,14,79184,27099.0,15,193.0,27
11,5,47686.0,17534.0,19,140333,45660.0,8603.0,19,59773.0,72.0,14,16,30,37589,2325.0,13,183.0,24
3,27,30026.0,7147.0,33,140611,42655.0,140921.0,15,57601.0,62.0,4,22,33,32008,563.0,14,172.0,15
10,26,56041.0,20719.0,32,174582,66232.0,127549.0,30,88889.0,65.0,10,24,32,72449,18655.0,6,177.0,26
2,17,46847.0,16697.0,12,138471,,14517.0,10,70799.0,72.0,15,29,12,65315,10382.0,8,183.0,3
6,4,61538.0,24057.0,14,177672,,,33,91640.0,82.0,31,13,14,79184,27099.0,15,193.0,27
8,7,,24316.0,2,181239,,,35,97280.0,67.0,29,35,2,104872,37281.0,10,186.0,27
4,8,41075.0,10536.0,3,140489,42346.0,8232.0,23,60455.0,68.0,6,21,3,46549,948.0,13,183.0,20
6,6,52038.0,20697.0,1,156131,69727.0,9866.0,21,86630.0,68.0,21,7,1,68186,20584.0,6,180.0,0
11,30,19958.0,7006.0,34,140820,6178.0,,22,56916.0,61.0,5,15,34,30460,5592.0,14,169.0,18
6,3,65498.0,24139.0,40,182227,,,20,95054.0,70.0,32,1,39,107952,37351.0,10,175.0,27
3,10,56664.0,20678.0,28,132382,,20194.0,6,72234.0,73.0,20,11,27,66001,,15,1.81,16
7,39,70304.0,26482.0,21,196333,,,4,107840.0,63.0,35,2,19,108403,50303.0,10,178.0,27
4,37,61573.0,23641.0,5,186945,,2423.0,16,91043.0,,28,30,5,82430,43007.0,4,,6
6,9,80654.0,,4,202483,,,28,157221.0,60.0,36,4,4,121401,65240.0,10,176.0,27
5,24,43330.0,16323.0,27,140265,32693.0,4603.0,2,64797.0,77.0,17,3,25,31793,5306.0,14,188.0,17
3,34,56666.0,18975.0,0,133024,64111.0,32176.0,3,70590.0,58.0,18,37,0,65132,20147.0,7,172.0,25
3,36,6154.0,267.0,35,140757,12313.0,110646.0,18,25781.0,64.0,1,14,35,3175,339.0,14,170.0,12
9,25,26009.0,12193.0,31,140797,9096.0,1940308.0,38,54603.0,78.0,11,25,31,30229,784.0,0,184.0,14
3,2,,19419.0,24,176326,,,36,79629.0,,23,17,22,74314,7998.0,10,178.0,27
1,22,69190.0,25740.0,20,196424,,,11,112082.0,,33,32,18,115868,38195.0,10,175.0,27
5,15,56436.0,20917.0,29,156570,67199.0,5649.0,14,77380.0,78.0,25,0,28,71706,9746.0,10,180.0,27
11,32,39842.0,12843.0,26,140292,52504.0,1311517.0,31,67388.0,58.0,12,23,24,57418,2276.0,1,166.0,21
3,14,43348.0,18287.0,17,137562,55741.0,,17,68745.0,,19,20,17,61619,4778.0,3,174.0,1
5,28,52044.0,20798.0,25,132438,66541.0,9184.0,1,86938.0,70.0,24,26,23,71789,16643.0,9,183.0,27
3,11,53630.0,19651.0,6,168753,,40766.0,29,78094.0,61.0,26,12,6,71432,16573.0,2,165.0,13
11,21,,33556.0,16,261531,,,9,,,39,39,16,178737,155993.0,12,,27
3,1,49682.0,17893.0,36,134456,58541.0,39580.0,3,553301.0,58.0,18,37,35,65130,6242.0,13,172.0,23
6,18,17747.0,1992.0,15,140399,20484.0,35988.0,32,31056.0,63.0,2,33,15,11476,486.0,13,175.0,8
2,40,89890.0,32588.0,18,216125,,,10,649275.0,,37,6,26,121515,94607.0,10,177.0,27
6,31,46998.0,16666.0,37,140492,55148.0,22458.0,8,64680.0,71.0,13,10,36,48356,2338.0,3,176.0,22
0,33,61775.0,23299.0,22,164709,,23252.0,34,89223.0,68.0,22,28,20,72207,25726.0,8,186.0,5
6,13,55719.0,22020.0,10,164213,,2473.0,5,86617.0,,27,5,10,77514,26504.0,10,183.0,7
8,7,,24316.0,2,181239,,,35,97280.0,67.0,29,35,2,104872,37281.0,10,186.0,27
