Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,1169344,41,41,1,0,26,1158920
1,7614,2,0,0,0,2,1030
1,609988,158,158,1,0,124,605538
0,1211309,163,163,1,0,132,1200861
1,71128,81,81,1,0,18,60752
1,18759,152,152,3,1,76,8548
1,52109,55,55,1,0,62,41772
1,64484,127,127,2,0,97,55971
0,424181,138,138,1,0,67,413739
0,225503,223,223,1,0,116,215040
0,1026196,141,141,3,1,36,1015775
0,330111,109,109,1,0,74,322282
1,458221,50,50,1,0,110,447770
0,685626,119,119,1,0,83,675331
0,18045,174,174,1,0,68,7588
1,108909,130,130,1,0,52,98518
1,47512,124,124,1,0,15,39092
0,775910,131,131,1,0,92,765552
1,22103,171,171,1,0,54,14689
0,332104,168,168,1,0,54,321641
1,7780,8,8,2,0,123,2
1,11317,86,86,3,1,41,5433
0,573981,159,159,1,0,124,563530
1,459416,61,61,1,0,139,449073
1,5380,25,25,3,1,27,2
1,214744,9,9,3,1,39,206012
1,31572,75,75,1,0,25,21127
1,63253,175,175,1,0,78,52823
0,286931,192,192,1,0,97,283691
0,149649,115,115,2,0,26,143326
1,14171,180,180,2,0,61,4392
1,11492,32,32,1,0,58,5925
1,26884,60,60,1,0,53,16478
1,45907,207,207,2,0,17,38978
0,13390,161,161,1,0,125,2987
0,193120,185,185,2,0,96,183374
0,9732,193,193,1,0,19,1
1,1233807,178,178,3,1,136,1224493
1,62951,94,94,1,0,87,52593
1,970184,186,186,1,0,85,959784
1,138304,216,216,1,0,51,127910
1,13701,153,153,1,0,81,3220
0,689245,14,14,1,0,15,678794
1,5595,6,6,2,0,137,1
0,213628,100,100,1,0,129,203258
0,24168,112,112,3,1,23,13795
1,31191,121,121,1,0,55,20812
0,3034,91,91,2,0,88,2
1,347060,220,220,2,0,139,339083
1,127990,150,150,3,1,122,117557
1,390898,219,219,1,0,74,380639
1,60872,208,208,1,0,22,50520
1,225073,35,35,1,0,40,217409
0,842551,213,213,1,0,6,832124
0,475972,77,77,2,0,84,470489
1,534898,113,113,2,0,103,529028
1,59093,69,69,1,0,66,53591
0,2345983,166,166,1,0,22,2335691
0,33876,201,201,1,0,72,23431
0,2017022,4,4,2,0,101,2011656
0,796435,42,42,3,1,135,786038
0,908777,38,38,1,0,102,898398
0,1020605,202,202,3,1,20,1014285
1,25728,93,93,3,1,40,21774
0,13163,65,65,1,0,50,2601
0,789447,214,214,3,1,113,779023
0,7954,194,194,2,0,69,2
0,743366,12,12,3,1,93,733188
0,1028641,19,19,1,0,100,1018586
1,69531,218,218,1,0,51,59128
0,5243,68,68,1,0,47,2
0,9826,22,22,2,0,114,2831
1,12411,133,133,3,1,3,1858
0,6482,3,3,2,0,69,3
1,78813,198,198,1,0,140,72588
1,12312,197,197,2,0,7,7990
1,40663,199,199,1,0,125,30197
1,51361,101,101,1,0,40,40991
0,288082,210,210,1,0,94,277652
