Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Nationality,Twitter_Handle,Birth_Place,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm
0,4,22663,5789,3,3,140869,3,6,11,12,43936,5,69.0,4,3,3,22017,713,186
0,11,26009,12193,14,12,140797,14,9,16,17,54603,7,78.0,11,12,14,30229,784,184
1,8,19255,3891,10,0,140196,10,13,5,3,32532,2,71.0,5,14,10,11292,716,183
0,2,11009,5139,2,2,140904,2,7,1,6,55131,6,65.0,6,9,2,27924,581,183
0,5,6978,4377,5,0,140865,5,8,2,13,198213,6,76.0,7,4,5,18964,31,181
0,1,16289,5,0,1,140924,0,12,10,11,14575,6,61.0,0,15,0,7005,38,177
0,14,57472,21342,16,14,178184,16,2,9,4,91656,6,62.0,14,10,16,66785,23097,170
0,0,7764,1237,4,4,140800,4,11,12,8,29164,2,70.0,2,5,4,10911,706,183
0,16,5275,846,17,0,140758,17,14,8,15,26885,6,74.0,1,2,17,10655,53,183
0,12,56041,20719,15,13,174582,15,10,17,14,88889,8,65.0,10,11,15,72449,18655,177
1,10,39287,13240,7,7,140835,7,5,13,7,55029,5,67.0,9,17,7,21075,1310,178
0,6,65688,24926,6,6,198937,6,1,3,16,95844,9,60.0,17,0,6,100412,58275,175
0,15,60759,22794,8,8,168760,8,12,4,1,86857,0,61.0,15,8,8,81087,1527,177
0,3,43344,16653,1,0,140818,1,3,0,2,64670,3,78.0,12,1,1,52068,2337,181
0,17,49495,23426,9,5,177246,9,7,14,5,87061,6,,16,6,9,88470,37748,181
0,7,16313,3333,11,9,140752,11,0,6,10,44513,1,74.0,3,16,11,18746,150,181
0,9,43343,18233,12,10,140123,12,0,7,9,68235,6,,13,13,12,52559,5059,186
0,13,8424,6784,13,11,140342,13,4,15,0,45024,4,82.0,8,7,13,18093,1007,188
