Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistDescription,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,SportsTeam,LastName,FirstName,CitizenshipCountry,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
7,8,55710.0,21145.0,8,20655.0,132339,9,6,86863,3,70.0,11,11,6,9,6,71405,16687,185,4,7
2,11,58495.0,22516.0,3,,168779,1,14,86813,5,72.0,12,6,5,4,8,78350,16783,181,9,9
2,6,19255.0,3891.0,4,508772.0,140196,13,3,32532,0,71.0,2,7,10,5,8,11292,716,183,2,9
8,3,52673.0,19070.0,2,13561.0,137769,11,2,79921,5,,9,4,2,3,7,71836,7639,178,9,4
8,12,39842.0,12843.0,9,1311517.0,140292,2,10,67388,4,58.0,4,1,8,10,1,57418,2276,166,5,1
4,4,17747.0,1992.0,5,35988.0,140399,5,11,31056,5,63.0,0,9,13,6,3,11476,486,175,1,3
3,1,,22906.0,1,,179072,3,0,91626,5,71.0,10,0,1,2,2,92937,22272,190,9,2
6,2,,24316.0,0,,181239,7,13,97280,9,67.0,13,5,14,0,5,104872,37281,186,9,6
1,5,16313.0,3333.0,6,134950.0,140752,0,8,44513,1,74.0,1,2,12,7,0,18746,150,181,3,0
5,9,,13313.0,10,,138189,6,12,439866,5,70.0,8,12,0,1,4,87421,8551,171,9,5
7,10,56041.0,20719.0,12,127549.0,174582,10,9,88889,7,65.0,3,10,9,12,6,72449,18655,177,8,4
1,5,16313.0,3333.0,6,134950.0,140752,0,8,44513,1,74.0,1,2,12,7,0,18746,150,181,3,0
7,8,55710.0,21145.0,8,20655.0,132339,9,6,86863,3,70.0,11,11,6,9,6,71405,16687,185,4,7
8,12,39842.0,12843.0,9,1311517.0,140292,2,10,67388,4,58.0,4,1,8,10,1,57418,2276,166,5,1
7,0,69634.0,26526.0,14,5000.0,194619,8,5,149727,8,66.0,14,8,7,14,6,115790,45992,176,9,7
0,14,49272.0,17881.0,11,13864.0,140294,12,4,76092,6,56.0,6,4,4,11,7,38092,4863,169,7,8
8,3,52673.0,19070.0,2,13561.0,137769,11,2,79921,5,,9,4,2,3,7,71836,7639,178,9,4
7,0,69634.0,26526.0,14,5000.0,194619,8,5,149727,8,66.0,14,8,7,14,6,115790,45992,176,9,7
3,13,41886.0,13566.0,13,128269.0,140495,4,1,64917,5,65.0,7,3,3,13,2,53957,2275,184,6,4
7,7,39897.0,12748.0,7,1741.0,138849,14,7,64864,2,67.0,5,8,11,8,6,54755,3050,173,0,7
