Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,419867,28,28,419010
1,1404526,43,43,1403861
0,25097,61,61,24648
0,1771495,44,44,1771046
1,334491,37,37,333733
1,2108845,48,48,2108303
0,106626,2,2,106183
0,1500372,20,20,1500022
1,1589372,23,23,1589025
0,187539,4,4,186739
0,249755,31,31,248955
0,18478,13,13,17702
0,455384,88,88,454782
1,582312,0,0,581629
1,2189977,80,80,2189303
0,249191,30,30,247920
0,192020,68,68,191304
1,360949,36,36,360191
1,5270,60,60,4815
1,1188592,74,74,1187834
1,541726,15,15,540743
1,260224,51,51,259535
1,1795788,47,47,1795339
0,1266329,78,78,1265664
0,229245,104,104,228751
0,439937,91,91,439305
0,47774,63,63,46746
0,215252,107,107,214692
0,2006097,82,82,2005645
0,241884,25,25,241294
1,374729,76,76,373830
0,187858,11,11,187097
1,1335494,33,33,1334871
0,407069,57,57,406629
0,190450,99,99,190100
1,1379076,72,72,1378327
0,19040,54,54,18594
1,1249825,35,35,1249373
0,873951,9,9,873346
1,491545,93,93,490745
1,447197,92,92,446745
0,1327169,34,34,1326369
0,311877,50,50,310678
1,508560,16,16,507559
1,1480543,79,79,1479323
1,1915099,46,46,1914353
1,2054734,7,7,2054069
0,24241,27,27,23690
1,369901,12,12,369557
1,533902,105,105,533237
0,1292754,32,32,1292116
1,17745,70,70,16912
0,509814,67,67,509014
0,58473,1,1,57784
0,1027295,100,100,1026840
1,2144974,22,22,2144312
0,258510,77,77,258202
1,976756,40,40,976091
0,3241,97,97,2789
1,2046738,8,8,2046013
0,469905,59,59,469240
0,293595,56,56,292942
0,21345,87,87,20596
1,533360,14,14,532377
1,1125325,75,75,1124525
1,1146722,86,86,1145835
1,30522,85,85,29761
1,1962152,45,45,1961658
1,2014286,49,49,2013333
1,985522,38,38,984710
1,535778,102,102,534804
0,574747,29,29,573722
1,981065,39,39,980400
1,548988,17,17,548008
1,972438,41,41,971773
0,2720,96,96,1839
1,522763,55,55,521789
1,1694721,5,5,1693825
0,434224,90,90,433772
0,25672,62,62,25139
0,835812,95,95,835600
0,1117094,98,98,1116687
1,404244,65,65,403621
1,614408,94,94,613791
1,213832,24,24,212933
0,1966887,83,83,1966264
1,3147,52,52,2389
0,121362,106,106,120919
0,386361,58,58,385708
1,166893,3,3,166510
1,16682,71,71,16377
0,203789,69,69,203085
0,1533448,18,18,1532690
1,1351182,73,73,1350433
1,1474,6,6,1025
1,430215,103,103,429457
1,26420,53,53,25257
1,1129040,101,101,1128585
1,390327,10,10,389875
1,2167272,81,81,2166841
0,4118,26,26,3549
0,45033,89,89,44497
1,576203,42,42,575301
1,930230,64,64,929781
0,1962116,84,84,1960989
1,561672,66,66,560914
1,989439,21,21,989029
1,1512529,19,19,1511897
