Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,38827,226,226,35924
0,4679,184,184,1893
1,9869,53,53,8244
0,825842,310,310,823350
0,502030,130,130,499289
1,79193,77,77,76656
0,2449,0,0,11
1,7010,291,291,4233
1,66235,248,248,64469
1,21822,317,317,18838
1,3014,94,94,228
1,77950,17,17,74987
1,510295,141,141,507728
0,847503,311,311,845194
0,6673,233,233,3815
1,181574,314,314,180063
0,625252,229,229,622190
1,981807,277,277,979324
1,16715,187,187,14439
1,2940,213,213,73
0,8383,220,220,7271
1,17724,293,293,14986
0,13435,271,271,10745
1,86361,189,189,83876
0,225780,78,78,223900
0,578138,99,99,576360
0,504140,267,267,500865
0,636457,214,214,635763
0,847195,164,164,845501
0,492362,27,27,490971
0,236472,224,224,233641
0,779582,204,204,776703
0,7188,124,124,4384
1,8831,110,110,6234
0,650247,101,101,648161
0,984,304,304,31
1,1094,23,23,159
0,24358,272,272,21590
1,1225,52,52,1
0,628999,143,143,626735
1,13990,115,115,11384
1,28068,64,64,25282
1,3158,255,255,408
0,2351295,264,264,2348338
0,9939,56,56,8926
1,65081,83,83,62292
1,9052,247,247,7148
0,805554,313,313,804478
0,782600,205,205,781197
0,3790,211,211,806
0,1573917,167,167,1571158
0,1995400,175,175,1993454
0,794113,243,243,793295
1,644271,97,97,641242
1,56433,249,249,54619
0,654938,253,253,652152
0,1032018,49,49,1029001
0,1140600,197,197,1138639
0,411506,58,58,408474
1,924785,237,237,922281
0,1204,126,126,2
1,8397,15,15,5578
0,764760,203,203,762982
1,976,20,20,2
1,587182,273,273,584897
0,3258,40,40,436
1,6116,57,57,4224
0,606712,238,238,603989
1,21218,242,242,18921
1,2501,82,82,102
1,7457,215,215,4911
0,490870,45,45,489493
1,4777,18,18,2027
1,26225,207,207,24447
1,22430,44,44,19944
1,15107,263,263,12237
1,41742,307,307,39727
0,663320,259,259,660522
1,58458,114,114,55432
0,486237,24,24,483109
0,353345,138,138,350952
1,16574,223,223,14088
0,3713,283,283,2106
1,44770,25,25,42977
0,3597,235,235,1834
0,5794,135,135,3014
0,655728,169,169,653962
1,33262,308,308,31331
0,791878,121,121,790079
0,760085,244,244,757590
0,1852491,174,174,1847980
0,130785,104,104,128263
1,122539,191,191,120197
0,594892,227,227,591674
0,571445,199,199,567813
0,690966,180,180,687994
0,9553,113,113,7784
0,582823,21,21,581135
1,67475,296,296,65139
1,25743,231,231,24748
1,71114,196,196,69705
0,103187,323,323,101616
0,702008,181,181,700188
0,585311,228,228,582390
0,2350211,168,168,2347587
1,491613,133,133,488857
1,12191,232,232,9909
1,1182,91,91,1
1,59561,140,140,57681
1,14595,65,65,12280
0,9360,256,256,6577
0,1434052,155,155,1432280
1,29749,162,162,26915
0,430057,186,186,427406
0,14455,89,89,11690
1,30562,278,278,28739
0,4524,241,241,2574
1,4216,132,132,1460
0,19758,185,185,17038
1,47207,80,80,45534
1,36437,102,102,35517
1,5595,68,68,2761
0,912033,72,72,909235
0,2693,280,280,396
1,4036,63,63,1289
1,93761,71,71,90201
0,11733,73,73,9154
0,706189,14,14,704129
0,120500,322,322,118605
1,26060,260,260,23298
0,351197,218,218,348939
1,8589,29,29,6541
0,1385359,154,154,1383590
0,688837,87,87,685982
1,54516,93,93,53479
1,1739,12,12,3
0,201879,299,299,200095
0,1320804,151,151,1318300
0,628364,100,100,625434
0,3779,183,183,1517
1,64637,150,150,62859
0,4799,270,270,2103
0,7313,236,236,4734
1,19476,160,160,17815
0,7957,142,142,5381
0,829858,119,119,827087
0,2071578,165,165,2068987
0,411543,245,245,408877
0,848494,163,163,847454
1,8756,145,145,5919
1,169188,306,306,166855
0,16396,294,294,13598
0,492103,129,129,489575
1,14953,302,302,12005
0,427483,287,287,425420
0,570499,252,252,567725
1,3857,103,103,1095
1,68621,192,192,67503
0,245943,61,61,244298
