Official_Website,Freebase_Id,Social_Media_Followers,Commons_Category
11,6,23756.0,8
3,4,559808.0,7
12,11,,14
14,13,5300.0,5
1,5,44987.0,10
7,0,59360.0,1
14,13,5300.0,5
11,6,23756.0,8
3,4,559808.0,7
6,12,9552.0,0
13,7,,9
12,11,,14
10,1,,2
6,12,9552.0,0
4,8,6660.0,12
2,10,,11
9,3,,6
13,7,,9
1,5,44987.0,10
4,8,6660.0,12
7,0,59360.0,1
12,11,,14
6,12,9552.0,0
0,14,12000.0,4
7,0,59360.0,1
4,8,6660.0,12
3,4,559808.0,7
10,1,,2
10,1,,2
12,11,,14
10,1,,2
2,10,,11
2,10,,11
8,2,,3
0,14,12000.0,4
14,13,5300.0,5
5,9,79400.0,13
