GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,112659,180,180,2,1,8,111770,1
0,839949,139,139,0,0,5,839030,0
0,1026191,30,30,0,0,0,1025282,1
0,3610921,95,95,0,0,0,3610027,1
1,155789,189,189,2,1,10,154923,0
1,3118809,83,83,2,1,0,3118143,0
0,1174013,35,35,0,0,0,1173317,1
0,113300,157,157,0,0,7,112144,1
0,583967,15,15,0,0,0,583080,1
1,165870,7,7,2,1,0,165091,0
1,275737,130,130,2,1,4,274820,1
0,2252035,65,65,0,0,0,2251144,0
0,2004091,149,149,0,0,6,2003193,0
0,2803895,176,176,0,0,7,2803001,0
0,199181,129,129,0,0,4,198480,1
0,43615,154,154,0,0,7,42720,1
1,93377,181,181,2,1,9,92506,0
0,3031781,81,81,0,0,0,3030872,1
0,616887,17,17,0,0,0,616004,1
1,129373,6,6,2,1,0,128459,0
1,2870102,75,75,2,1,0,2869325,0
0,3882969,103,103,0,0,0,3882101,1
0,1767921,133,133,0,0,4,1767010,0
0,3868423,102,102,0,0,0,3867484,1
0,2617008,197,197,0,0,12,2616131,0
0,1893252,54,54,0,0,0,1892656,1
1,2212759,163,163,2,1,7,2212110,0
1,2537510,67,67,2,1,0,2536628,0
0,1194078,36,36,0,0,0,1193275,0
0,2574717,195,195,0,0,12,2573812,0
0,216454,160,160,0,0,7,215581,1
0,1930786,56,56,0,0,0,1929878,1
1,42700,193,193,2,1,12,41878,0
1,2956805,78,78,2,1,0,2956075,1
0,2801127,205,205,0,0,12,2800200,0
0,983675,27,27,0,0,0,982762,1
1,2646027,173,173,2,1,7,2645141,0
0,3168386,84,84,0,0,0,3167475,0
1,1613672,46,46,2,1,0,1613054,0
0,1786331,134,134,0,0,4,1785448,0
1,38833,125,125,2,1,4,38004,1
0,64524,122,122,0,0,3,63623,1
0,119359,214,214,0,0,13,118488,0
0,1291545,119,119,0,0,2,1290640,0
0,2821965,206,206,0,0,12,2821073,0
0,1318081,120,120,0,0,2,1317200,0
1,2698387,201,201,2,1,12,2697497,0
0,2307482,66,66,0,0,0,2306646,0
0,97344,127,127,0,0,4,96440,1
0,46753,2,2,0,0,0,45868,0
0,1186857,115,115,0,0,2,1185970,0
0,3003728,80,80,0,0,0,3002854,1
0,14893,124,124,0,0,4,13998,1
0,2312685,165,165,0,0,7,2311817,1
0,2057399,182,182,0,0,9,2056506,0
0,4754,107,107,0,0,1,3889,1
0,322301,132,132,0,0,4,321431,1
0,2367422,166,166,0,0,7,2366716,0
0,45746,211,211,0,0,13,44991,1
1,3220661,87,87,2,1,0,3220015,1
0,2949731,77,77,0,0,0,2948776,1
0,38163,141,141,0,0,6,37286,1
0,880743,25,25,0,0,0,879833,0
1,3347574,88,88,2,1,0,3346878,0
1,1417676,42,42,2,1,0,1417041,0
1,1801661,135,135,2,1,4,1800772,0
0,2407346,167,167,0,0,7,2406544,0
1,34996,192,192,2,1,11,34098,1
0,105637,5,5,0,0,0,104764,0
0,289183,131,131,0,0,4,288291,1
0,1908900,55,55,0,0,0,1907989,1
0,43075,178,178,0,0,8,42181,1
0,80766,212,212,0,0,13,79828,1
0,2179730,63,63,0,0,0,2178836,0
0,113373,187,187,0,0,10,112520,1
0,3550296,93,93,0,0,0,3549573,1
0,2995898,210,210,0,0,12,2995002,0
0,364621,11,11,0,0,0,363730,0
0,1094682,33,33,0,0,0,1093809,0
0,857958,24,24,0,0,0,857048,0
1,2705515,71,71,2,1,0,2704850,1
0,95815,156,156,0,0,7,95057,1
0,1770959,49,49,0,0,0,1770066,1
0,3910556,105,105,0,0,0,3909665,1
0,2662826,200,200,0,0,12,2661928,0
1,2926376,208,208,2,1,12,2925636,0
0,1248359,39,39,0,0,0,1247462,0
1,78507,126,126,2,1,4,77618,1
0,93604,213,213,0,0,13,92715,1
0,7961,153,153,0,0,7,7128,1
0,815039,22,22,0,0,0,814169,0
1,2783215,204,204,2,1,12,2782301,0
0,158576,158,158,0,0,7,157686,1
0,204190,190,190,0,0,10,203324,1
0,11796,0,0,0,0,0,10901,0
1,146106,128,128,2,1,4,145433,1
0,1284813,111,111,0,0,1,1283955,1
1,2877942,76,76,2,1,0,2877270,0
1,2726363,72,72,2,1,0,2725684,0
0,120842,109,109,0,0,1,119945,1
0,1153637,34,34,0,0,0,1152742,1
0,2008858,59,59,0,0,0,2007978,1
0,2615497,171,171,0,0,7,2614624,0
1,759899,21,21,2,1,0,759170,0
1,2551606,169,169,2,1,7,2550972,0
1,1040077,31,31,2,1,0,1039506,1
0,346732,10,10,0,0,0,345835,0
1,2932579,209,209,2,1,12,2931935,0
1,4378,123,123,2,1,4,3485,1
0,826454,23,23,0,0,0,825605,0
0,127918,215,215,0,0,13,127024,1
0,84763,4,4,0,0,0,83884,0
0,1852658,137,137,0,0,4,1851750,0
0,1009343,29,29,0,0,0,1008447,1
1,3052381,82,82,2,1,0,3051492,0
0,2200677,185,185,0,0,9,2199788,0
0,2711241,202,202,0,0,12,2710329,0
1,2815974,74,74,2,1,0,2815301,1
0,76101,155,155,0,0,7,75205,1
0,2027332,60,60,0,0,0,2026451,1
0,820,152,152,0,0,7,152,1
0,65756,142,142,0,0,6,64848,1
1,2652248,199,199,2,1,12,2651353,0
1,3659876,97,97,2,1,0,3658970,1
0,2564908,68,68,0,0,0,2564013,1
1,3954382,106,106,2,1,0,3953716,1
0,2157748,62,62,0,0,0,2156854,0
0,1347591,41,41,0,0,0,1346693,0
1,526126,14,14,2,1,0,525496,1
0,33425,177,177,0,0,8,32546,0
0,1230850,38,38,1,0,0,1230443,0
0,1872146,138,138,0,0,4,1871256,0
1,3175328,85,85,2,1,0,3174631,0
0,2783867,175,175,0,0,7,2782938,0
0,743255,20,20,0,0,0,742382,0
1,3379061,89,89,2,1,0,3378314,0
1,3182281,86,86,2,1,0,3181624,0
0,3482173,91,91,0,0,0,3481283,1
0,1210237,37,37,0,0,0,1209330,0
1,988351,28,28,2,1,0,987725,1
1,324293,162,162,2,1,7,323385,0
0,1438969,43,43,0,0,0,1438094,0
0,3892299,104,104,0,0,0,3891419,1
1,3743061,100,100,2,1,0,3742382,1
1,84968,143,143,2,1,6,84024,1
0,2127433,184,184,0,0,9,2126559,0
0,1327411,40,40,0,0,0,1326527,0
0,254865,161,161,0,0,7,253708,1
0,189169,219,219,0,0,13,188272,1
1,2218472,64,64,2,1,0,2217756,0
0,67225,3,3,0,0,0,66335,0
0,1205860,116,116,0,0,2,1204942,0
0,1827968,51,51,0,0,0,1827078,1
0,2042250,150,150,0,0,6,2041355,0
0,33872,1,1,0,0,0,33277,0
1,77458,108,108,2,1,1,76610,1
0,1150468,114,114,0,0,2,1149549,0
0,1594881,45,45,0,0,0,1594014,0
0,16184,186,186,0,0,10,15295,1
0,3426722,90,90,0,0,0,3425850,0
1,1715761,48,48,2,1,0,1715156,1
0,1062170,32,32,0,0,0,1061271,1
1,121515,144,144,2,1,6,120611,1
0,251301,8,8,0,0,0,250440,0
0,2594754,196,196,0,0,12,2593863,0
1,906554,26,26,2,1,0,905921,0
1,62971,179,179,2,1,8,62301,1
0,13000,121,121,0,0,3,12198,1
0,3806554,101,101,0,0,0,3805732,1
0,3505382,92,92,0,0,0,3504459,1
0,209987,145,145,0,0,6,209125,1
0,1790274,50,50,0,0,0,1789375,1
0,3733654,99,99,0,0,0,3732796,0
0,268360,9,9,0,0,0,267451,0
0,438609,12,12,0,0,0,437719,0
0,1967467,58,58,0,0,0,1966575,1
0,3702726,98,98,0,0,0,3701790,1
0,1984098,148,148,0,0,6,1983179,0
0,601650,16,16,0,0,0,600802,1
0,133377,188,188,0,0,10,132540,1
0,2621113,70,70,0,0,0,2620236,1
1,2888805,207,207,2,1,12,2887907,0
0,2051827,151,151,0,0,6,2050966,1
1,1386,140,140,2,1,6,484,1
1,3596070,94,94,2,1,0,3595390,1
1,246982,191,191,2,1,10,246140,1
0,2090425,61,61,0,0,0,2089410,1
0,1845491,52,52,0,0,0,1844736,1
0,1271094,118,118,0,0,2,1270209,0
0,1628990,47,47,0,0,0,1628066,0
1,1898490,146,146,2,1,6,1897629,0
0,2634567,198,198,0,0,12,2633713,0
1,191596,159,159,2,1,7,190749,1
0,171488,218,218,0,0,13,170598,1
0,497244,13,13,0,0,0,496597,0
1,1859223,53,53,2,1,0,1858664,1
0,144405,216,216,0,0,13,143511,1
1,2990646,79,79,2,1,0,2989777,1
0,2545626,194,194,0,0,12,2544759,1
1,2445932,168,168,2,1,7,2445267,0
0,1948074,57,57,0,0,0,1947184,1
0,1546310,44,44,0,0,0,1545461,1
1,1361459,112,112,2,1,1,1360547,0
1,2262487,164,164,2,1,7,2261658,0
0,708959,19,19,0,0,0,708072,0
0,2097475,183,183,0,0,9,2096692,0
0,208310,220,220,0,0,13,207430,1
1,2695396,174,174,2,1,7,2694666,0
0,2596095,170,170,0,0,7,2595159,0
0,1908828,147,147,0,0,6,1907931,0
0,2627532,172,172,0,0,7,2626600,0
0,1231122,110,110,0,0,1,1230272,1
0,3632450,96,96,0,0,0,3631526,1
1,2773159,73,73,2,1,0,2772414,0
0,1823794,136,136,0,0,4,1822913,0
1,350187,221,221,2,1,13,349230,1
0,689590,18,18,0,0,0,688695,0
0,160866,217,217,0,0,13,159967,1
0,2586058,69,69,0,0,0,2585173,1
0,1237158,117,117,0,0,2,1236391,0
1,2764326,203,203,2,1,12,2763689,0
0,104951,113,113,0,0,2,104050,1
