SPORT_TYPE,FREEBASE_ID,COMMONS_CATEGORY
1,7,5
1,19,25
1,19,4
1,13,20
1,19,13
1,19,4
1,19,4
1,14,7
0,16,0
0,16,0
1,19,14
1,19,13
1,19,23
1,14,7
1,19,4
1,9,18
1,19,10
1,12,19
1,19,4
1,11,4
1,19,4
1,19,13
1,8,4
1,2,9
1,14,7
1,19,4
1,17,8
1,19,11
1,5,16
1,19,12
1,12,19
1,0,21
1,19,14
1,10,17
1,19,11
1,15,3
1,19,1
1,19,25
1,19,4
1,13,20
1,19,24
1,1,4
1,13,20
1,12,19
1,19,25
1,3,22
1,15,3
1,19,11
1,0,21
1,19,10
1,5,16
1,7,5
1,9,18
1,19,4
1,19,24
1,19,4
1,7,5
1,12,19
1,2,9
1,4,2
1,19,4
1,19,13
1,19,4
1,5,16
1,14,7
1,19,4
1,18,4
1,10,17
1,19,23
1,7,5
1,19,15
1,19,13
1,5,16
1,19,26
1,9,18
1,19,4
1,19,12
1,6,6
1,4,2
1,19,27
1,19,4
1,13,20
1,19,4
1,19,26
1,19,10
1,17,8
1,2,9
1,19,12
