Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,520756,28,28,3,0,519809,1
0,434643,30,30,3,0,432829,0
0,11438889,14,14,7,0,11438077,1
0,15089831,18,18,3,0,15088605,0
0,5649719,8,8,3,0,5648142,1
0,2775423,6,6,3,0,2774086,0
0,1447996,2,2,7,0,1447043,1
0,22979736,24,24,3,0,22978261,1
0,1833747,4,4,3,0,1832821,1
1,559806,32,32,5,1,558834,0
0,2646920,5,5,8,0,2645877,0
0,12197203,17,17,6,0,12196105,0
0,10381344,13,13,3,0,10380256,1
0,73871,0,0,0,0,73416,0
0,11705435,16,16,7,0,11704542,0
0,23628449,25,25,4,0,23628117,1
0,1120997,29,29,3,0,1120479,1
0,3138110,34,34,3,0,3137298,1
0,16157563,19,19,4,0,16156159,1
0,3848398,1,1,2,0,3847910,0
0,21906493,23,23,4,0,21905750,1
0,7139860,10,10,3,0,7138967,1
0,8559,27,27,3,0,7741,1
0,16867243,20,20,3,0,16866602,1
0,7636842,11,11,2,0,7635970,1
0,18311896,21,21,2,0,18311003,1
0,2858803,33,33,3,0,2858432,0
0,7635530,12,12,3,0,7634784,1
0,2780894,7,7,4,0,2779937,1
0,24599377,26,26,1,0,24599018,1
0,6549201,9,9,3,0,6548746,0
0,1966177,31,31,3,0,1965272,0
0,1579373,3,3,2,0,1578207,1
0,11546763,15,15,3,0,11545570,1
0,21347370,22,22,3,0,21345970,1
