Languages,Nationality,ProfileImage,BirthDate,CqRankingMaleCyclistId,FirstName,FirstCyclingRiderId,EventsParticipated,HeightCm,CommonsCategory,FullName,ProCyclingStatsCyclistId,BirthPlace,UciRiderId,CyclingArchivesCyclistId
1,7,4,12,18498.0,5,16154.0,1,187.0,5,5,138830,14,63841,58906
3,3,5,2,2086.0,1,377.0,7,184.0,1,1,140786,10,22143,9414
6,6,3,11,19070.0,4,7639.0,7,178.0,4,4,137769,2,79921,71836
3,3,15,7,6784.0,11,1007.0,7,188.0,11,11,140342,0,45024,18093
4,4,7,3,4744.0,10,1864.0,0,175.0,10,10,140485,3,30730,22746
5,5,1,8,8079.0,15,7871.0,8,178.0,15,15,140146,4,54970,36946
5,5,1,8,8079.0,15,7871.0,8,178.0,15,15,140146,4,54970,36946
4,4,2,0,10.0,0,179.0,6,184.0,0,0,140365,8,11372,3676
1,0,10,9,10454.0,9,812.0,7,176.0,9,9,140453,5,55042,22193
2,2,0,13,18714.0,3,16752.0,6,169.0,3,3,137724,12,68950,38737
6,6,14,1,270.0,14,666.0,7,190.0,14,14,140619,7,14576,3926
4,4,12,14,20535.0,6,14791.0,5,181.0,6,6,160352,1,89125,73388
4,4,6,16,24151.0,7,27278.0,4,,7,7,179224,1,101658,95087
2,2,8,10,16881.0,13,2530.0,7,175.0,12,13,140633,15,59614,32178
1,7,11,5,12297.0,8,2364.0,2,,8,8,138877,9,34718,15290
0,1,16,15,20730.0,16,18258.0,3,187.0,16,16,168961,6,75859,74709
6,6,13,4,10424.0,12,2182.0,7,172.0,13,12,140934,13,55735,32000
1,7,9,6,7606.0,2,828.0,7,179.0,2,2,140501,11,45633,20340
