Gene_Classification,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,1662950,13,1661937,1
0,384182,75,382887,0
0,1957918,57,1956215,0
0,740372,23,739299,0
0,1356346,48,1354634,1
0,401051,45,400292,0
1,545819,22,544815,0
0,807440,72,806025,0
1,120630,14,119065,0
0,2350,5,965,0
0,183296,63,181743,1
0,96204,71,95182,1
1,2122182,2,2120788,1
0,434782,74,433358,0
1,373406,51,371496,1
0,276965,34,276033,1
0,2133734,55,2133172,1
1,1720929,30,1719919,0
0,802557,79,801154,0
0,432759,19,431323,0
1,428550,44,427162,0
0,406809,78,405529,0
0,423414,18,422794,0
0,488962,26,488378,0
1,603942,61,602953,1
0,649350,3,647746,1
0,1053526,27,1052240,1
0,428424,40,427006,0
0,532018,81,530630,0
1,6897,4,5479,0
1,413826,41,412408,0
1,1480218,11,1478512,1
1,1111176,69,1109698,0
0,168069,0,166519,0
0,406516,39,405110,0
1,5338,43,4406,1
1,461547,46,460189,0
1,21584,9,19890,1
0,489416,6,489063,0
0,3277,17,1805,0
0,375903,7,374896,1
0,445437,42,444157,0
1,464293,20,462872,1
0,5790,24,4375,1
1,17774,66,16488,1
0,1623870,29,1622425,0
0,1178108,70,1176633,0
0,1206373,50,1204937,0
0,915863,35,915636,0
0,10843,64,9875,1
0,2077637,31,2076276,0
0,161,65,3,1
0,4346,59,2898,0
1,411951,36,410611,0
1,1613551,56,1612028,0
1,486119,28,484647,1
0,21672,12,20227,1
0,848504,1,847224,1
0,1885991,15,1884423,1
0,229325,58,227910,0
0,42175,60,40730,0
0,1861827,33,1860490,0
1,2138530,54,2137184,1
1,6645,68,5179,1
1,401095,21,399644,0
1,440871,73,439477,0
0,129767,80,128835,0
0,1181813,53,1181490,1
1,377047,76,375671,0
0,407538,25,407386,1
1,395492,77,394080,0
1,19699,10,17999,0
1,1461,38,1,0
0,1673448,16,1672462,0
0,56906,8,55425,1
1,5370,62,3925,0
1,587224,82,585836,0
0,1876953,32,1875676,0
0,1345315,49,1343381,1
1,385849,47,384458,0
0,18574,37,17966,0
0,1142020,52,1140743,0
0,39044,67,37485,1
