Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,13580138,101,2,13578653
0,10821920,85,2,10820229
0,6956172,55,2,6955569
0,8422594,66,3,8420066
0,9310089,76,2,9309220
1,10429864,79,5,10428729
1,3235158,28,2,3233849
0,2141514,16,11,2139061
0,20867515,144,1,20866022
0,12246771,93,2,12245099
1,2728681,20,23,2727125
1,1471242,11,2,1469688
1,20915947,145,1,20914958
1,9221896,75,5,9220525
1,6842720,54,5,6840311
0,6638754,53,4,6637225
0,421354,1,11,418907
0,18735986,134,15,18734498
0,5596435,44,2,5595701
0,9311660,77,1,9310200
1,17401205,124,13,17399302
1,23649517,156,2,23648664
0,6441604,52,2,6440312
1,12849258,97,2,12848426
0,20479303,142,6,20477665
1,2862968,21,5,2861630
1,1005104,7,2,1003707
0,3097194,25,1,3096508
0,2680808,19,16,2679423
0,3802426,32,13,3800009
0,14451589,109,1,14449142
1,23514561,155,1,23513521
1,15398283,114,1,15396637
1,4910787,40,5,4909550
1,12488986,94,2,12486822
1,18766836,135,2,18765534
1,7776355,60,1,7775540
0,3511059,31,5,3509868
0,18932862,136,2,18931125
0,8066513,62,5,8065765
1,13391838,100,5,13390600
1,2597044,17,14,2596686
0,14931220,112,1,14928527
1,11473094,87,1,11472201
1,13980614,106,2,13979644
1,34835,166,19,33567
1,7857029,61,1,7856016
1,4365383,35,24,4363173
0,13813861,102,1,13812362
1,11600931,89,2,11599714
1,8836279,71,7,8834339
1,8643477,67,5,8642485
0,14939089,113,5,14937890
0,3098509,26,1,3097631
1,12567288,95,2,12566661
0,6088421,48,1,6085950
0,2003214,14,5,2002366
0,14766244,111,20,14765282
0,11497432,88,2,11496159
0,3049161,23,25,3048399
0,981427,6,5,980799
0,24218799,161,1,24217882
0,18449802,132,2,18448896
0,424362,2,23,423166
0,2642795,18,16,2641014
1,22586503,152,8,22583996
1,23902858,159,2,23901544
1,15431493,115,10,15429022
1,15741,0,18,14537
1,2912105,22,1,2911437
1,12160930,92,8,12160046
1,16835079,120,23,16833925
1,23866829,158,2,23865703
1,16416071,119,22,16413631
1,11654127,90,8,11653435
0,938369,5,2,937674
1,6170322,49,2,6168823
0,13282465,99,26,13280789
1,16920482,121,18,16919435
1,19133424,138,1,19132048
1,6835,164,14,4667
0,21703774,149,2,21701900
1,17627223,127,2,17625592
1,7009171,56,2,7008393
1,18038313,129,2,18037247
1,6362947,51,5,6361372
1,4253831,34,8,4252749
0,14479105,110,2,14478302
0,3453161,30,1,3451287
0,13013122,98,1,13011857
1,2102690,15,11,2100093
0,17542792,125,2,17541345
1,17122877,122,5,17120601
1,8306625,64,5,8305246
1,3312359,29,1,3311109
1,20286216,140,5,20285100
1,4431456,36,27,4430512
1,9200825,74,5,9199485
0,17643761,128,2,17642746
1,4102721,33,12,4101290
1,15463044,116,0,15461240
1,42748,167,14,41047
1,10634319,82,1,10632709
1,5212347,42,1,5211163
1,14201412,107,23,14200354
1,21840929,150,1,21839502
1,18150907,130,5,18149782
0,23311866,154,2,23310921
0,4756236,38,5,4754812
1,8297673,63,2,8296462
0,3054496,24,4,3053067
0,448516,3,16,445739
0,11412405,86,2,11411355
0,8987276,72,4,8985246
1,8380600,65,2,8379902
0,21107478,147,2,21106076
1,22342311,151,1,22341328
0,8750931,70,1,8750116
1,496336,4,21,495000
1,1005618,8,2,1005001
1,5776202,47,1,5773752
0,20600592,143,1,20599396
0,13967339,105,16,13965975
1,1139526,10,2,1138537
0,18233087,131,1,18230676
0,7252202,58,5,7251567
1,21033305,146,1,21032577
0,14264630,108,5,14263463
0,19361160,139,2,19359904
0,22800650,153,1,22799643
0,6283351,50,2,6282458
1,5252907,43,17,5251626
1,10815148,84,2,10814110
0,4838125,39,9,4836803
1,19131431,137,11,19128978
0,24324304,162,2,24323249
0,18526135,133,1,18525296
1,5764705,46,2,5763288
1,4622430,37,24,4620634
0,8706530,69,3,8704372
1,1662089,13,5,1659698
0,5646569,45,1,5645517
0,17573162,126,1,17572161
1,24075061,160,2,24073248
0,13816694,103,16,13815414
0,3221626,27,5,3220494
1,17383110,123,5,17381675
0,23718778,157,2,23717642
1,9294,165,14,6891
1,5210452,41,25,5209340
1,15945723,117,2,15943858
0,13953853,104,1,13952477
0,16025845,118,8,16025135
1,10517795,81,2,10516812
0,9369143,78,5,9368165
0,11737964,91,2,11736173
0,8662629,68,1,8661322
0,7507311,59,4,7506176
1,12665749,96,1,12664313
1,24717108,163,2,24715475
1,1565906,12,5,1564519
1,21368024,148,2,21366772
1,7207112,57,1,7205454
0,10790484,83,1,10789222
0,1031106,9,1,1030219
1,9120663,73,1,9118189
0,20333137,141,1,20331131
0,10514318,80,1,10512900
