Citizenship_Country,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Race_Participation,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
6,9,39897.0,12748.0,8,1741.0,138849,4,8,64864,67.0,8,9,146564.0,13,9,4,54755,3050,173,0,7
8,15,58495.0,22516.0,2,,168779,11,19,86813,72.0,15,6,,5,3,6,78350,16783,181,13,9
7,18,49272.0,17881.0,16,13864.0,140294,7,5,76092,56.0,9,5,,1,16,10,38092,4863,169,10,8
0,10,,26392.0,9,,193131,11,10,148275,69.0,17,0,,8,10,4,89152,45363,176,13,0
7,6,39941.0,10070.0,6,,140615,11,12,33579,67.0,4,10,142501.0,3,7,1,14215,872,177,8,8
3,3,17747.0,1992.0,5,35988.0,140399,3,17,31056,63.0,1,10,,17,6,9,11476,486,175,2,3
0,8,52110.0,19577.0,11,,150271,11,14,75262,66.0,13,3,,18,12,10,65915,9073,183,1,4
2,16,57472.0,21342.0,18,317302.0,178184,11,4,91656,62.0,12,1,142266.0,7,18,8,66785,23097,170,13,2
6,1,69634.0,26526.0,19,5000.0,194619,11,6,149727,66.0,18,9,146565.0,9,19,5,115790,45992,176,13,7
0,4,16313.0,3333.0,7,134950.0,140752,2,9,44513,74.0,2,3,126409.0,15,8,10,18746,150,181,4,0
6,11,55710.0,21145.0,12,20655.0,132339,10,7,86863,70.0,14,15,135862.0,6,13,11,71405,16687,185,6,7
0,7,41199.0,8921.0,10,11850.0,140191,6,1,69192,,5,4,,4,11,9,58138,920,185,7,4
0,4,16313.0,3333.0,7,134950.0,140752,2,9,44513,74.0,2,3,126409.0,15,8,10,18746,150,181,4,0
7,0,16289.0,5.0,1,470645.0,140924,1,11,14575,61.0,0,8,103634.0,14,1,9,7005,38,177,5,8
6,1,69634.0,26526.0,19,5000.0,194619,11,6,149727,66.0,18,9,146565.0,9,19,5,115790,45992,176,13,7
8,5,19255.0,3891.0,4,508772.0,140196,0,3,32532,71.0,3,7,113194.0,12,5,7,11292,716,183,3,9
5,2,62205.0,23765.0,3,9170.0,181466,11,0,97939,,16,11,143896.0,2,4,6,94397,27283,170,13,6
7,6,39941.0,10070.0,6,,140615,11,12,33579,67.0,4,10,142501.0,3,7,1,14215,872,177,8,8
6,14,56041.0,20719.0,17,127549.0,174582,9,15,88889,65.0,6,14,135863.0,11,17,2,72449,18655,177,12,4
6,14,56041.0,20719.0,17,127549.0,174582,9,15,88889,65.0,6,14,135863.0,11,17,2,72449,18655,177,12,4
0,12,75207.0,,13,,205970,11,13,154227,,19,12,141006.0,16,14,6,104359,70034,175,13,0
5,2,62205.0,23765.0,3,9170.0,181466,11,0,97939,,16,11,143896.0,2,4,6,94397,27283,170,13,6
1,17,39842.0,12843.0,14,1311517.0,140292,5,16,67388,58.0,7,2,141955.0,10,15,0,57418,2276,166,9,1
4,13,,13313.0,15,,138189,11,18,439866,70.0,10,16,,0,2,6,87421,8551,171,13,5
0,10,,26392.0,9,,193131,11,10,148275,69.0,17,0,,8,10,4,89152,45363,176,13,0
1,17,39842.0,12843.0,14,1311517.0,140292,5,16,67388,58.0,7,2,141955.0,10,15,0,57418,2276,166,9,1
8,19,56666.0,18975.0,0,32176.0,133024,8,2,70590,58.0,11,13,133999.0,19,0,3,65132,20147,172,11,9
6,11,55710.0,21145.0,12,20655.0,132339,10,7,86863,70.0,14,15,135862.0,6,13,11,71405,16687,185,6,7
