Citizenship_Country,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Race_Participation,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
5,3,69634.0,26526,9,5000.0,194619,6,5,149727,66.0,10,5,146565.0,7,9,6,115790,45992,176.0,6,6
1,10,51513.0,17627,10,69964.0,135523,3,3,78566,60.0,4,1,133843.0,1,10,2,60103,6104,183.0,5,1
0,0,57256.0,23463,8,,189196,6,6,89712,72.0,7,2,,6,5,4,72654,34624,180.0,2,0
3,6,41102.0,13411,2,,140510,2,8,65478,,2,9,,3,2,7,37695,6223,,1,4
3,8,17747.0,1992,3,35988.0,140399,0,7,31056,63.0,0,7,,9,3,8,11476,486,175.0,3,3
3,1,58206.0,20196,1,,161575,6,0,77425,63.0,5,0,,4,1,7,73120,20466,172.0,6,3
0,4,19249.0,4898,0,,140156,5,9,30344,63.0,1,2,,8,0,1,17293,7760,178.0,0,0
1,9,58116.0,22910,7,15237.0,170625,6,2,99713,78.0,9,3,142862.0,6,8,3,81488,27111,186.0,6,4
3,5,61640.0,21812,4,10093.0,170183,6,1,97091,58.0,8,4,144171.0,2,4,5,91127,20384,176.0,6,3
4,2,43386.0,14310,6,35954.0,140509,1,10,53804,62.0,3,6,135495.0,5,7,0,36343,3991,173.0,4,5
2,7,56436.0,20917,5,5649.0,156570,4,4,77380,78.0,6,8,,0,6,7,71706,9746,180.0,6,2
