Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,144,10807,1
0,0,6110,100,3849,0
1,0,457048,90,454787,0
0,0,478833,231,476677,0
0,0,16869,154,14662,0
0,0,4025,165,1761,1
1,0,20192,203,18165,1
0,0,3770,51,732,1
1,0,828777,109,827212,1
1,0,9061,56,6806,1
0,0,2776,157,509,0
1,0,211189,118,209180,1
1,0,7765,29,5519,1
0,0,3747,24,1363,1
0,0,555948,171,553549,0
0,0,487264,95,485114,0
0,0,763294,176,761027,0
0,0,1178466,117,1176085,0
1,0,53359,116,52601,1
1,0,96434,222,94266,1
1,0,45480,197,43330,1
1,0,609383,79,607077,0
1,0,5633,12,4134,0
1,0,813661,182,811541,0
0,0,243718,97,243449,0
0,0,480713,37,478230,0
1,0,114439,8,112868,1
0,0,14957,64,12933,0
1,0,356577,107,354673,0
0,0,371476,172,369323,0
1,0,50723,122,48507,1
1,0,562476,173,560179,0
0,0,56175,85,53914,1
1,0,1621,65,2,1
0,0,4679,115,2307,1
0,0,11646,125,9286,1
0,0,45278,101,42840,0
0,0,47037,178,44773,1
0,0,487691,30,485538,0
0,0,477337,10,476408,0
0,0,828692,195,827244,1
1,0,909033,32,906619,0
0,0,1062,3,1,0
0,0,15153,209,12949,1
1,0,81519,11,79698,1
0,0,65232,218,62692,1
0,0,710857,49,709519,0
0,0,76316,28,74154,1
1,0,799420,225,796943,0
0,0,7491,128,5182,1
0,0,2056,50,2,1
0,0,4947,45,2638,0
1,0,441740,93,439797,1
0,0,2326647,17,2325364,0
1,0,777368,224,775140,0
1,0,51771,234,49540,1
0,0,59089,40,56687,1
1,0,552888,219,550654,0
0,0,79561,119,77369,1
1,0,1451239,130,1449053,0
0,0,1009290,44,1006993,0
1,0,170211,124,168412,1
0,0,4516,54,3179,1
0,0,611448,112,610807,0
0,0,5046,159,2860,1
1,0,1375691,121,1373202,0
0,0,27070,142,24536,1
1,0,224206,202,222371,1
1,0,689616,82,687517,0
1,0,372955,230,370655,1
1,0,1204656,198,1202680,0
1,0,11060,143,8994,1
1,0,2096,147,747,1
0,0,1138,5,2,0
1,0,8253,103,6340,1
1,0,1189025,189,1186812,0
1,0,496899,102,495853,0
0,0,1474,16,101,1
0,0,1039862,77,1037046,0
0,0,20107,69,17801,1
0,0,14203,58,11819,1
0,0,391932,7,389746,1
0,0,3932,162,1401,0
0,0,915393,63,914149,0
0,0,682195,70,679628,0
0,0,394758,20,393970,0
0,0,580782,169,579763,0
1,0,4883,41,2628,1
1,0,519612,205,517492,1
0,0,2976,164,781,0
0,0,1159648,145,1157084,0
0,0,7454,53,5259,1
1,0,654471,76,652312,1
0,0,2907,35,667,0
0,0,27924,6,26149,1
0,0,1705791,89,1703299,1
0,0,3230,129,921,1
0,0,2152,9,38,0
0,0,507624,192,505363,0
1,0,459000,174,456733,0
1,0,123424,232,121439,0
1,0,805063,180,803291,0
