Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,10,1711409,0
1,0,32772,101,29866,1
0,0,373899,32,371611,1
0,0,721934,79,719244,1
0,0,428427,92,425755,0
0,0,1324430,93,1322082,0
0,0,465591,162,462814,0
0,0,54199,35,51578,1
1,0,952113,118,949273,1
0,0,1024944,233,1022305,0
1,0,199898,39,197364,1
0,0,404584,120,402206,0
0,0,473501,202,470631,0
0,0,246580,91,243767,0
0,0,33755,30,30969,0
0,0,355891,244,353552,0
0,0,602339,48,600009,0
1,0,1100880,194,1098211,1
1,0,1123469,221,1120611,0
0,0,1147282,168,1144757,1
1,0,32977,216,30248,1
0,0,33431,29,30843,1
0,0,184674,7,182293,0
0,0,1516533,47,1514173,1
0,0,553480,173,550610,0
0,0,16153,33,13502,0
0,0,292921,245,290183,1
0,0,256062,178,253732,0
0,0,25495,54,22811,0
0,0,8691,195,6085,1
0,0,180436,213,177890,1
0,0,15222,212,12538,1
0,0,849988,205,847319,0
0,0,1919214,107,1916677,1
0,0,546874,143,544250,0
1,0,1014233,136,1011738,0
0,0,519004,251,516413,0
0,0,1161129,167,1158613,0
0,0,82609,139,79808,1
1,0,316755,121,314314,0
0,0,622377,45,620053,0
0,0,483376,100,480707,1
0,0,1176004,166,1173581,0
0,0,1015945,209,1013150,1
0,0,204433,67,201761,1
0,0,1745786,15,1743231,0
0,0,125132,85,122370,1
1,0,17633,25,14982,0
0,0,4209,123,1423,0
0,0,187941,232,185287,0
0,0,1035713,62,1032837,0
0,0,425184,137,422410,0
0,0,513629,257,510834,0
0,0,565358,87,563163,1
0,0,1115182,220,1112378,0
1,0,432436,159,429818,0
0,0,218715,59,215884,1
1,0,86749,153,84020,1
1,0,396102,74,393418,0
1,0,107074,254,104540,0
0,0,602587,46,600077,0
1,0,389747,164,387120,0
0,0,422008,200,419294,0
0,0,1065877,198,1063010,0
0,0,378614,163,375975,0
0,0,309384,112,306937,0
0,0,585607,86,583331,1
0,0,7162,23,4697,0
0,0,650434,43,647633,1
0,0,23290,218,20606,1
0,0,9867,65,7462,0
1,0,442799,201,439932,1
0,0,1695278,9,1692543,1
0,0,700388,17,697620,0
0,0,14845,51,11996,0
0,0,8092,214,5759,0
1,0,13979,197,11352,1
0,0,1045611,208,1042786,0
0,0,15062,90,12438,0
0,0,1061168,114,1059124,0
0,0,8115,172,5269,1
0,0,10893,95,8359,1
0,0,1966199,106,1963551,1
0,0,585177,204,582301,0
0,0,475012,142,472298,0
0,0,1314205,94,1311887,0
0,0,1096585,235,1093946,1
1,0,9580,196,6749,1
0,0,50888,152,48174,1
0,0,1062895,234,1060310,1
0,0,758419,49,756089,0
0,0,12594,151,9967,0
