Nationality,Biography,ProfileImage,TwitterHandle,BirthDate,CqRankingMaleCyclistId,FirstName,FirstCyclingRiderId,EventsParticipated,HeightCm,CommonsCategory,InstagramHandle,TeamAffiliation,ProCyclingStatsCyclistId,Birthplace,UciRiderId,CyclingArchivesCyclistId
1,18,22,9,15,16722,21,6228,16,183.0,21,14,10,140674,19,64531,52973
5,8,16,7,19,17902,12,6100,15,180.0,12,7,13,131925,8,68833,39987
12,5,6,5,18,18498,3,16154,6,187.0,3,0,9,138830,23,63841,58906
3,11,2,14,20,18714,2,16752,13,169.0,2,0,17,137724,17,68950,38737
9,17,8,7,17,18638,16,11010,10,178.0,16,0,0,132259,16,70651,71526
4,12,3,22,3,3360,24,95,14,185.0,24,16,14,140843,5,28586,18086
10,19,19,18,10,12193,17,784,1,184.0,17,10,5,140797,24,54603,30229
7,15,23,21,16,16739,23,3930,7,178.0,23,15,6,139066,18,68892,60442
1,3,13,15,6,4555,5,2146,6,189.0,5,3,19,138681,9,44976,17995
4,13,21,17,8,6784,13,1007,14,188.0,13,8,14,140342,1,45024,18093
13,0,10,7,9,19263,7,12798,5,,7,0,2,134362,7,86338,52678
12,4,17,4,4,3448,14,14,14,175.0,14,0,11,140768,6,32923,16824
0,22,24,19,0,267,20,339,14,170.0,20,13,8,140757,14,25781,3175
1,2,25,10,25,20730,25,18258,8,187.0,25,17,3,168961,10,75859,74709
8,16,14,11,14,13153,0,17940,0,181.0,0,0,1,137531,2,44055,25006
1,18,22,9,15,16722,21,6228,16,183.0,21,14,10,140674,19,64531,52973
12,21,12,3,5,3891,10,716,12,183.0,10,0,8,140196,4,32532,11292
2,7,20,7,2,5714,18,3212,2,,18,0,7,140068,11,56349,17257
6,9,7,0,22,19242,4,7730,3,183.0,4,2,8,139823,20,69149,43239
10,19,19,18,10,12193,17,784,1,184.0,17,10,5,140797,24,54603,30229
2,6,4,2,24,20777,8,18575,4,180.0,8,5,14,179769,12,86568,79781
6,10,5,1,21,17794,6,7724,2,187.0,6,4,6,139904,22,68844,52412
0,1,0,8,12,12823,19,2322,14,182.0,19,12,4,137337,0,58891,34412
11,20,1,12,1,387,1,3,13,176.0,1,1,16,137456,13,518429,1567
7,14,15,6,23,21113,11,16660,9,189.0,11,9,12,162756,21,79350,71921
0,1,18,13,13,13066,15,2211,11,178.0,15,0,15,140384,3,62919,39964
1,2,9,20,7,7948,22,865,7,179.0,22,11,18,139845,9,59022,61694
8,16,11,16,11,12254,9,3352,6,180.0,9,6,15,140150,15,64445,53220
