Gender,Birth_Date,First_Name,Citizenship_Country,Birthplace
1,140,72,0,0
1,109,64,0,0
1,13,57,0,0
1,57,64,0,0
1,44,64,0,0
0,37,14,5,0
1,152,76,0,0
1,165,64,0,0
1,84,47,0,2
1,146,64,0,0
1,101,64,0,0
1,182,57,0,0
1,172,64,8,0
1,47,57,0,0
1,137,72,0,0
1,72,28,5,0
1,39,64,5,0
1,85,64,0,0
1,182,64,8,0
1,115,64,5,0
1,0,84,3,1
1,144,32,0,0
1,6,88,5,0
1,169,11,0,0
1,151,4,0,0
1,119,64,0,0
1,33,64,0,0
1,168,64,8,0
1,14,64,8,0
1,156,64,8,0
1,40,86,0,0
1,39,8,0,0
1,93,85,8,0
1,87,64,0,0
1,105,64,0,0
1,46,64,0,0
1,182,64,8,0
1,123,78,0,0
1,180,64,9,0
1,33,42,5,0
0,134,71,0,0
1,158,66,0,0
0,86,51,5,0
1,97,64,0,0
1,167,64,0,0
1,83,64,0,0
1,80,12,0,0
1,64,64,0,0
0,18,64,0,0
1,25,64,8,0
1,81,64,0,0
0,182,64,8,0
1,111,75,0,0
1,182,5,0,0
1,26,56,5,1
1,121,46,0,0
1,7,79,5,0
1,154,64,0,0
0,112,64,0,0
1,21,64,8,0
1,82,29,5,3
1,155,37,0,0
1,171,85,0,0
0,179,64,0,0
0,179,49,5,0
1,182,61,0,0
0,164,64,0,0
1,92,63,11,0
1,45,40,5,0
1,179,65,0,0
1,22,23,5,0
1,34,58,0,0
1,54,85,0,0
1,60,57,0,0
1,182,55,0,0
1,8,1,0,0
1,182,19,5,0
1,75,58,0,0
1,114,27,0,0
0,76,87,5,0
1,77,64,8,0
1,179,52,0,0
0,108,30,0,0
1,182,7,0,0
1,95,43,5,0
0,182,64,8,0
1,166,64,0,0
1,170,64,0,0
1,51,28,12,0
1,79,3,0,0
1,62,64,7,0
1,116,57,0,0
0,178,64,0,0
1,9,64,8,5
1,65,69,0,0
1,68,57,0,0
0,138,64,8,0
1,74,64,0,0
0,49,21,5,0
0,106,22,0,0
1,52,82,8,0
1,61,3,0,0
1,182,64,0,0
0,33,64,0,0
1,120,64,0,0
1,182,64,0,0
1,104,67,5,0
0,41,64,8,0
1,93,35,0,0
1,175,64,0,0
1,67,54,8,0
1,182,61,0,0
1,71,57,0,0
1,32,57,0,0
1,182,59,0,0
1,36,64,8,0
1,125,57,0,0
1,149,64,0,0
1,182,34,5,0
1,98,60,0,6
1,143,64,0,0
1,24,15,8,0
0,148,36,0,0
1,110,64,0,0
1,182,8,0,0
1,129,50,0,0
1,43,41,5,0
1,31,17,5,0
1,90,64,0,0
1,91,64,0,0
1,69,6,0,0
0,103,71,0,0
1,96,13,4,0
1,157,44,0,0
1,28,0,0,0
1,70,64,0,0
1,163,64,0,0
1,27,7,8,0
1,174,64,0,0
1,16,64,0,0
1,58,64,0,0
1,135,64,0,0
0,162,74,8,0
0,1,25,8,0
1,48,86,0,0
0,19,83,14,1
1,4,81,5,0
0,162,9,0,0
1,132,18,0,0
1,182,64,8,0
1,100,73,0,0
1,77,53,10,0
1,73,48,0,0
1,176,64,0,0
1,118,53,0,0
1,124,64,5,0
1,160,64,0,0
1,113,64,0,0
1,78,68,0,0
0,145,9,0,0
1,5,64,0,0
1,182,7,0,0
0,2,24,8,0
1,136,44,0,0
1,11,34,5,0
1,142,57,0,0
1,127,64,0,0
1,181,64,8,0
1,182,7,0,0
1,42,20,5,0
1,20,67,5,0
1,50,70,0,0
1,177,64,0,0
1,182,57,0,0
0,141,62,5,0
0,56,45,5,7
1,182,58,13,0
1,147,57,0,0
0,122,31,0,0
1,159,44,0,0
1,117,18,0,0
1,66,64,0,0
1,182,64,0,0
1,128,64,8,0
0,17,64,0,0
1,59,57,0,0
1,23,57,5,0
1,69,64,8,0
1,55,56,8,0
0,35,64,0,0
1,126,64,0,0
1,161,64,8,0
1,150,16,0,0
1,63,64,8,0
1,133,64,0,0
1,53,38,5,0
1,139,64,0,0
1,173,61,0,0
1,99,64,0,0
1,10,64,8,0
0,130,64,0,0
1,89,70,0,0
0,182,64,8,0
0,131,39,0,0
1,146,32,0,0
1,88,64,0,0
1,15,61,0,0
1,30,64,7,0
0,107,77,5,0
1,12,2,0,0
0,182,26,0,0
1,3,33,6,0
0,153,10,0,0
1,94,64,1,4
0,29,80,2,0
0,102,64,8,0
1,38,8,0,0
