STRAND_ORIENTATION,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,23,1786847,65,65,0,0,1785821
0,24,2123033,225,225,0,9,2121981
1,12,154819,175,175,0,6,154022
1,2,2005679,74,74,1,0,2004696
1,23,545737,18,18,0,0,544797
0,23,727451,27,27,0,0,726416
0,11,1764239,162,162,0,4,1763508
0,24,2175621,227,227,0,9,2174909
0,17,2631052,245,245,0,12,2630098
1,2,1528688,54,54,1,0,1527763
1,5,13907,141,141,0,2,12933
0,23,3185796,108,108,0,0,3184809
1,20,1211877,136,136,0,1,1210906
0,14,2741232,209,209,1,7,2740189
0,23,3350446,111,111,0,0,3349469
1,12,69437,172,172,0,6,68407
0,23,2236648,79,79,0,0,2235660
0,10,2958958,256,256,1,12,2958174
0,23,3374873,112,112,0,0,3373889
0,2,2126124,77,77,1,0,2125348
0,23,845231,33,33,0,0,844259
1,9,117913,233,233,0,10,116867
1,1,132449,263,263,0,13,131407
0,5,1287410,148,148,0,2,1286397
0,2,621314,22,22,1,0,620361
0,23,3087645,106,106,0,0,3086711
0,20,1317363,139,139,0,1,1316438
1,23,1775441,64,64,0,0,1774454
0,10,2604343,243,243,1,12,2603401
0,23,434763,14,14,0,0,433749
0,23,240684,6,6,0,0,239723
1,9,83058,232,232,0,10,82100
0,3,2663503,207,207,0,7,2662569
1,23,2708277,91,91,0,0,2707301
0,23,841681,32,32,0,0,840713
0,23,694956,25,25,0,0,693924
1,2,2960312,100,100,1,0,2959559
1,21,292637,159,159,1,4,291670
1,23,1701321,61,61,0,0,1700384
1,12,42295,171,171,0,6,41246
0,23,312759,8,8,0,0,311723
1,24,69433,219,219,0,9,68481
1,9,20656,230,230,0,10,19677
0,23,2269235,81,81,0,0,2268255
0,11,1771461,163,163,0,4,1770454
1,23,1123510,43,43,0,0,1122552
0,17,2571118,241,241,0,12,2570141
1,23,2987289,102,102,0,0,2986294
0,2,175684,5,5,1,0,174773
1,3,90623,189,189,0,7,89650
1,15,155111,217,217,1,8,154099
1,23,3591099,119,119,0,0,3590238
1,23,3943402,131,131,0,0,3942518
1,23,1925586,70,70,0,0,1924600
0,3,2700655,208,208,0,7,2699685
1,23,566514,19,19,0,0,565550
1,3,173724,192,192,0,7,172733
0,17,2991514,257,257,0,12,2990543
0,5,1253998,145,145,0,2,1253021
1,23,605384,20,20,0,0,604369
1,3,220934,194,194,0,7,219956
1,23,2664333,89,89,0,0,2663373
1,23,1989967,73,73,0,0,1988968
0,3,2642245,206,206,0,7,2641489
1,23,2811023,93,93,0,0,2810056
1,23,2825953,94,94,0,0,2825009
0,17,2818375,250,250,0,12,2817354
1,23,1962233,72,72,0,0,1961243
0,23,705383,26,26,0,0,704423
1,23,1036988,40,40,0,0,1036017
0,17,2929889,254,254,0,12,2928926
1,23,1951701,71,71,0,0,1950744
1,2,613465,21,21,1,0,612696
1,20,1234677,137,137,0,1,1233707
1,23,3554822,117,117,0,0,3554085
1,12,22128,170,170,0,6,21118
1,23,2580660,84,84,0,0,2579676
1,2,2687685,90,90,1,0,2686888
0,5,1261944,146,146,0,2,1260960
1,2,2923780,97,97,1,0,2922814
0,22,2218428,229,229,1,9,2217492
1,1,98100,262,262,0,13,97104
1,11,194080,157,157,0,4,193107
0,24,2083278,224,224,0,9,2082312
1,4,34889,150,150,0,3,33931
0,24,89815,220,220,0,9,88823
1,23,3675676,122,122,0,0,3674736
1,23,1043987,41,41,0,0,1043027
0,17,2590362,242,242,0,12,2589354
0,3,2630816,205,205,0,7,2629838
0,21,1789660,165,165,1,4,1788675
0,23,3178788,107,107,0,0,3177802
0,3,2346965,199,199,0,7,2346009
1,3,127076,191,191,0,7,126066
0,23,3244723,110,110,0,0,3243964
0,14,320709,198,198,1,7,319707
1,13,250517,237,237,1,10,249557
0,8,1894910,177,177,1,6,1894237
1,11,278997,158,158,0,4,278392
1,21,8035,152,152,1,4,7042
1,21,311627,160,160,1,4,310667
0,5,1276401,147,147,0,2,1275562
1,2,530848,17,17,1,0,529877
0,23,63052,3,3,0,0,62038
1,23,3192903,109,109,0,0,3191963
0,24,2052986,223,223,0,9,2051981
0,17,2885211,252,252,0,12,2884260
0,23,3411054,113,113,0,0,3410011
1,1,204979,266,266,0,13,203989
0,0,1302731,138,138,1,1,1301798
1,23,3615342,120,120,0,0,3614358
0,23,2137083,78,78,0,0,2136116
0,23,829945,31,31,0,0,828981
0,23,2310802,82,82,0,0,2309816
1,2,1661637,60,60,1,0,1660898
0,23,3070241,105,105,0,0,3069280
1,3,80570,188,188,0,7,79583
0,22,1975350,222,222,1,9,1974370
1,23,3781213,125,125,0,0,3780167
0,12,1987656,179,179,0,6,1986653
1,9,243795,236,236,0,10,242828
0,23,1227129,47,47,0,0,1226153
0,22,2191993,228,228,1,9,2191163
1,23,1896974,69,69,0,0,1895961
1,8,196537,176,176,1,6,195815
1,23,2569200,83,83,0,0,2568416
0,12,2026638,180,180,0,6,2025643
1,23,2012514,75,75,0,0,2011537
1,4,143681,151,151,0,3,142743
0,23,350270,10,10,0,0,349232
0,23,961008,37,37,0,0,960057
0,23,818515,30,30,0,0,817520
0,11,1798060,166,166,0,4,1797042
1,20,74070,135,135,0,1,73103
0,14,2500826,202,202,1,7,2499858
1,23,3747742,124,124,0,0,3746758
0,24,96817,221,221,0,9,95832
0,23,1493581,53,53,0,0,1492608
0,23,2790671,92,92,0,0,2789740
1,1,164600,264,264,0,13,163581
1,12,81446,173,173,0,6,80444
0,3,2363219,200,200,0,7,2362256
1,23,3501883,116,116,0,0,3500926
1,23,1169323,45,45,0,0,1168314
1,23,2609560,87,87,0,0,2608581
0,2,37712,1,1,1,0,36728
0,3,2599688,203,203,0,7,2598686
1,23,3907034,130,130,0,0,3906026
0,23,756430,28,28,0,0,755452
0,10,2620539,244,244,1,12,2619563
1,20,1379,133,133,0,1,408
1,2,1719528,62,62,1,0,1718592
0,17,2922898,253,253,0,12,2921940
0,23,29762,0,0,0,0,28779
1,8,146994,174,174,1,6,146054
1,2,3832545,127,127,1,0,3831499
0,8,1944091,178,178,1,6,1943137
1,23,2931247,98,98,0,0,2930282
1,3,56587,187,187,0,7,55870
1,2,3864794,128,128,1,0,3863936
1,24,10066,218,218,0,9,9119
0,3,2768159,211,211,0,7,2767187
1,23,2970973,101,101,0,0,2969987
0,11,1819402,167,167,0,4,1818421
0,23,2886495,95,95,0,0,2885569
