Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position
0,0,301826,244,0,299487
1,0,32772,96,1,29866
1,0,373899,27,0,371611
0,0,736453,77,0,733583
1,1,190552,78,0,188093
1,0,1516533,41,0,1514173
0,0,476728,160,0,474101
1,0,54199,30,0,51578
1,0,988200,208,0,985546
1,0,1062895,235,0,1060310
0,0,246580,85,0,243767
0,0,758419,43,0,756089
0,0,488327,204,0,485541
0,0,322020,238,1,319249
0,0,33755,25,0,30969
0,0,355891,246,0,353552
1,0,993191,42,0,990858
1,0,1150558,194,1,1147775
0,0,1152306,223,0,1149583
0,0,1161129,167,0,1158613
1,0,32977,217,1,30248
1,0,33431,24,0,30843
0,0,184674,4,0,182293
1,0,1757922,190,0,1755496
0,0,553480,175,0,550610
0,0,16153,28,0,13502
1,0,292921,247,0,290183
0,0,256062,180,0,253732
0,0,25495,48,0,22811
1,0,8691,197,0,6085
1,0,180436,214,0,177890
1,0,15222,213,0,12538
0,0,867065,115,0,864531
1,0,1966199,102,0,1963551
0,0,557682,143,0,555076
0,0,1024944,234,0,1022305
0,0,519004,253,0,516413
0,0,1176004,166,0,1173581
1,0,156435,32,0,153649
1,0,447956,178,0,445458
0,0,735391,127,0,733043
0,0,1102343,227,0,1099539
0,0,1314205,88,0,1311887
1,0,1034195,210,0,1031508
1,0,650434,37,0,647633
1,0,1800605,107,0,1797939
1,0,125132,79,0,122370
0,0,17633,20,1,14982
0,0,4209,120,0,1423
0,0,187941,233,0,185287
0,0,1065877,200,0,1063010
0,0,432191,134,0,429708
0,0,536061,258,0,533287
1,0,568671,174,0,566338
0,0,1123469,222,1,1120611
0,0,443238,158,0,440629
0,0,422008,202,0,419294
1,0,86749,153,1,84020
1,0,50888,152,0,48174
0,0,107074,256,1,104540
0,0,622377,39,0,620053
0,0,404953,162,0,402317
1,0,352788,251,0,350182
0,0,185153,22,0,182502
0,0,389747,165,1,387120
0,0,309384,109,0,306937
1,0,585607,80,0,583331
0,0,7162,18,0,4697
0,0,378614,164,0,375975
1,0,23290,219,0,20606
0,0,9867,58,0,7462
0,0,473501,203,0,470631
0,0,1713823,6,0,1711409
0,0,381075,239,0,378301
0,0,14845,45,0,11996
0,0,8092,215,0,5759
1,0,13979,199,1,11352
0,0,1053239,111,0,1050549
0,0,15062,84,0,12438
1,0,1100880,196,1,1098211
1,0,8115,173,0,5269
1,0,379418,171,0,376740
1,0,2047179,186,0,2044399
1,0,665447,72,0,662586
0,0,475012,141,0,472298
0,0,1324430,87,0,1322082
0,0,1156973,237,0,1154469
1,0,9580,198,1,6749
0,0,428427,86,0,425755
1,0,1096585,236,0,1093946
0,0,810651,170,0,808318
0,0,12594,151,0,9967
1,0,9089,218,0,6579
0,0,45075,123,1,42286
1,0,1611964,99,1,1609262
0,0,1828534,106,0,1825916
1,0,483376,95,0,480707
0,0,1865809,104,0,1862957
0,0,139709,255,0,138117
0,0,404584,117,0,402206
0,0,1731005,192,0,1728183
1,0,2060220,185,0,2057611
0,0,255561,16,1,253126
1,0,12158,9,0,9363
0,0,21771,82,0,19363
0,0,506933,17,0,504105
0,0,465591,163,0,462814
0,0,262330,245,0,259847
0,0,579976,259,0,577358
1,0,16377,145,0,13513
1,0,199898,34,1,197364
0,0,1633076,188,1,1630521
0,0,602587,40,0,600077
0,0,768058,74,0,765323
1,0,1129346,169,0,1126764
0,0,20976,55,0,18310
0,0,5331,150,0,2932
1,0,204433,60,0,201761
0,0,1825289,189,0,1822929
0,0,700388,13,0,697620
1,0,6553,119,0,4166
0,0,1169591,224,0,1166769
1,0,13678,156,0,10931
0,0,468388,66,0,465485
0,0,476059,149,1,473501
0,0,1251196,182,0,1248512
1,0,1015945,209,0,1013150
1,0,1147282,168,0,1144757
1,0,721934,73,0,719244
0,0,1582479,187,1,1579936
1,0,221070,140,0,218443
1,0,218715,53,0,215884
0,0,11062,3,0,8450
1,0,1570228,98,0,1568267
0,0,308185,63,1,306188
0,0,546370,44,0,543824
0,0,410579,135,0,407808
0,0,57145,54,0,54284
0,0,849988,206,0,847319
0,0,408107,15,1,405750
1,0,60414,228,0,57859
1,0,1007699,207,0,1005114
1,0,7898,8,0,5274
0,0,245264,46,0,242583
0,0,4732,122,0,2051
0,0,21506,56,0,18858
1,0,23129,125,0,20358
0,0,472189,68,0,469499
0,0,1014233,133,1,1011738
0,0,34218,57,0,31414
1,0,2102129,101,0,2099463
1,0,82609,137,0,79808
0,0,1317329,97,0,1314768
1,0,396615,252,1,394090
1,0,565683,139,0,563344
1,0,10603,5,0,7772
1,0,460231,148,0,457457
0,0,276688,211,1,274223
0,0,652210,94,0,649424
1,0,10893,89,0,8359
1,0,4709,29,0,2067
0,0,119436,257,0,116878
1,0,14331,231,0,11776
1,0,1650945,10,0,1648582
0,0,7054,121,0,4541
1,0,456596,14,0,453903
1,0,3590,212,0,942
0,0,1816759,191,0,1814429
1,0,2010450,108,0,2008033
1,0,529696,177,0,526820
0,0,280853,61,0,278046
1,0,423886,64,0,421607
1,0,408724,138,1,406415
0,0,1036042,116,0,1033382
0,0,25731,7,0,22858
0,0,35248,49,0,32438
1,0,2099,1,0,3
0,0,903444,114,1,900637
1,0,559805,147,1,557001
1,0,2171498,184,0,2169063
0,0,817323,76,0,814468
1,0,35322,193,0,32611
0,0,585177,205,0,582301
1,0,41459,220,0,38613
0,0,584285,176,0,581721
0,0,421319,161,0,418704
0,0,16042,110,0,13142
1,0,629809,112,0,627020
1,0,596823,93,0,594229
0,0,71558,154,1,69066
0,0,1115182,221,0,1112378
0,0,556640,254,0,553878
0,0,22835,146,0,20457
0,0,65602,23,0,62846
