Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,1037760,369,369,168,4,1037092,1
1,0,18293,404,404,156,3,17649,0
0,0,7200,136,136,24,4,6637,0
0,0,55025,359,359,100,4,54438,0
0,0,1464254,88,88,96,4,1463646,0
0,0,487260,204,204,124,4,486679,1
0,0,2016292,330,330,61,4,2015537,0
0,0,9057,388,388,90,4,8128,0
0,0,4555,133,133,130,4,3962,0
0,0,683253,98,98,57,4,682675,0
0,0,807166,154,154,116,4,806492,1
1,0,112468,401,401,37,1,111971,0
0,0,4870,341,341,139,4,4217,0
0,0,2682,266,266,130,4,1954,0
0,0,163066,8,8,142,4,162521,1
0,0,1955674,333,333,160,4,1955171,0
0,0,756041,99,99,96,4,755460,1
0,0,1368555,310,310,75,4,1367977,1
0,0,1487064,92,92,28,4,1486369,1
0,0,36247,72,72,62,4,35642,1
0,0,1187163,347,347,168,4,1186465,0
0,0,120884,34,34,106,2,120498,0
0,0,1921473,108,108,57,4,1920904,1
0,0,438865,352,352,21,4,438233,0
0,0,308712,370,370,26,4,308044,0
0,0,1033564,300,300,167,4,1032920,0
0,0,1604078,116,116,75,4,1603452,0
0,0,85370,61,61,76,4,84681,0
0,0,17407,263,263,42,4,16820,0
0,0,497483,126,126,113,4,496893,0
1,0,1738968,27,27,41,3,1738420,0
0,0,6677,379,379,89,4,6162,1
0,0,278070,224,224,157,4,277438,1
0,0,1731530,337,337,57,4,1730895,0
0,0,477620,209,209,112,4,476973,0
0,0,565167,382,382,80,2,564760,0
0,0,10321,127,127,42,4,9749,0
0,0,1686468,112,112,96,4,1685914,0
0,0,7629,232,232,42,4,6979,0
0,0,1645,356,356,104,4,1004,0
0,0,376974,55,55,150,4,376393,1
1,0,807869,24,24,117,3,807330,1
0,0,426818,139,139,128,4,426186,1
0,0,39701,52,52,42,4,39237,1
0,0,265007,261,261,5,4,264339,0
0,0,782,46,46,126,4,129,1
0,0,1132814,318,318,57,4,1132212,1
0,0,30799,73,73,66,4,30158,1
0,0,159847,67,67,98,4,159101,1
0,0,717564,272,272,122,4,716974,1
0,0,1637787,114,114,57,4,1637185,1
0,0,487905,171,171,150,4,487330,0
1,0,356421,430,430,137,3,355831,1
0,0,1932015,107,107,96,4,1931470,0
0,0,2027,39,39,70,4,1341,0
0,0,1743790,336,336,57,4,1743146,0
0,0,515441,210,210,64,4,514617,0
0,0,1118634,320,320,152,4,1117975,1
1,0,347837,17,17,9,3,347313,0
0,0,250738,324,324,157,4,250097,0
0,0,1579,3,3,166,4,1004,1
0,0,570400,76,76,114,4,569783,0
1,0,544317,148,148,112,1,543658,0
0,0,52129,267,267,130,4,51491,0
1,0,19103,380,380,31,3,18480,1
0,0,4829,260,260,38,4,4128,0
0,0,599763,235,235,6,4,598996,1
0,0,430625,12,12,133,4,430509,0
0,0,1148872,410,410,34,4,1148204,0
0,0,339516,227,227,82,4,338926,0
0,0,1581481,217,217,84,4,1580900,1
0,0,1081012,406,406,169,4,1080440,1
0,0,15668,345,345,20,4,15015,0
0,0,6518,305,305,150,4,5874,1
0,0,26110,307,307,31,4,25487,1
1,0,504309,428,428,145,3,503911,1
0,0,610947,367,367,168,4,610288,1
0,0,1995197,219,219,149,4,1994529,0
0,0,216763,323,323,143,4,216122,0
1,0,588625,159,159,108,3,587969,1
0,0,416038,383,383,63,4,415541,0
1,0,463493,101,101,79,3,462885,1
0,0,14001,394,394,153,4,13402,1
0,0,276224,138,138,81,4,275592,0
0,0,602338,321,321,92,4,601643,1
0,0,1845,389,389,87,2,1489,1
0,0,314714,123,123,25,4,314181,0
0,0,1473130,87,87,27,4,1472456,0
0,0,1134002,408,408,48,4,1133424,1
0,0,444695,31,31,110,4,444042,0
0,0,42175,386,386,149,4,41594,0
