Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,55,7,1,0
0,0,30308,54,54,11,6,27168,1
1,0,81368,21,21,85,2,80808,1
0,0,763,10,10,25,1,5,0
0,0,703218,19,19,27,8,701626,0
1,0,5286,81,81,30,2,4336,1
1,0,93861,100,100,50,2,92599,1
0,0,716461,50,50,51,6,713525,0
0,0,581462,112,112,24,5,578019,0
1,0,213521,149,149,51,2,212382,0
1,0,38881,133,133,59,2,36347,0
0,0,302755,62,62,43,8,301802,0
0,0,83014,122,122,92,8,81473,1
0,0,720,141,141,28,8,1,1
0,0,666404,22,22,26,8,665952,0
1,0,30302,0,0,88,2,29316,1
1,0,5807,131,131,34,2,3882,1
0,0,140526,98,98,80,7,137425,1
0,0,9728,43,43,41,6,6585,0
0,0,12029,48,48,90,8,11478,0
1,0,6579,69,69,9,2,5257,1
1,0,4234,77,77,45,2,3116,1
0,0,100844,35,35,73,7,99663,0
0,1,54155,60,60,39,6,50976,1
1,0,929052,124,124,88,2,925927,0
0,0,4123,89,89,1,5,1628,1
0,0,297517,80,80,89,6,294389,0
1,0,8113,66,66,93,2,5945,0
0,0,4229,138,138,52,6,1371,1
0,0,35758,6,6,80,7,35156,1
0,0,1206,16,16,89,8,1,0
1,0,789292,96,96,11,2,788021,0
1,0,53098,127,127,24,2,49949,1
1,0,99066,113,113,84,2,97825,1
0,0,506906,101,101,89,0,503742,0
0,0,1289,11,11,94,8,3,0
0,0,546,143,143,64,8,1,1
1,0,383983,5,5,61,2,383429,1
0,0,37772,136,136,62,6,34755,1
1,0,57661,45,45,57,2,55166,1
0,0,642289,108,108,49,6,639173,0
1,0,8781,28,28,49,2,5653,0
0,0,599,1,1,32,7,3,0
1,0,201983,147,147,51,2,197949,0
1,0,341238,29,29,75,2,338959,1
0,0,227216,78,78,71,8,225387,0
1,0,5181,105,105,90,2,4192,0
1,0,99079,55,55,3,2,97820,1
0,0,43791,73,73,80,6,40663,1
1,0,46653,87,87,18,2,44743,1
0,0,521345,25,25,56,6,518232,0
0,0,81855,146,146,15,6,78709,1
1,0,96937,121,121,63,2,96035,1
0,0,1771,20,20,18,8,5,0
0,0,9252,128,128,82,8,7177,0
0,0,1005,18,18,65,8,1,1
1,0,573456,49,49,31,2,572590,0
1,0,552643,118,118,29,2,550361,1
1,0,1017672,51,51,12,2,1015075,0
0,0,1291,14,14,95,8,11,1
0,0,55385,130,130,54,6,52233,1
1,0,6751,106,106,93,2,5450,0
1,0,3425,119,119,69,2,855,1
0,0,68231,99,99,76,6,65097,1
0,0,750258,9,9,72,7,748432,0
1,0,201286,39,39,3,2,199007,1
0,0,313484,153,153,37,6,310344,0
0,0,13944,64,64,0,5,11467,1
1,0,118859,97,97,35,2,115842,1
0,0,116617,57,57,44,6,113450,0
0,0,1126783,132,132,14,5,1124243,1
0,0,4790,125,125,20,6,1644,1
0,0,304,129,129,83,7,2,0
0,0,33235,7,7,80,8,30782,1
0,0,19635,115,115,60,6,16504,1
0,0,40231,111,111,16,7,38468,1
0,0,704,15,15,17,3,18,1
1,0,701522,72,72,34,2,698580,0
0,0,33620,86,86,70,6,30504,1
1,0,673825,83,83,75,2,670661,0
1,0,782421,65,65,75,2,781378,0
1,0,100486,56,56,46,2,98009,0
0,0,632799,52,52,71,6,629461,0
0,0,559272,82,82,54,6,556483,0
0,0,4270,38,38,86,5,1799,1
1,0,673601,75,75,82,2,670680,0
0,0,429068,84,84,87,6,425925,0
0,0,484,140,140,61,8,2,1
1,0,7065,71,71,76,2,6076,1
1,0,532553,154,154,7,2,531252,0
1,0,28960,2,2,88,2,27503,1
1,0,1651,94,94,15,2,830,1
0,0,307836,152,152,43,8,304756,0
0,0,1330,12,12,66,8,2,0
1,0,492209,24,24,84,2,489726,0
0,0,704396,17,17,46,8,703461,0
0,0,225838,92,92,33,6,222980,0
0,0,24175,40,40,19,6,21059,1
1,0,1482,107,107,44,2,1,0
1,0,3560,33,33,6,2,861,0
0,0,40333,120,120,23,6,37199,1
0,0,296392,26,26,51,6,293633,0
1,0,694715,135,135,34,2,691713,0
0,0,212280,148,148,31,8,211864,0
1,0,232598,155,155,31,2,230508,0
0,0,52289,85,85,10,6,48939,1
1,0,796646,63,63,11,2,794730,0
1,0,762911,104,104,34,2,760413,0
1,0,1815,93,93,52,2,1,0
0,0,11460,144,144,73,7,9091,1
1,0,767496,95,95,11,2,766105,0
1,0,341160,156,156,88,2,338881,1
0,0,135805,157,157,29,6,132644,0
1,0,458580,59,59,68,2,455587,0
1,0,2735,79,79,61,2,246,1
1,0,4884,53,53,74,2,1753,1
0,0,562767,61,61,57,6,559651,0
0,0,720169,30,30,50,6,717008,0
0,0,11360,91,91,44,6,8184,1
0,0,1011,8,8,39,8,1,0
0,0,7732,68,68,38,6,4595,0
0,0,696,116,116,82,7,1,0
0,0,153763,103,103,53,5,151067,1
0,0,329442,67,67,4,7,326975,0
0,0,5115,58,58,38,5,2545,1
0,0,315827,126,126,81,6,312663,0
1,0,36371,142,142,58,2,34218,1
0,0,326955,34,34,11,6,323962,0
0,0,6322,47,47,19,6,3197,1
0,0,772874,150,150,83,6,769737,0
1,0,74545,151,151,70,2,72053,1
0,0,220362,117,117,11,5,217744,0
1,0,40751,44,44,67,2,38379,1
0,0,5438,139,139,73,7,3198,1
0,0,8449,123,123,77,6,5315,1
1,0,99546,110,110,28,2,97369,0
1,0,11809,41,41,79,2,9641,0
1,0,8362,134,134,91,2,5834,0
0,0,96112,114,114,14,6,92984,1
1,0,7840,70,70,9,2,6842,1
1,0,16287,37,37,13,2,13156,1
1,0,371763,4,4,40,9,371065,1
0,0,3141,90,90,32,7,982,1
1,0,5564,42,42,35,2,2433,1
0,0,567659,27,27,19,1,567123,0
0,0,634208,32,32,2,8,633441,0
0,0,34862,88,88,8,1,34431,1
1,0,742903,102,102,78,2,741965,0
1,0,11203,46,46,57,2,8075,1
1,0,12199,145,145,36,2,10430,0
1,0,638513,74,74,42,2,636579,0
0,0,2165,137,137,22,7,1,1
1,0,676357,31,31,96,2,675068,0
0,0,46094,76,76,62,5,43491,1
1,0,301337,23,23,5,2,298548,1
0,0,48145,3,3,21,4,47690,1
0,0,11508,109,109,47,5,8902,1
0,0,1015710,36,36,48,6,1014604,0
