Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1160395,347,347,3,1,56,1159709,0
1,18293,404,404,3,1,155,17649,0
0,7200,135,135,4,0,24,6637,0
0,55025,359,359,4,0,99,54438,0
0,1464254,89,89,4,0,95,1463646,0
0,494817,203,203,4,0,14,494134,1
0,2016292,329,329,4,0,62,2015537,0
0,9057,388,388,4,0,89,8128,0
0,4555,133,133,4,0,129,3962,0
0,683253,99,99,4,0,58,682675,0
1,844685,368,368,3,1,111,844098,0
1,112468,401,401,1,1,37,111971,0
0,4870,340,340,4,0,138,4217,0
0,2682,264,264,4,0,129,1954,0
0,163066,8,8,4,0,141,162521,1
0,1955674,332,332,4,0,159,1955171,0
0,756041,100,100,4,0,95,755460,1
0,1368555,309,309,4,0,75,1367977,1
0,1487064,93,93,4,0,28,1486369,1
0,36247,73,73,4,0,63,35642,1
0,265007,258,258,4,0,5,264339,0
0,120884,35,35,2,0,105,120498,0
0,1921473,109,109,4,0,58,1920904,1
0,458814,352,352,4,0,98,458125,0
0,316703,371,371,4,0,46,316059,0
0,548591,226,226,2,0,41,548190,0
0,1604078,117,117,4,0,75,1603452,0
0,85370,62,62,4,0,76,84681,0
0,17407,261,261,4,0,42,16820,0
0,1033564,299,299,4,0,166,1032920,0
1,1738968,28,28,3,1,41,1738420,0
0,6677,379,379,4,0,88,6162,1
0,278070,222,222,4,0,156,277438,1
0,1731530,336,336,4,0,58,1730895,0
0,477620,206,206,4,0,111,476973,0
0,567879,381,381,2,0,87,567310,0
0,10321,127,127,4,0,42,9749,0
0,1686468,113,113,4,0,95,1685914,0
0,7629,230,230,4,0,42,6979,0
0,1645,356,356,4,0,103,1004,0
0,376974,56,56,4,0,149,376393,1
1,807869,25,25,3,1,116,807330,1
0,426818,138,138,4,0,127,426186,1
0,39701,53,53,4,0,42,39237,1
0,307213,259,259,4,0,14,306524,0
0,782,47,47,4,0,125,129,1
0,1132814,317,317,4,0,58,1132212,1
0,30799,74,74,4,0,67,30158,1
0,159847,68,68,4,0,97,159101,1
0,717564,270,270,4,0,121,716974,1
0,1637787,115,115,4,0,58,1637185,1
0,487905,171,171,4,0,149,487330,0
1,356421,430,430,3,1,136,355831,1
0,1932015,108,108,4,0,95,1931470,0
0,2027,40,40,4,0,71,1341,0
0,1743790,335,335,4,0,58,1743146,0
0,515441,207,207,4,0,65,514617,0
0,1118634,319,319,4,0,151,1117975,1
1,347837,18,18,3,1,9,347313,0
0,250738,323,323,4,0,156,250097,0
0,1579,3,3,4,0,165,1004,1
0,570400,77,77,4,0,113,569783,0
0,552848,146,146,4,0,162,552180,1
0,52129,265,265,4,0,129,51491,0
1,19103,380,380,3,1,31,18480,1
0,4829,257,257,4,0,38,4128,0
0,599763,233,233,4,0,6,598996,1
0,436400,12,12,4,0,26,435816,0
0,1148872,410,410,4,0,34,1148204,0
0,339516,225,225,4,0,82,338926,0
0,1581481,215,215,4,0,84,1580900,1
0,1081012,406,406,4,0,168,1080440,1
0,15668,344,344,4,0,20,15015,0
0,6518,304,304,4,0,149,5874,1
0,26110,306,306,4,0,31,25487,1
1,504309,428,428,3,1,144,503911,1
0,668902,150,150,4,0,77,668282,1
0,1995197,217,217,4,0,148,1994529,0
0,216763,322,322,4,0,142,216122,0
1,588625,158,158,3,1,107,587969,1
0,416038,383,383,4,0,64,415541,0
1,463493,102,102,3,1,79,462885,1
0,14001,394,394,4,0,152,13402,1
1,385637,21,21,3,1,56,384969,0
0,602338,320,320,4,0,91,601643,1
0,1845,389,389,2,0,86,1489,1
0,314714,124,124,4,0,25,314181,0
0,1473130,88,88,4,0,27,1472456,0
0,1134002,408,408,4,0,48,1133424,1
0,444695,32,32,4,0,109,444042,0
0,42175,386,386,4,0,148,41594,0
0,9261,129,129,4,0,42,8539,0
0,382637,58,58,4,0,156,382086,0
0,35038,303,303,4,0,119,34388,1
0,416102,247,247,4,0,23,415509,0
1,13194,349,349,3,1,104,12661,1
0,641578,84,84,4,0,55,640880,1
0,320021,423,423,4,0,96,319437,1
0,70385,300,300,4,0,157,69732,0
0,2893,384,384,4,0,146,2228,0
0,36160,20,20,4,0,54,35462,1
1,628319,184,184,3,1,65,627354,1
0,1066542,405,405,4,0,69,1065931,1
0,438865,351,351,4,0,21,438233,0
0,345916,155,155,4,0,132,345353,0
1,499409,366,366,3,1,56,498789,0
0,262228,38,38,4,0,167,261515,0
0,340144,413,413,4,0,97,339536,0
0,224418,168,168,4,0,21,223792,0
0,17055,49,49,4,0,42,16375,0
0,1049,285,285,4,0,68,204,1
0,807166,153,153,4,0,115,806492,1
1,874302,275,275,3,1,116,873739,1
0,281,10,10,5,0,73,3,1
0,16035,342,342,4,0,53,15472,0
0,301818,279,279,4,0,31,301183,1
0,6125,11,11,4,0,73,5631,1
0,578960,78,78,4,0,113,578253,0
0,1670681,29,29,4,0,121,1670067,0
1,544317,148,148,1,1,111,543658,0
0,285006,246,246,4,0,132,284026,0
0,482096,254,254,4,0,108,481446,0
0,16573,166,166,4,0,125,15977,0
0,1236,126,126,4,0,0,691,0
0,2152710,107,107,4,0,159,2152117,1
0,218124,167,167,4,0,21,217234,0
0,497850,296,296,4,0,42,497083,1
0,653543,85,85,4,0,55,652923,1
0,729959,97,97,4,0,17,729363,0
0,350824,414,414,2,0,97,350453,1
0,584282,134,134,4,0,6,583626,1
0,425782,142,142,2,0,47,425384,0
1,1261581,324,324,3,1,128,1260970,0
0,160801,403,403,4,0,49,160181,0
1,10872,105,105,3,1,101,10210,0
0,412598,281,281,4,0,45,411981,1
0,514088,295,295,4,0,42,513441,1
0,667099,4,4,4,0,6,666332,1
0,253563,289,289,4,0,130,252895,0
0,237931,287,287,4,0,23,237338,0
0,266589,177,177,4,0,21,265723,0
0,1078119,193,193,4,0,159,1077559,0
0,198335,43,43,4,0,6,197730,1
0,1243238,187,187,4,0,159,1242540,1
0,1176204,399,399,4,0,5,1175530,0
0,6197,387,387,4,0,153,5628,0
0,38888,80,80,4,0,57,38181,1
0,374682,42,42,4,0,17,374062,0
0,1420673,92,92,4,0,159,1420101,0
0,388432,195,195,2,0,74,388043,1
0,70633,60,60,4,0,125,70109,0
0,11230,374,374,4,0,124,10535,0
0,694973,307,307,4,0,70,694383,0
0,1677970,119,119,4,0,135,1677395,0
0,5761,375,375,4,0,22,5141,0
0,1886263,218,218,4,0,100,1885670,0
0,311313,422,422,4,0,134,310645,1
0,274287,174,174,4,0,97,273715,1
0,456160,321,321,4,0,117,455483,0
0,36542,385,385,4,0,148,35961,1
0,541203,104,104,4,0,65,540331,0
0,375081,123,123,4,0,25,374536,1
0,1142859,409,409,4,0,48,1142287,1
0,1481322,94,94,4,0,75,1480762,1
0,1306828,209,209,4,0,90,1306226,1
0,1739,6,6,4,0,34,1236,1
0,405277,141,141,4,0,31,404699,0
0,1587490,212,212,4,0,90,1586741,0
0,2442,286,286,4,0,29,1612,1
0,327963,424,424,4,0,96,327337,1
0,1411596,22,22,4,0,17,1410949,0
0,260483,178,178,4,0,98,259935,0
0,917604,274,274,4,0,100,916954,0
0,358436,278,278,2,0,57,358038,1
0,11470,48,48,2,0,125,11081,1
0,371048,277,277,4,0,97,370350,1
0,1943209,9,9,4,0,58,1942577,0
0,7470,269,269,4,0,125,6853,1
0,76266,280,280,4,0,47,75574,1
0,21243,15,15,4,0,16,20602,1
0,605996,239,239,4,0,6,605367,1
0,332148,411,411,4,0,97,331510,0
1,862102,242,242,3,1,1,861431,0
0,1875155,219,219,4,0,48,1874526,0
0,617680,234,234,4,0,15,617066,1
0,59685,50,50,4,0,76,58891,0
0,1611491,330,330,4,0,121,1610868,0
0,31626,357,357,4,0,22,31012,0
0,67780,415,415,4,0,31,67067,0
0,430625,13,13,4,0,132,430509,0
0,288480,176,176,4,0,98,287506,0
0,1187163,346,346,4,0,167,1186465,0
0,1200244,312,312,4,0,58,1199621,0
0,18926,390,390,4,0,150,18276,0
0,2115566,26,26,4,0,95,2114982,1
0,1109679,316,316,4,0,95,1109041,1
0,1559,52,52,4,0,42,987,1
0,413954,418,418,4,0,17,413337,0
0,128464,416,416,2,0,7,128075,0
0,1139142,315,315,4,0,58,1138561,1
0,462219,364,364,4,0,114,461563,1
0,1348,169,169,4,0,42,512,1
0,1344856,199,199,4,0,122,1344239,0
0,190891,67,67,4,0,97,190256,1
0,3660,196,196,4,0,42,3085,1
0,1001979,96,96,4,0,164,1001410,0
1,1671935,120,120,3,1,119,1671336,0
0,3008,164,164,4,0,142,2760,1
0,17644,348,348,4,0,154,17072,0
0,393310,282,282,4,0,10,392783,0
0,1025055,192,192,4,0,75,1024453,0
0,1654543,31,31,4,0,149,1654004,1
0,11006,14,14,4,0,138,10434,1
0,1840810,111,111,4,0,58,1840178,0
0,1182146,313,313,4,0,58,1181541,1
0,377041,363,363,4,0,25,376496,1
0,398667,249,249,4,0,23,398035,0
0,1235855,188,188,2,0,95,1235211,1
0,1806636,337,337,4,0,145,1806064,0
0,7249,54,54,4,0,42,6641,0
0,452612,283,283,4,0,95,451995,0
0,410649,143,143,2,0,31,410251,0
0,1121,2,2,4,0,161,531,0
0,725245,152,152,4,0,115,724664,1
0,7534,343,343,2,0,147,7151,0
0,14571,377,377,4,0,100,14272,0
0,244449,290,290,4,0,118,243556,0
0,622513,27,27,4,0,95,621803,0
0,253619,172,172,4,0,31,252897,0
0,253089,179,179,4,0,21,252442,0
0,305429,372,372,4,0,9,304515,0
1,690105,149,149,3,1,56,689434,0
0,22995,305,305,2,0,57,22609,1
0,47042,81,81,4,0,31,46335,1
0,6670,228,228,4,0,42,6140,1
0,467996,365,365,4,0,162,467418,0
0,1079,128,128,2,0,76,750,0
0,1784731,333,333,4,0,145,1784156,1
0,1392058,308,308,4,0,164,1391459,0
0,170789,69,69,4,0,31,170208,1
1,44727,395,395,3,1,66,44119,1
1,978860,276,276,1,1,116,978390,0
0,7294,262,262,4,0,42,6638,0
0,9111,132,132,2,0,76,8734,0
0,633393,83,83,4,0,60,632488,1
0,2852,17,17,4,0,36,2211,0
0,1610144,116,116,4,0,75,1609563,0
0,219644,72,72,4,0,54,218985,1
