NationalLibraryOfIsraelJ9uId,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,MainCategory,NlCrAutId,QuoraTopicId
987007554958205171,2,5,9,9,9,9
987007554809605171,9,3,0,0,3,0
987007566736505171,1,12,5,5,6,5
987007552535305171,5,1,8,8,10,8
987007552504805171,4,8,7,7,8,7
987007554807005171,13,4,1,1,4,1
987007559778705171,0,9,4,4,12,4
987007535460005171,11,13,2,2,13,2
987007564356905171,8,7,13,13,11,12
987007560981705171,12,6,12,12,0,11
987007552533205171,10,2,3,3,5,3
987007564312905171,6,11,10,10,1,10
987007559777805171,3,10,6,6,7,6
987007550359005171,7,0,11,11,2,13
