NationalLibraryOfIsraelJ9uId,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,MainCategory,NlCrAutId,QuoraTopicId
9.870075587983052e+17,111,181,188,186,0,132
9.870075397827052e+17,129,185,157,156,42,104
9.870075506604051e+17,58,84,112,111,62,76
9.870072865883052e+17,24,72,100,100,55,66
9.870075336458052e+17,41,89,121,121,86,82
9.870074057681052e+17,132,48,40,40,0,18
9.870072661473052e+17,67,6,148,147,63,105
9.870075420681052e+17,84,163,176,175,101,123
9.870075365417052e+17,89,149,191,189,109,104
9.870075412359052e+17,77,120,164,162,70,114
9.870072824055052e+17,128,63,89,90,0,56
9.870075339563052e+17,70,112,151,150,128,104
9.870075482501052e+17,106,87,4,4,7,3
9.870075655230052e+17,8,110,149,148,64,106
9.870075507959052e+17,71,113,152,151,36,104
9.870075612495052e+17,132,178,27,27,0,104
9.870075359677052e+17,25,76,106,105,93,72
9.870075509873052e+17,56,103,143,143,58,104
9.870075347053052e+17,92,175,54,54,0,29
9.870075336790052e+17,63,85,105,115,98,71
9.870075461049052e+17,83,137,179,178,43,126
9.870072916160051e+17,105,7,77,77,2,46
9.870075320229052e+17,132,0,147,87,38,54
9.870075421525052e+17,132,13,17,17,0,104
9.870075859538052e+17,132,38,70,70,23,39
9.870075605078052e+17,110,99,139,139,120,97
9.870075294276051e+17,73,117,161,159,60,111
9.870075606649052e+17,66,109,146,146,61,103
9.870075609817052e+17,120,1,171,169,31,120
9.870074123974052e+17,132,52,41,41,0,19
9.870075615427052e+17,114,24,108,107,91,74
9.870075531998052e+17,108,108,145,145,59,102
9.870075390224051e+17,65,150,118,118,0,104
9.870075468967052e+17,132,21,29,29,0,104
9.870072849775052e+17,117,68,95,96,89,61
9.870075460977052e+17,132,138,180,179,121,104
9.870075413868051e+17,69,115,158,157,83,110
9.870075728111052e+17,132,46,56,56,16,104
9.870075609175052e+17,86,146,187,185,112,131
9.870075348599052e+17,132,179,58,58,0,104
9.870075469954052e+17,132,28,69,69,22,38
9.870075613872051e+17,132,166,52,52,25,28
9.870075656788051e+17,62,101,141,141,53,104
9.870075532773052e+17,124,91,124,124,107,85
9.870075538942052e+17,99,169,11,11,0,8
9.870075519211052e+17,132,33,35,35,28,104
9.870075461384051e+17,93,125,5,5,8,4
9.870075396626052e+17,132,167,14,14,0,104
9.870075408013052e+17,27,93,130,130,117,91
9.870075397462052e+17,132,12,12,12,19,9
9.870075538572051e+17,132,156,53,53,15,104
9.870072825776051e+17,14,61,87,88,79,104
9.870072948328051e+17,125,56,82,82,0,104
9.870075407422052e+17,132,37,26,26,0,104
9.870075629524051e+17,52,96,135,135,97,94
9.870075859536051e+17,132,39,71,71,21,40
9.870075482970052e+17,132,105,114,113,48,104
9.870075313340051e+17,42,88,120,120,118,81
9.870075389526052e+17,16,130,174,173,103,104
9.870075372627052e+17,5,180,9,9,0,6
9.870075643244051e+17,39,2,122,122,35,83
9.870075481854052e+17,38,3,119,119,32,80
9.870075467069052e+17,132,168,16,16,14,104
9.870075367968051e+17,130,155,49,49,0,25
9.870075408480051e+17,102,83,1,1,4,1
9.870075607220051e+17,75,116,159,158,111,104
9.870075487864051e+17,19,139,181,190,0,127
9.870075360681052e+17,31,81,111,110,72,75
9.870075584208051e+17,96,18,74,74,12,43
9.870072957097052e+17,127,59,84,83,78,51
9.870075293502052e+17,61,102,142,142,123,98
9.870075538938052e+17,90,171,28,28,0,12
9.870075340098052e+17,100,136,3,3,6,2
9.870075728110052e+17,132,47,59,59,0,104
9.870075508779052e+17,60,98,138,138,50,96
9.870075613592051e+17,132,177,33,33,0,104
9.870075374473052e+17,132,19,66,66,0,35
9.870075433873052e+17,20,74,103,103,54,69
9.870075682447052e+17,98,43,65,65,0,34
9.870075375356051e+17,132,35,20,20,0,104
9.870075630528051e+17,115,95,134,134,49,93
9.870073876864051e+17,132,187,172,171,119,104
9.870075397994052e+17,132,27,68,68,0,37
9.870072938496051e+17,30,53,78,78,75,47
9.870075525048051e+17,51,4,132,132,33,92
9.870075484324051e+17,34,107,113,112,47,101
9.870075321946052e+17,132,158,55,55,24,104
9.870075520864051e+17,132,31,13,13,20,104
9.870075319815052e+17,28,148,190,188,129,134
9.870075447711052e+17,132,20,32,32,0,104
9.870075728112051e+17,132,45,22,22,0,104
9.870075408689052e+17,112,77,107,106,68,73
9.870075423735052e+17,4,25,81,81,77,104
9.870075632727052e+17,113,114,154,153,66,107
9.870075388653052e+17,74,119,163,161,115,113
9.870075418540051e+17,55,153,131,131,90,104
9.870075564447052e+17,132,176,30,30,0,104
9.870075301477052e+17,132,157,50,50,0,26
9.870075538925052e+17,91,172,36,36,0,14
9.870075326890052e+17,132,182,62,62,29,31
9.870075318703052e+17,49,135,178,177,82,125
9.870075664000051e+17,131,32,72,72,17,41
9.870075543025052e+17,132,34,160,84,0,104
9.870075457037052e+17,43,90,123,123,87,84
9.870075954200051e+17,132,44,21,21,0,104
9.870075517125052e+17,132,188,61,61,0,30
9.870075586806052e+17,109,145,186,184,108,130
9.870075368925052e+17,132,154,48,48,0,24
9.870075340687052e+17,94,122,6,6,9,5
9.870075614601052e+17,46,121,166,164,110,116
9.870075491784051e+17,132,160,51,51,0,27
9.870075372005052e+17,44,10,75,75,0,44
9.870075421523052e+17,0,14,10,10,0,7
9.870075676380051e+17,123,5,85,85,34,52
9.870075678641052e+17,33,78,109,108,74,104
9.870075882227052e+17,132,40,38,38,0,16
9.870074123977052e+17,132,51,24,24,0,104
9.870075296712051e+17,79,132,126,126,116,87
9.870075313778052e+17,50,80,125,125,106,86
9.870072929135052e+17,107,54,79,79,94,48
9.870075444770052e+17,132,164,46,46,0,104
9.870075456236051e+17,15,75,104,104,88,70
9.870075512252051e+17,132,152,15,15,18,104
9.870075977827052e+17,132,42,57,57,13,104
9.870075629795052e+17,47,92,127,127,44,88
9.870075520878052e+17,1,30,7,7,0,104
9.870075340685052e+17,103,123,76,76,1,45
9.870075520879052e+17,132,29,8,8,0,104
9.870075522254052e+17,132,36,25,25,0,104
9.870072849740051e+17,12,70,97,98,0,63
9.870075511591052e+17,18,127,169,167,99,119
9.870075584212051e+17,88,17,73,73,11,42
9.870075632381052e+17,78,9,167,165,73,117
9.870072949377052e+17,2,58,83,170,39,50
9.870075467451052e+17,132,159,34,34,0,13
9.870075316074052e+17,10,129,173,172,100,121
9.870075291049052e+17,119,8,128,128,95,89
9.870124393765052e+17,3,73,102,102,30,68
9.870072824242052e+17,59,62,88,89,0,55
9.870072857400051e+17,21,71,99,99,56,65
9.870072864403052e+17,13,0,101,101,52,67
9.870074057678052e+17,132,49,23,23,0,104
9.870075630344051e+17,57,100,140,140,105,99
9.870072955779052e+17,53,57,98,190,113,64
9.870075468962052e+17,132,22,31,31,0,104
9.870075347431052e+17,132,161,39,39,0,17
9.870075436974052e+17,82,142,183,181,71,104
9.870075373810052e+17,132,184,44,44,0,22
9.870075339865052e+17,64,104,144,144,122,100
9.870075296362052e+17,40,147,189,187,0,133
9.870075536486052e+17,11,144,185,183,80,129
9.870075313606052e+17,116,79,110,109,45,104
9.870075511558052e+17,132,128,170,168,127,104
9.870075580289052e+17,118,94,133,133,0,104
9.870075317037052e+17,85,141,182,180,125,104
9.870075374842052e+17,132,11,43,43,0,21
9.870075444769052e+17,132,165,47,47,0,104
9.870075536839052e+17,81,131,175,174,65,122
9.870075350461052e+17,132,26,67,67,26,36
9.870075372112051e+17,132,186,42,42,0,20
9.870075482954052e+17,35,106,115,114,84,77
9.870075538941052e+17,97,170,19,19,0,11
9.870075294116051e+17,36,133,177,176,102,124
9.870072925730052e+17,6,66,93,94,126,104
9.870072838264051e+17,121,65,92,93,41,59
9.870075316362052e+17,76,118,162,160,0,112
9.870075347160051e+17,132,174,60,60,0,104
9.870072846944051e+17,23,67,94,95,92,60
9.870075295774052e+17,26,111,150,149,96,104
9.870072824270052e+17,7,64,90,91,114,57
9.870074091166052e+17,132,50,37,37,0,15
9.870075512659052e+17,122,143,184,182,104,128
9.870075471798052e+17,48,23,91,92,0,58
9.870075538924051e+17,87,173,45,45,0,23
9.870072844915052e+17,9,60,86,86,40,53
9.870075584219052e+17,101,140,2,2,5,104
9.870075437601052e+17,80,124,168,166,69,118
9.870075463330052e+17,72,151,165,163,0,115
9.870125750051052e+17,29,0,116,116,85,78
9.870075681180051e+17,132,41,18,18,0,10
9.870075461341052e+17,54,126,129,129,124,90
9.870072948739052e+17,126,55,80,80,76,49
9.870075361625052e+17,45,97,137,137,51,95
9.870075584915052e+17,132,0,136,136,0,104
9.870075394020051e+17,132,162,64,64,27,33
9.870075359290052e+17,17,82,156,155,46,109
9.870075458614052e+17,37,86,117,117,57,79
9.870075297879052e+17,104,134,0,0,3,0
9.870072849754052e+17,22,69,96,97,81,62
9.870075314031052e+17,95,16,63,63,10,32
9.870075373842052e+17,32,183,153,152,37,104
9.870075304125052e+17,68,15,155,154,67,108
