Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,493953,86,86,2,17,493609,0
1,9446,80,80,2,3,7647,0
0,5255,72,72,3,33,2763,0
0,287968,34,34,0,42,286817,0
1,2113129,3,3,2,1,2112008,1
1,339503,95,95,2,17,338613,1
1,571876,56,56,2,37,570902,0
1,446968,55,55,2,1,445976,0
1,389254,83,83,2,0,388238,1
0,415,76,76,3,18,74,0
1,34900,82,82,2,44,34403,0
0,1568049,32,32,3,23,1567459,1
1,806760,69,69,2,36,805210,0
1,752839,22,22,2,1,752246,1
1,1050401,91,91,2,7,1050087,1
0,434997,6,6,0,19,434554,1
1,796791,66,66,2,38,795304,0
1,57693,62,62,2,12,56791,1
1,1786875,46,46,2,27,1786159,1
1,776048,24,24,2,46,775092,0
1,155295,89,89,2,14,154171,0
0,14817,14,14,4,18,14209,0
1,74492,19,19,2,38,73803,0
1,1037381,92,92,2,27,1036476,1
1,1751697,5,5,1,7,1751281,0
1,318778,35,35,2,6,318386,0
1,1078009,0,0,2,17,1077569,1
1,994934,11,11,2,11,993237,0
1,524283,27,27,2,30,523744,0
1,1575106,47,47,2,27,1574483,0
1,810033,65,65,2,11,808633,0
1,1226536,42,42,2,1,1225625,1
0,292232,48,48,0,8,291777,0
1,520133,87,87,2,17,519183,1
0,579,44,44,4,18,1,1
1,1605890,78,78,2,7,1605162,0
1,1285729,41,41,2,1,1284860,1
1,767190,25,25,2,36,766081,0
1,624101,23,23,2,29,623469,1
0,6256,12,12,3,18,4343,1
1,3678,40,40,2,31,1996,1
0,415202,7,7,0,20,414870,0
1,456990,37,37,2,20,456034,0
1,26464,53,53,2,17,24623,1
0,43740,63,63,0,5,43105,0
0,556441,26,26,0,28,555500,0
1,310242,36,36,2,17,309811,0
0,409340,94,94,0,10,408633,0
0,14261,88,88,3,2,11517,1
0,69017,90,90,5,34,68592,1
1,1643722,30,30,2,41,1642802,1
1,84542,18,18,2,4,84111,1
0,2665,10,10,3,18,1541,1
1,1180888,77,77,2,32,1179752,1
0,309976,51,51,3,17,309383,0
0,598,59,59,4,18,2,1
0,876723,50,50,0,42,875551,0
1,1445532,20,20,2,41,1444765,1
1,829655,2,2,2,7,828978,1
1,1493,81,81,2,24,471,1
1,1115404,68,68,2,1,1114712,1
1,2418,9,9,2,25,715,1
1,447558,85,85,2,21,447142,1
0,1735953,71,71,0,35,1735636,0
1,1067748,79,79,2,17,1067248,0
0,2026309,8,8,0,23,2025506,1
1,483,17,17,2,4,1,1
0,1735532,70,70,3,26,1734645,0
1,647282,4,4,2,41,646296,1
1,787501,67,67,2,11,786539,0
0,18905,61,61,3,18,17574,1
1,703062,64,64,2,7,702091,0
1,1021876,54,54,2,7,1021316,0
1,3924,60,60,2,15,2239,1
1,302448,33,33,2,17,301999,0
1,796821,74,74,2,46,795886,0
1,15756,43,43,2,36,14755,1
1,232541,28,28,2,34,231249,0
0,459577,75,75,3,16,458618,0
0,747945,57,57,3,39,745645,0
1,156954,97,97,2,22,155782,0
1,479784,84,84,2,40,478387,1
0,12112,16,16,0,18,11726,0
0,3821,13,13,3,18,1521,1
1,1680779,31,31,2,1,1680060,0
0,11816,45,45,3,18,9516,1
1,571767,73,73,2,41,570709,1
1,1658775,29,29,2,26,1658077,1
1,1430208,21,21,2,1,1429318,0
1,1217,96,96,2,22,24,0
1,145136,58,58,2,7,143469,1
0,828817,1,1,0,43,828224,1
1,408301,93,93,2,1,407363,0
1,1000,39,39,2,9,2,0
0,457660,38,38,0,13,457121,0
1,2307,49,49,2,2,1621,1
1,322283,52,52,2,45,321357,0
0,11716,15,15,0,18,11321,0
