StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,8450233,42,42,4,1,8449220
1,3081871,16,16,1,1,3080681
0,12354443,61,61,1,4,12353253
0,6765221,34,34,1,4,6763905
1,11551469,57,57,4,1,11550267
1,1089846,10,10,4,4,1088683
1,6054405,32,32,4,1,6053935
0,5938276,30,30,4,4,5937767
1,414722,6,6,1,1,413547
0,13408403,68,68,4,4,13407831
0,492614,7,7,1,4,491448
0,15870816,81,81,4,1,15870277
1,12773957,62,62,4,4,12772968
0,3401248,21,21,1,1,3400106
0,13210472,63,63,1,1,13209345
0,356747,2,2,1,1,355572
1,9897846,49,49,1,4,9896650
1,8612336,43,43,4,4,8611344
0,5937421,29,29,1,4,5936234
0,4214005,25,25,1,4,4212824
0,2044110,11,11,4,1,2043331
0,10571717,51,51,1,4,10570521
0,4212673,24,24,1,4,4211492
1,408894,4,4,4,1,408100
1,6676322,33,33,1,4,6675129
1,10607533,53,53,4,4,10606991
0,10809784,54,54,4,1,10809137
0,3212948,20,20,4,1,3212397
0,2838634,13,13,4,1,2837444
0,13407753,67,67,4,1,13407226
1,3088448,19,19,1,1,3087273
1,11626272,58,58,4,4,11625532
1,7601551,37,37,1,1,7600316
0,558801,8,8,5,4,558080
1,3087162,18,18,1,1,3085927
0,10373,82,82,0,3,9612
0,2045453,12,12,1,1,2044257
0,5415652,28,28,5,4,5414846
1,410615,5,5,4,4,410097
1,13228357,64,64,4,4,13227530
1,398215,3,3,5,1,397317
1,10606606,52,52,1,4,10605416
1,4823519,26,26,5,4,4822885
0,13932962,72,72,4,4,13932498
1,13372920,66,66,4,1,13372411
1,8405080,41,41,4,4,8404592
1,7602837,38,38,1,1,7601662
0,11383923,55,55,1,4,11382754
1,6854879,35,35,4,4,6854289
1,15412341,77,77,1,4,15411130
1,9782627,48,48,4,1,9782091
1,15413653,78,78,1,4,15412484
0,15072612,75,75,5,1,15071765
1,6053849,31,31,1,4,6052656
1,9099615,45,45,4,1,9098842
0,7498281,36,36,4,4,7497613
0,13932350,71,71,1,4,13931175
1,8613870,44,44,4,4,8612686
1,12248124,60,60,4,1,12247558
1,3895319,23,23,1,1,3894042
1,15159675,76,76,4,4,15158683
1,9106051,46,46,1,4,9104870
1,9899168,50,50,1,1,9897996
1,15851832,79,79,1,1,15850639
0,5414698,27,27,4,1,5413517
0,3402563,22,22,1,1,3401394
1,839907,0,0,4,0,838888
0,7624481,40,40,1,1,7623300
1,2923578,15,15,4,4,2922895
1,892186,1,1,3,2,891151
1,3083202,17,17,1,1,3082024
1,13475378,70,70,2,4,13474209
1,14806275,74,74,1,4,14805079
0,11917010,59,59,4,4,11916402
0,13409742,69,69,4,4,13408747
0,13259425,65,65,4,4,13258604
0,2840034,14,14,1,4,2838790
0,9723649,47,47,1,1,9722462
0,11385245,56,56,1,4,11384034
1,1088538,9,9,4,4,1087609
1,14660304,73,73,1,4,14659117
0,7618089,39,39,4,1,7616908
1,15853163,80,80,1,4,15851985
