StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,5569637,51,51,2,0,5569083
1,5644747,52,52,0,0,5644127
1,3469131,23,23,2,0,3468505
0,1519859,11,11,2,0,1519314
0,4220494,33,33,0,0,4219844
0,12245648,98,98,2,0,12245103
1,9963408,79,79,0,0,9962884
0,15255813,126,126,0,0,15255256
1,12771443,104,104,0,1,12770898
1,8823208,72,72,0,0,8822660
1,4110322,30,30,2,0,4109777
1,15405766,134,134,0,0,15405221
1,11293473,92,92,0,0,11292949
0,15482038,136,136,0,0,15481490
1,14707079,122,122,0,0,14706534
0,555963,2,2,2,0,555415
1,15556538,139,139,0,0,15556014
1,4325838,36,36,0,1,4325239
0,7985027,67,67,0,0,7984503
1,13660398,119,119,0,1,13659874
0,6877671,64,64,0,1,6877150
1,13365045,115,115,0,0,13364521
0,2675752,20,20,0,0,2675228
0,14062385,121,121,2,0,14061681
1,9954674,77,77,0,0,9954150
0,11042089,89,89,0,0,11041541
0,5892382,59,59,2,0,5891552
1,3908762,28,28,0,0,3908238
1,15379026,129,129,0,1,15378481
0,2236902,17,17,2,1,2236378
1,10168003,83,83,3,1,10167446
0,5884253,58,58,2,1,5883645
1,13237342,114,114,0,0,13236818
1,1108875,10,10,2,1,1108330
1,1079542,6,6,2,1,1079000
0,2677766,21,21,0,1,2677218
0,11045041,90,90,0,0,11044517
1,1072032,4,4,2,1,1071487
1,3484203,24,24,0,0,3483658
1,10062067,80,80,0,0,10061372
0,12393179,100,100,0,1,12392631
0,9507717,76,76,0,0,9507193
1,1104660,9,9,2,1,1104136
1,11286043,91,91,0,0,11285495
0,12777092,105,105,0,0,12776568
0,363795,0,0,2,0,363142
1,12918978,108,108,2,0,12918490
1,5798057,53,53,2,1,5797500
0,5567621,50,50,0,1,5567016
0,4260901,35,35,0,1,4260215
0,12243877,97,97,0,1,12243353
1,3280686,22,22,0,0,3280138
0,4218471,32,32,0,1,4217947
0,12981600,110,110,2,1,12981121
1,13007648,111,111,0,0,13007115
0,2670757,19,19,0,1,2670212
1,2359424,18,18,2,0,2358849
0,13150531,113,113,0,0,13149881
0,6202402,63,63,0,0,6201854
0,6025539,61,61,0,1,6024937
0,7307544,66,66,2,1,7306810
1,4158856,31,31,0,0,4158272
0,10684700,87,87,0,1,10684050
0,7988790,68,68,0,0,7988245
0,12392456,99,99,2,1,12391851
1,15554539,138,138,0,0,15553991
1,15390903,131,131,0,0,15390355
0,4459283,37,37,0,0,4458735
1,9082221,75,75,0,0,9081676
1,12921025,109,109,0,1,12920501
1,15397487,133,133,0,0,15396939
1,5556873,47,47,0,0,5556331
0,5842929,56,56,0,0,5842279
1,3486199,25,25,0,1,3485675
0,4260095,34,34,0,0,4259571
0,12861970,107,107,0,0,12861368
1,13071073,112,112,0,1,13070510
1,5558870,48,48,2,0,5558346
1,15733837,141,141,0,1,15733292
0,11903040,94,94,0,0,11902516
0,12236058,96,96,0,0,12235513
0,10677370,84,84,0,1,10676825
0,5099426,42,42,0,0,5098902
1,1074030,5,5,2,0,1073506
1,15260144,127,127,0,0,15259620
1,649403,3,3,2,1,648906
1,15392891,132,132,0,0,15392367
1,4660732,39,39,0,0,4660208
1,3906779,27,27,0,0,3906234
0,6176417,62,62,2,0,6175869
0,5927912,60,60,0,0,5927364
1,3869418,26,26,2,1,3868927
1,1083604,7,7,2,0,1083056
0,11040079,88,88,0,0,11039555
1,8825205,73,73,0,1,8824681
1,7127422,65,65,0,0,7126859
1,15240031,124,124,0,1,15239483
0,15264829,128,128,0,0,15264215
1,8788748,71,71,2,1,8788197
1,1098862,8,8,2,1,1098338
0,1530670,12,12,2,0,1530071
0,5530134,46,46,0,0,5529610
0,13726558,120,120,1,1,13726003
0,12669560,103,103,0,0,12669036
1,1967518,14,14,2,0,1966994
0,5840905,55,55,2,0,5840381
0,15253792,125,125,0,0,15253268
0,12779103,106,106,0,0,12778507
1,13640691,117,117,0,1,13640128
1,15380776,130,130,0,0,15380252
0,5564205,49,49,0,1,5563657
0,5101169,43,43,0,0,5100561
0,10682696,86,86,0,1,10682172
0,4788366,40,40,2,1,4787818
0,15676036,140,140,0,0,15675494
1,5423251,45,45,0,0,5422688
1,4659951,38,38,0,1,4659406
1,8787748,70,70,0,0,8787149
0,2234015,16,16,2,0,2233470
1,5266420,44,44,0,1,5265896
1,15546879,137,137,0,1,15546334
0,12609288,101,101,0,0,12608614
0,4010697,29,29,3,0,4010075
0,14774014,123,123,0,0,14773451
1,15474105,135,135,0,0,15473503
1,407874,1,1,2,0,407416
0,5097929,41,41,2,0,5097345
0,13580649,116,116,0,1,13580101
1,12644303,102,102,2,1,12643803
1,13658501,118,118,0,0,13657851
1,10075055,82,82,2,0,10074534
1,9961406,78,78,0,0,9960861
1,11793422,93,93,0,0,11792940
1,8270652,69,69,0,0,8270107
0,5848533,57,57,0,0,5848009
1,11979014,95,95,0,0,11978469
1,15770724,143,143,0,0,15770200
0,2224208,15,15,2,1,2223660
1,5800034,54,54,0,1,5799510
0,10680210,85,85,0,0,10679581
0,1532691,13,13,2,0,1532146
1,9041294,74,74,2,0,9040773
1,15768839,142,142,0,1,15768186
1,10062695,81,81,0,0,10062171
