Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position
1,38827,225,1,35924
0,3779,182,0,1517
1,9869,53,0,8244
0,825842,310,1,823350
0,502030,129,0,499289
1,79193,77,1,76656
0,2449,0,1,11
1,7010,291,0,4233
1,66235,247,0,64469
1,21822,317,1,18838
1,104384,71,0,101526
1,77950,17,0,74987
1,510295,141,1,507728
0,847503,311,1,845194
1,16574,222,1,14088
1,181574,314,1,180063
0,625252,228,1,622190
1,981807,277,1,979324
1,16715,185,1,14439
0,3108,210,0,115
1,2940,212,1,73
0,2351295,264,1,2348338
0,13435,271,1,10745
1,86361,187,0,83876
0,225780,78,1,223900
0,578138,98,1,576360
0,504140,268,1,500865
0,636457,213,1,635763
0,847195,162,1,845501
0,492362,27,1,490971
0,236472,223,1,233641
0,779582,202,0,776703
1,5320,123,0,4310
1,3857,103,1,1095
0,650247,100,0,648161
0,984,304,1,31
1,976,20,1,2
0,24358,272,0,21590
0,2274,50,0,1
0,628999,142,1,626735
1,13990,114,1,11384
1,14595,65,0,12280
1,11256,253,1,8914
0,2327020,263,1,2324351
1,5339,51,1,2904
1,65081,83,0,62292
1,1335,245,0,1
0,805554,313,0,804478
0,782600,203,0,781197
1,955,155,0,2
0,1573917,165,1,1571158
0,1995400,174,0,1993454
0,794113,241,0,793295
1,644271,96,1,641242
1,56433,248,0,54619
0,654938,252,1,652152
0,1032018,49,1,1029001
0,1140600,195,0,1138639
0,411506,57,1,408474
1,924785,236,1,922281
0,4734,122,0,2191
1,8397,15,0,5578
0,764760,201,0,762982
1,3210,22,1,616
1,587182,273,1,584897
1,4421,31,0,3684
0,9939,56,0,8926
0,606712,237,0,603989
1,21218,240,1,18921
1,2501,82,0,102
1,7457,214,1,4911
0,490870,45,0,489493
0,4073,5,1,1218
1,110366,249,1,107442
1,22430,44,1,19944
1,15107,262,1,12237
1,41742,307,1,39727
0,663320,258,0,660522
1,58458,113,0,55432
0,486237,24,1,483109
