Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Twitter_Handle,Birth_Place,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,7,47965.0,17988.0,16,7,138125.0,,4,16,70962.0,2,74.0,11,5,16,64279.0,8377.0,10,1.85,13
1,2,16289.0,5.0,0,2,140924.0,19443.0,9,6,14575.0,6,61.0,1,16,0,7005.0,38.0,11,177.0,6
1,12,56041.0,20719.0,13,12,174582.0,66232.0,13,13,88889.0,8,65.0,7,11,13,72449.0,18655.0,6,177.0,12
1,5,12980.0,1999.0,2,11,140438.0,17159.0,11,9,26925.0,5,53.0,2,10,2,11870.0,452.0,12,165.0,5
1,16,11585.0,1994.0,17,16,140778.0,16105.0,15,5,28378.0,5,65.0,3,6,17,13069.0,133.0,12,181.0,10
1,15,49272.0,17881.0,12,10,140294.0,55349.0,5,0,76092.0,0,56.0,8,2,12,38092.0,4863.0,12,169.0,11
1,4,65688.0,24926.0,3,4,198937.0,,1,17,95844.0,9,60.0,15,1,3,100412.0,58275.0,1,175.0,13
1,10,14372.0,56.0,9,0,140610.0,18135.0,4,1,14262.0,5,63.0,0,12,9,5274.0,27.0,12,174.0,4
1,6,16313.0,3333.0,4,5,140752.0,19461.0,2,4,44513.0,2,74.0,5,17,4,18746.0,150.0,12,181.0,3
1,11,61866.0,23334.0,10,8,185156.0,,6,8,97634.0,9,65.0,13,4,10,100717.0,35077.0,3,170.0,1
1,9,57262.0,24720.0,6,0,185273.0,,3,10,90375.0,6,69.0,14,7,6,67001.0,10916.0,4,1.71,13
1,3,69634.0,26526.0,15,15,194619.0,,7,2,149727.0,8,66.0,17,8,15,115790.0,45992.0,9,176.0,13
1,8,69878.0,26378.0,5,6,206876.0,,4,7,162777.0,6,,16,15,5,118440.0,61639.0,5,168.0,13
1,0,43410.0,17901.0,1,3,139783.0,46672.0,0,11,66795.0,6,70.0,10,3,1,42590.0,6413.0,7,189.0,8
1,17,,13274.0,11,9,140884.0,54534.0,10,15,54576.0,7,67.0,6,13,11,15712.0,1008.0,0,180.0,9
1,1,46381.0,18610.0,7,1,137427.0,56596.0,8,12,71557.0,4,62.0,9,0,7,63999.0,12474.0,2,173.0,0
1,14,61775.0,23299.0,8,14,164709.0,,14,14,89223.0,1,68.0,12,14,8,72207.0,25726.0,8,186.0,2
1,13,30026.0,7147.0,14,13,140611.0,42655.0,12,3,57601.0,3,62.0,4,9,14,32008.0,563.0,12,172.0,7
