Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Instagram_Handle,Pro_Cycling_Stats_Cyclist_Id,Memoire_Du_Cyclisme_Cyclist_Id,Twitter_Handle,Birth_Place,Uci_Rider_Id,Languages,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Freebase_Id
0,10,56041.0,20719.0,11,12,174582,66232.0,9,10,88889.0,4,65.0,5,12,13,72449,18655,4,177.0,9
0,14,39928.0,10538.0,14,14,140503,47297.0,10,12,64295.0,5,65.0,3,9,12,39966,6496,11,179.0,8
0,12,40040.0,12400.0,3,4,138159,,2,0,67372.0,0,63.0,1,11,4,41957,11520,11,178.0,3
0,3,7299.0,4819.0,1,9,140705,6203.0,8,1,30859.0,3,73.0,0,6,1,17957,705,11,188.0,5
0,9,81349.0,,10,0,244431,,2,13,,3,,14,7,8,159878,89436,9,,10
0,2,80654.0,,0,2,202483,,2,9,157221.0,2,60.0,13,1,0,121401,65240,7,176.0,10
0,1,56070.0,20777.0,6,7,179769,,1,4,86568.0,5,71.0,12,9,7,79781,18575,3,180.0,10
0,7,,17940.0,8,11,138871,55510.0,3,3,507857.0,3,59.0,7,10,10,60701,6538,1,172.0,0
0,11,41076.0,13362.0,12,13,139405,54866.0,4,15,65995.0,3,70.0,6,2,14,51551,3277,10,177.0,4
0,9,,32232.0,10,10,242618,,2,5,292109.0,3,,15,9,3,168366,120025,8,,10
1,8,39287.0,13240.0,4,5,140835,10495.0,6,2,55029.0,2,67.0,4,13,5,21075,1310,11,178.0,6
0,13,52111.0,21295.0,13,0,132361,65151.0,2,7,75186.0,2,60.0,9,4,15,66546,20511,11,172.0,2
0,6,54277.0,19548.0,5,6,141131,62693.0,7,14,110814.0,3,64.0,10,5,6,72903,9302,6,184.0,10
0,0,46381.0,18610.0,9,1,137427,56596.0,5,8,71557.0,1,62.0,8,0,11,63999,12474,2,173.0,1
0,5,59981.0,22676.0,7,8,170164,69592.0,2,11,95753.0,2,69.0,11,8,9,81741,28781,5,182.0,10
0,4,22917.0,6177.0,2,3,140232,2003.0,0,6,45643.0,2,65.0,2,3,2,20659,1006,0,179.0,7
