Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,419867,27,27,0,33,419010
0,1465514,81,81,0,47,1464672
0,25097,63,63,0,25,24648
1,1795788,49,49,0,9,1795339
1,360949,37,37,0,30,360191
1,2126663,21,21,0,34,2125983
0,106626,2,2,0,49,106183
1,1512529,18,18,0,30,1511897
0,1801028,86,86,0,6,1800459
0,187539,4,4,0,18,186739
0,455384,89,89,0,48,454782
0,18478,13,13,0,25,17702
1,522763,58,58,0,28,521789
1,582312,0,0,0,4,581629
1,334491,38,38,0,50,333733
0,398960,28,28,0,27,398058
0,192020,70,70,0,28,191304
1,390327,11,11,0,30,389875
1,5270,62,62,0,25,4815
1,1249825,36,36,0,34,1249373
1,548988,16,16,0,53,548008
1,260224,53,53,0,52,259535
1,1915099,48,48,0,9,1914353
1,1404526,45,45,0,53,1403861
0,229245,104,104,0,36,228751
1,447197,92,92,0,18,446745
0,47774,65,65,0,25,46746
0,215252,107,107,0,7,214692
1,2055769,83,83,0,2,2055320
0,241884,24,24,0,35,241294
1,404244,67,67,0,51,403621
1,171000,39,39,2,17,170227
1,1351182,75,75,0,50,1350433
0,469905,61,61,0,15,469240
0,190450,99,99,0,43,190100
0,1500372,19,19,0,6,1500022
0,19040,56,56,0,25,18594
0,1292754,33,33,0,6,1292116
0,293595,59,59,0,41,292942
1,504446,93,93,0,2,503646
1,491545,94,94,0,2,490745
1,1335494,34,34,0,32,1334871
0,311877,52,52,1,29,310678
1,516832,14,14,0,16,515849
1,930230,66,66,0,9,929781
1,1962152,47,47,0,22,1961658
1,2108845,50,50,0,6,2108303
0,24241,26,26,0,25,23690
1,369901,12,12,0,42,369557
1,533902,105,105,0,0,533237
0,1327169,35,35,0,6,1326369
1,17745,72,72,0,11,16912
0,509814,69,69,3,19,509014
0,249191,31,31,0,27,247920
1,1040614,101,101,0,39,1040054
1,374729,78,78,1,10,373830
0,258510,80,80,0,43,258202
1,981065,41,41,0,23,980400
0,3241,97,97,0,21,2789
1,2054734,8,8,0,32,2054069
0,249755,32,32,0,1,248955
0,354499,30,30,0,36,353846
0,21345,88,88,0,27,20596
1,541726,15,15,0,25,540743
1,1188592,76,76,0,6,1187834
0,398759,79,79,0,50,398094
1,30522,87,87,0,40,29761
0,2006097,84,84,0,8,2005645
1,2046738,9,9,0,6,2046013
1,989439,20,20,0,6,989029
1,543870,102,102,0,53,542632
0,835812,95,95,4,25,835600
1,985522,40,40,0,5,984710
0,873951,10,10,0,11,873346
1,976756,42,42,0,45,976091
0,2720,96,96,0,21,1839
0,574747,29,29,0,14,573722
0,1771495,46,46,0,12,1771046
0,434224,91,91,0,18,433772
0,25672,64,64,0,25,25139
0,1055868,57,57,0,25,1055320
0,1133852,98,98,0,37,1133403
1,6198,5,5,0,44,5503
0,58473,1,1,0,20,57784
1,213832,23,23,0,18,212933
1,2014286,51,51,0,40,2013333
1,3147,54,54,0,25,2389
0,121362,106,106,0,26,120919
0,407069,60,60,0,36,406629
1,166893,3,3,0,46,166510
1,16682,73,73,0,3,16377
0,203789,71,71,0,28,203085
1,1589372,22,22,0,34,1589025
1,1379076,74,74,0,5,1378327
1,1474,7,7,0,38,1025
1,972438,43,43,0,6,971773
1,26420,55,55,0,25,25257
1,1694721,6,6,1,13,1693825
1,430215,103,103,0,30,429457
1,2189977,82,82,0,22,2189303
0,4118,25,25,0,25,3549
0,45033,90,90,0,24,44497
1,576203,44,44,0,4,575301
0,1027295,100,100,0,31,1026840
0,1966887,85,85,0,30,1966264
1,561672,68,68,0,0,560914
1,1125325,77,77,0,5,1124525
0,1533448,17,17,0,6,1532690
