Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,1169344,41,41,1,26,1158920
1,7614,2,0,0,2,1030
1,609988,159,159,1,125,605538
0,1211309,164,164,1,133,1200861
1,71128,82,82,1,18,60752
1,18759,154,154,3,77,8548
1,52109,56,56,1,63,41772
1,64484,129,129,2,97,55971
0,424181,140,140,1,68,413739
0,225503,223,223,1,117,215040
0,1026196,143,143,3,36,1015775
0,330111,110,110,1,75,322282
1,458221,51,51,1,111,447770
0,685626,121,121,1,84,675331
0,18045,174,174,1,69,7588
1,108909,132,132,1,53,98518
1,47512,126,126,1,15,39092
0,775910,133,133,1,93,765552
1,22103,172,172,1,55,14689
0,332104,169,169,1,55,321641
1,7780,8,8,2,124,2
1,11317,87,87,3,42,5433
0,573981,160,160,1,125,563530
1,459416,62,62,1,140,449073
1,5380,25,25,3,27,2
1,214744,9,9,3,39,206012
1,31572,76,76,1,25,21127
1,63253,175,175,1,79,52823
0,286931,192,192,1,97,283691
0,162112,185,185,3,108,156224
1,14171,180,180,2,62,4392
1,11492,32,32,1,59,5925
1,26884,61,61,1,54,16478
1,45907,207,207,2,17,38978
0,13390,162,162,1,126,2987
0,698669,83,83,1,69,688299
0,9732,193,193,1,19,1
1,1233807,178,178,3,137,1224493
1,62951,95,95,1,88,52593
1,970184,186,186,1,86,959784
1,138304,216,216,1,52,127910
1,13701,155,155,1,82,3220
0,689245,14,14,1,15,678794
1,5595,6,6,2,138,1
0,213628,101,101,1,130,203258
0,24168,114,114,3,23,13795
1,31191,123,123,1,56,20812
0,3034,92,92,2,89,2
1,347060,220,220,2,140,339083
1,127990,152,152,3,123,117557
1,390898,219,219,1,75,380639
1,60872,208,208,1,22,50520
1,225073,35,35,1,40,217409
0,842551,213,213,1,6,832124
0,475972,78,78,2,85,470489
1,534898,115,115,2,103,529028
1,59093,70,70,1,67,53591
0,2345983,167,167,1,22,2335691
0,33876,201,201,1,73,23431
0,2017022,4,4,2,101,2011656
0,796435,42,42,3,136,786038
0,908777,38,38,1,102,898398
0,1020605,202,202,3,20,1014285
1,25728,94,94,3,40,21774
0,13163,66,66,1,51,2601
0,789447,214,214,3,114,779023
0,7954,194,194,2,70,2
0,743366,12,12,3,94,733188
0,1028641,19,19,1,100,1018586
1,69531,218,218,1,52,59128
0,5243,69,69,1,48,2
0,9826,22,22,2,115,2831
1,12411,135,135,3,3,1858
0,6482,3,3,2,70,3
1,78813,198,198,1,141,72588
1,12312,197,197,2,7,7990
1,40663,199,199,1,126,30197
1,51361,102,102,1,40,40991
0,288082,210,210,1,95,277652
0,328819,65,65,1,72,318764
1,127475,173,173,1,91,117093
1,32850,188,188,1,100,28143
0,207695,53,53,1,112,204667
1,36235,217,217,1,53,25871
0,11147,33,33,2,118,4143
0,1351353,156,156,3,137,1340908
0,656937,158,158,1,1,646543
0,745319,40,40,1,135,734937
1,353296,98,98,2,7,348857
0,7476,0,1,2,103,127
1,21015,77,77,1,65,14486
0,5481,157,157,2,38,1
1,5231,27,27,1,134,1
1,78745,64,64,1,1,68291
0,574518,144,144,3,98,565420
1,27113,195,195,3,139,16665
0,647211,118,118,3,137,636820
1,802151,13,13,1,116,791817
0,65194,21,21,1,43,54806
1,6388,125,125,1,129,323
