Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
1,419867,29,29,0,0,34,419010
1,1404526,44,44,0,0,54,1403861
0,25097,61,61,0,0,26,24648
0,1771495,45,45,0,0,13,1771046
1,334491,38,38,0,0,51,333733
1,2108845,49,49,0,0,7,2108303
0,106626,2,2,0,0,50,106183
0,1500372,20,20,0,0,7,1500022
1,1589372,24,24,0,0,35,1589025
0,187539,4,4,0,0,17,186739
0,249755,32,32,0,0,2,248955
0,3241,97,97,0,0,20,2789
0,455384,88,88,0,0,49,454782
1,582312,0,0,0,0,5,581629
1,2189977,80,80,0,0,21,2189303
0,249191,31,31,0,0,28,247920
0,192020,68,68,0,0,29,191304
1,360949,37,37,0,0,31,360191
1,5270,60,60,0,0,26,4815
1,1188592,74,74,0,0,7,1187834
1,541726,15,15,0,0,26,540743
1,260224,52,52,0,0,53,259535
1,1795788,48,48,0,0,10,1795339
0,1266329,78,78,0,0,39,1265664
0,229245,104,104,0,0,37,228751
0,439937,91,91,0,0,3,439305
0,47774,63,63,0,0,26,46746
0,215252,107,107,0,0,8,214692
0,2006097,82,82,0,0,9,2005645
0,241884,26,26,0,0,36,241294
1,374729,76,76,1,1,11,373830
0,187858,12,12,1,1,40,187097
1,1335494,34,34,0,0,33,1334871
0,407069,57,57,0,0,37,406629
0,190450,99,99,0,0,45,190100
1,1379076,72,72,0,0,6,1378327
1,3147,53,53,0,0,26,2389
1,1249825,36,36,0,0,35,1249373
0,873951,10,10,0,0,12,873346
1,491545,93,93,0,0,3,490745
1,447197,92,92,0,0,17,446745
0,1327169,35,35,0,0,7,1326369
0,311877,51,51,1,1,30,310678
1,508560,16,16,2,0,31,507559
1,1480543,79,79,0,0,1,1479323
1,1915099,47,47,0,0,10,1914353
1,2054734,8,8,0,0,33,2054069
0,4118,27,27,0,0,26,3549
1,369901,13,13,0,0,44,369557
1,533902,105,105,0,0,0,533237
0,1292754,33,33,0,0,7,1292116
1,17745,70,70,0,0,12,16912
0,509814,67,67,3,1,18,509014
0,58473,1,1,0,0,19,57784
0,1027295,100,100,0,0,32,1026840
1,2144974,23,23,1,1,24,2144312
0,258510,77,77,0,0,45,258202
1,976756,41,41,0,0,47,976091
0,2720,96,96,0,0,20,1839
1,2046738,9,9,0,0,7,2046013
0,469905,59,59,0,0,16,469240
0,293595,56,56,0,0,43,292942
0,21345,87,87,0,0,28,20596
1,533360,14,14,0,0,15,532377
1,1125325,75,75,0,0,6,1124525
1,1146722,86,86,0,0,15,1145835
1,30522,85,85,0,0,42,29761
1,1962152,46,46,0,0,21,1961658
1,2014286,50,50,0,0,42,2013333
1,985522,39,39,0,0,6,984710
1,535778,102,102,2,0,54,534804
0,574747,30,30,0,0,15,573722
1,981065,40,40,0,0,23,980400
1,548988,17,17,0,0,54,548008
1,972438,42,42,0,0,7,971773
1,1474,7,7,0,0,38,1025
1,522763,55,55,0,0,29,521789
1,1694721,6,6,1,1,14,1693825
0,434224,90,90,0,0,17,433772
0,25672,62,62,0,0,26,25139
0,835812,95,95,4,0,26,835600
0,1117094,98,98,0,0,41,1116687
1,404244,65,65,0,0,52,403621
1,614408,94,94,0,0,22,613791
1,213832,25,25,0,0,17,212933
0,1966887,83,83,0,0,31,1966264
0,24241,28,28,0,0,26,23690
0,121362,106,106,0,0,27,120919
0,386361,58,58,0,0,16,385708
1,166893,3,3,0,0,48,166510
1,16682,71,71,0,0,4,16377
0,203789,69,69,0,0,29,203085
0,1533448,18,18,0,0,7,1532690
1,1351182,73,73,0,0,51,1350433
1,6198,5,5,0,0,46,5503
1,430215,103,103,0,0,31,429457
0,19040,54,54,0,0,26,18594
1,1129040,101,101,0,0,10,1128585
1,390327,11,11,0,0,31,389875
1,2167272,81,81,0,0,9,2166841
1,14295,21,21,0,0,26,13393
0,45033,89,89,0,0,25,44497
1,576203,43,43,0,0,5,575301
1,930230,64,64,0,0,10,929781
0,1962116,84,84,0,0,33,1960989
1,561672,66,66,0,0,0,560914
1,989439,22,22,0,0,7,989029
1,1512529,19,19,0,0,31,1511897
