Sport_Country,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm
3,20,69190.0,25740.0,17,19,196424,19,15,14,112082.0,,33,36,18,115868,38195.0,12,175.0
2,12,62573.0,23503.0,9,9,181270,9,19,28,92264.0,63.0,31,24,8,91205,27124.0,5,174.0
7,9,11009.0,5139.0,7,6,140904,6,3,13,55131.0,65.0,8,27,6,27924,581.0,0,183.0
7,25,48143.0,21971.0,21,25,168754,25,26,19,79462.0,,27,41,24,64280,16672.0,12,184.0
6,7,785.0,989.0,0,4,140417,4,12,7,26797.0,73.0,2,5,4,9898,45.0,14,190.0
14,1,16289.0,5.0,4,2,140924,2,17,24,14575.0,61.0,3,34,2,7005,38.0,14,177.0
5,32,90006.0,31323.0,20,23,240120,23,12,1,363549.0,,41,9,22,148726,111801.0,13,
6,5,52038.0,20697.0,3,1,156131,1,2,26,86630.0,68.0,19,8,1,68186,20584.0,6,180.0
6,34,46998.0,16666.0,30,35,140492,35,29,9,64680.0,71.0,13,12,34,48356,2338.0,3,176.0
6,22,39287.0,13240.0,14,15,140835,15,21,16,55029.0,67.0,10,38,14,21075,1310.0,15,178.0
6,3,61538.0,24057.0,0,16,177672,16,12,35,91640.0,82.0,32,19,15,79184,27099.0,16,193.0
6,34,46998.0,16666.0,30,35,140492,35,29,9,64680.0,71.0,13,12,34,48356,2338.0,3,176.0
6,18,17747.0,1992.0,0,17,140399,17,22,33,31056.0,63.0,5,37,16,11476,486.0,14,175.0
0,11,53630.0,19651.0,8,8,168753,8,4,31,78094.0,61.0,23,18,7,71432,16573.0,2,165.0
5,15,56436.0,20917.0,1,29,156570,29,0,18,77380.0,78.0,22,0,29,71706,9746.0,12,180.0
6,3,61538.0,24057.0,0,16,177672,16,12,35,91640.0,82.0,32,19,15,79184,27099.0,16,193.0
1,19,,26392.0,15,18,193131,18,12,23,148275.0,69.0,35,29,17,89152,45363.0,11,176.0
7,13,46049.0,19242.0,10,10,139823,10,5,34,69149.0,80.0,18,28,9,43239,7730.0,4,183.0
1,17,46847.0,16697.0,13,14,138471,14,8,11,70799.0,72.0,15,32,13,65315,10382.0,8,183.0
1,30,3827.0,4557.0,12,39,140194,39,6,27,48167.0,69.0,7,13,38,25237,1783.0,15,179.0
3,21,62729.0,23558.0,18,21,181257,21,23,21,97437.0,75.0,28,3,20,101407,27121.0,10,192.0
10,29,41076.0,13362.0,28,32,139405,32,13,38,65995.0,70.0,14,7,31,51551,3277.0,14,177.0
9,41,70304.0,26482.0,16,20,196333,20,12,5,107840.0,63.0,36,1,19,108403,50303.0,12,178.0
1,40,58050.0,20184.0,0,41,135591,41,12,40,89133.0,72.5,16,11,40,71225,19274.0,15,173.0
6,8,80654.0,,5,5,202483,5,12,29,157221.0,60.0,37,4,5,121401,65240.0,12,176.0
0,10,5172.0,161.0,0,7,140762,7,12,20,13388.0,68.0,0,16,28,5689,86.0,15,174.0
15,4,47589.0,20960.0,31,36,158017,36,30,39,74994.0,83.0,20,23,35,65329,16724.0,6,193.0
8,39,7667.0,20.0,0,40,140370,40,32,12,12075.0,83.0,1,21,39,9286,118.0,15,183.0
4,33,4863.0,446.0,0,33,140571,33,14,37,15732.0,57.0,4,14,32,8397,65.0,15,159.0
1,28,83295.0,28377.0,27,31,212377,31,9,0,587366.0,62.0,40,17,30,141854,84019.0,12,171.0
7,27,53950.0,24932.0,26,30,185581,30,28,10,93345.0,70.0,34,15,29,84264,37308.0,12,185.0
5,31,52044.0,20798.0,24,27,132438,27,10,2,86938.0,70.0,21,31,26,71789,16643.0,11,183.0
2,36,39842.0,12843.0,25,28,140292,28,11,32,67388.0,58.0,12,30,27,57418,2276.0,1,166.0
6,16,19630.0,10023.0,0,13,140233,13,7,8,54679.0,61.0,11,33,12,22431,794.0,15,175.0
16,37,56666.0,18975.0,2,0,133024,0,1,4,70590.0,58.0,17,40,0,65132,20147.0,7,172.0
12,24,55710.0,21145.0,22,24,132339,24,27,22,86863.0,70.0,26,26,23,71405,16687.0,16,185.0
2,2,89309.0,29699.0,29,34,211947,34,12,3,353375.0,,39,10,33,144923,81835.0,9,174.0
3,35,55907.0,20793.0,0,37,168755,37,24,30,461093.0,73.0,24,2,36,66627,16610.0,8,178.0
13,0,7764.0,1237.0,11,11,140800,11,20,17,29164.0,70.0,6,22,10,10911,706.0,14,183.0
1,26,75207.0,,23,26,205970,26,12,25,154227.0,,38,35,25,104359,70034.0,12,175.0
12,23,45487.0,15789.0,19,22,133565,22,25,22,55607.0,72.0,9,25,21,62028,9234.0,12,183.0
16,38,56672.0,22018.0,0,38,168758,38,31,15,86735.0,,29,20,37,74063,16639.0,15,183.0
6,14,55719.0,22020.0,6,12,164213,12,18,6,86617.0,,25,6,11,77514,26504.0,12,183.0
11,6,,24316.0,0,3,181239,3,16,36,97280.0,67.0,30,39,3,104872,37281.0,12,186.0
