Sport_Country,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm
5,2,65225.0,24934.0,4,7,182731,6,3,7,111343,,7,7,6,104017,37280,6,188.0
3,0,59981.0,22676.0,2,1,170164,1,2,8,95753,69.0,3,4,1,81741,28781,1,182.0
7,8,49272.0,17881.0,5,8,140294,7,4,3,76092,56.0,1,1,7,38092,4863,6,169.0
6,3,39897.0,12748.0,9,2,138849,2,1,6,64864,67.0,0,8,2,54755,3050,2,173.0
9,6,84444.0,,7,6,209865,9,2,4,266691,,9,2,9,140707,51252,4,182.0
2,7,57472.0,21342.0,6,9,178184,8,5,2,91656,62.0,2,5,8,66785,23097,5,170.0
0,9,,22744.0,8,5,132419,5,7,1,747569,68.0,4,6,5,70980,16576,6,180.0
8,4,65227.0,26509.0,0,3,194909,3,2,0,111440,57.0,8,3,3,99609,46163,3,173.0
4,5,48143.0,21971.0,3,4,168754,4,6,5,79462,,5,9,4,64280,16672,4,184.0
1,1,65688.0,24926.0,1,0,198937,0,0,9,95844,60.0,6,0,0,100412,58275,0,175.0
