sport_type,host_country,official_website,pro_cycling_stats_race_id,part_of_series,edition_number,start_location,commons_category,participating_teams,end_location
0,1,18,210024.0,10,106.0,3,8,15,5
0,3,11,,14,7.0,12,2,18,3
0,4,3,113440.0,3,67.0,15,13,2,2
0,3,0,,14,2.0,12,2,18,3
0,4,5,171127.0,8,72.0,13,16,14,2
0,1,10,171088.0,8,104.0,5,7,14,5
0,4,17,,14,,12,10,18,3
0,1,18,,16,,12,3,18,3
0,2,15,139069.0,4,97.0,0,1,3,8
0,0,8,163622.0,7,80.0,10,0,13,1
0,4,16,247345.0,11,75.0,7,17,7,2
0,1,10,171088.0,8,104.0,5,7,14,5
0,4,17,,14,,12,10,18,3
0,1,9,124228.0,4,101.0,9,6,11,5
0,1,18,210024.0,10,106.0,3,8,15,5
0,4,16,256634.0,12,76.0,2,18,8,7
0,4,2,139153.0,4,69.0,8,14,11,7
0,4,17,,14,,12,10,18,3
0,3,12,,14,9.0,12,2,18,3
0,4,3,113440.0,3,67.0,15,13,2,2
0,2,0,221290.0,9,91.0,16,2,16,6
0,1,9,124228.0,4,101.0,9,6,11,5
0,2,14,164399.0,6,40.0,18,2,13,0
0,1,9,124228.0,4,101.0,9,6,11,5
0,1,10,171088.0,8,104.0,5,7,14,5
0,1,0,268362.0,13,109.0,4,9,9,5
0,4,4,150005.0,5,70.0,17,15,12,2
0,1,0,101305.0,1,93.0,19,5,17,5
0,3,13,,16,5.0,12,2,18,3
0,3,0,,14,3.0,12,2,18,3
0,3,0,,15,4.0,12,2,18,3
0,0,8,163622.0,7,80.0,10,0,13,1
0,1,9,124228.0,4,101.0,9,6,11,5
0,4,6,164450.0,6,59.0,14,2,4,4
0,4,1,111269.0,2,66.0,1,12,10,2
0,4,0,,1,61.0,11,11,1,2
0,1,18,,16,,12,3,18,3
0,3,0,,14,8.0,12,2,6,3
0,3,13,,14,4.0,12,2,18,3
0,1,18,,16,,12,3,18,3
0,4,16,256634.0,12,76.0,2,18,8,7
0,3,0,,14,7.0,12,2,5,3
0,3,0,,14,1.0,12,2,18,3
0,4,1,111269.0,2,66.0,1,12,10,2
0,1,10,171088.0,8,104.0,5,7,14,5
0,3,0,,15,5.0,12,2,18,3
0,3,0,,14,6.0,12,2,18,3
0,4,17,,14,,12,10,18,3
0,4,5,171127.0,8,72.0,13,16,14,2
0,3,0,,15,5.0,12,2,18,3
0,1,7,101051.0,0,92.0,6,4,0,5
0,4,16,256634.0,12,76.0,2,18,8,7
0,4,16,247345.0,11,75.0,7,17,7,2
0,3,0,,14,2.0,12,2,2,3
0,1,9,124228.0,4,101.0,9,6,11,5
0,2,14,164399.0,6,40.0,18,2,13,0
