sport_type,host_country,official_website,pro_cycling_stats_race_id,part_of_series,edition_number,start_location,commons_category,participating_teams,end_location
1,8,6,181404.0,1,82,7,5,0,1
1,9,5,209898.0,3,1,0,2,2,2
1,7,2,171127.0,0,72,13,7,4,6
1,3,1,247313.0,6,84,14,2,3,10
1,1,12,219106.0,2,73,6,2,1,8
1,8,14,209948.0,3,73,11,4,5,4
1,3,3,171015.0,0,115,5,3,4,12
1,0,7,209890.0,3,21,1,2,5,15
0,5,0,,4,1,12,2,6,9
1,4,4,170996.0,0,108,9,1,4,13
1,7,8,209925.0,3,99,4,6,5,0
1,6,0,182099.0,1,2,2,2,0,5
1,0,10,209891.0,3,5,8,2,5,3
1,10,13,210025.0,3,8,3,2,5,14
1,3,11,248217.0,5,44,15,2,3,11
1,2,9,181954.0,1,9,10,0,0,7
