CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Nationality,BirthPlace,UciRiderId,NativeName,Languages,WeightKg,BirthDate,FirstName,RaceParticipation,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
4,0,57256.0,23463,17,189196,3,17,89712.0,1,8,72.0,13,9,5,12,72654.0,34624,180.0
3,14,,5242,15,138108,12,2,,4,8,,3,16,8,12,18977.0,8492,
4,11,2747.0,3448,10,140768,13,7,32923.0,3,2,70.0,1,12,11,12,16824.0,14,175.0
1,20,54395.0,20730,21,168961,1,13,75859.0,9,1,70.0,12,21,7,12,74709.0,18258,187.0
3,13,,22472,12,168796,0,18,86976.0,4,5,,16,14,10,6,70650.0,16943,176.0
4,0,57256.0,23463,17,189196,3,17,89712.0,1,8,72.0,13,9,5,12,72654.0,34624,180.0
3,12,56938.0,20257,11,167585,2,8,86480.0,4,5,64.0,5,13,7,12,81851.0,16569,175.0
3,17,49272.0,17881,14,140294,12,11,76092.0,5,0,56.0,6,15,11,12,38092.0,4863,169.0
1,1,46381.0,18610,8,137427,4,19,71557.0,2,3,62.0,9,10,2,12,63999.0,12474,173.0
4,3,,7450,7,140113,3,16,30346.0,4,8,,2,8,6,10,17333.0,5389,
3,10,58428.0,21992,9,168776,7,21,86895.0,4,5,,17,11,10,12,77835.0,16793,179.0
3,4,62255.0,24189,2,187231,4,5,79522.0,4,3,64.0,15,2,7,4,82930.0,34011,176.0
3,5,52673.0,19070,3,137769,12,4,79921.0,4,8,,8,3,11,11,71836.0,7639,178.0
2,8,19558.0,3828,6,140870,7,10,34012.0,4,5,69.0,0,7,0,12,21215.0,264,182.0
3,9,65118.0,23940,0,182127,12,9,422863.0,4,0,,14,0,11,1,84375.0,27307,178.0
3,2,69634.0,26526,19,194619,11,15,149727.0,7,7,66.0,21,19,9,7,115790.0,45992,176.0
3,15,83295.0,28377,16,212377,1,0,587366.0,6,5,62.0,22,17,10,9,141854.0,84019,171.0
3,7,50317.0,18455,1,138294,6,3,68778.0,4,5,70.0,10,1,4,12,61900.0,6230,175.0
0,18,61537.0,24873,20,185567,9,22,111336.0,8,5,,20,20,10,3,104450.0,37297,184.0
3,16,46998.0,16666,18,140492,5,6,64680.0,4,4,71.0,7,18,1,12,48356.0,2338,176.0
3,6,62573.0,23503,4,181270,3,20,92264.0,4,8,63.0,18,4,3,0,91205.0,27124,174.0
3,21,,24123,22,185275,3,14,97648.0,4,8,,11,22,6,8,97121.0,22206,
0,13,,10234,13,138160,10,1,60602.0,4,6,,4,6,10,5,,8956,
3,19,49495.0,23426,5,177246,8,12,87061.0,0,5,,19,5,10,2,88470.0,37748,181.0
