Entity_Type,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Twitter_Username,Sport_Type,Birth_Place,Uci_Rider_Id,Profession,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Gender,Height_Cm,Sport_Country
0,9,10,,0,0,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
1,6,3,3448.0,0,9,140768.0,4,2,2,32923.0,2,6,1,9,3,5,11,9,16824.0,0,14.0,1,2,5
0,1,10,,0,12,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
1,9,10,,0,11,197975.0,6,1,6,152927.0,1,7,8,13,6,13,1,9,,3,,1,7,5
1,9,10,,0,11,273035.0,6,1,6,,1,7,13,11,12,9,5,9,,3,,1,7,5
1,11,8,28298.0,2,2,192457.0,6,1,1,98774.0,1,5,10,14,5,0,6,6,114071.0,2,45987.0,1,3,3
1,9,10,,0,11,195695.0,6,1,6,148600.0,1,7,9,7,10,10,9,9,,3,,1,7,5
1,7,2,5252.0,0,10,140378.0,5,1,8,32617.0,1,3,3,0,8,7,10,9,16285.0,3,909.0,1,1,6
1,5,5,20770.0,6,8,138672.0,10,1,9,86539.0,1,0,6,10,2,4,7,1,81864.0,3,18564.0,1,4,4
1,2,6,21444.0,0,7,133063.0,3,1,4,93638.0,1,4,4,1,1,3,4,0,83988.0,1,22267.0,1,5,5
1,12,4,3366.0,0,14,140270.0,7,2,5,30329.0,1,2,2,2,4,12,0,9,15181.0,0,568.0,1,2,5
0,9,10,,0,11,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
1,4,1,6686.0,3,4,137172.0,8,1,3,57762.0,2,6,0,4,10,1,0,9,35734.0,0,1867.0,1,6,0
0,9,10,,0,3,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
0,13,10,,0,15,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
0,9,10,,1,1,,0,1,6,,0,7,14,8,10,10,8,3,,3,,0,7,5
0,9,10,,0,11,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
0,0,10,,0,11,,6,1,6,,0,7,14,8,10,10,8,9,,3,,0,7,5
1,9,10,19608.0,0,11,132338.0,6,0,6,79740.0,1,7,5,6,11,6,9,4,72627.0,3,9206.0,1,7,5
1,10,9,28377.0,8,13,212377.0,2,1,0,587366.0,1,1,11,12,7,11,1,5,141854.0,3,84019.0,1,0,1
1,8,0,,7,11,273882.0,6,1,7,,1,7,12,5,9,8,2,8,185469.0,3,181011.0,1,7,5
0,9,10,,4,5,,9,1,6,,0,7,14,8,10,10,8,7,,3,,0,7,5
1,3,7,24926.0,5,6,198937.0,1,1,10,95844.0,1,0,7,3,0,2,3,2,100412.0,4,58275.0,1,2,2
