Entity_Type,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Pro_Cycling_Stats_Cyclist_Id,Twitter_Username,Sport_Type,Birth_Place,Uci_Rider_Id,Profession,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Gender,Height_Cm,Sport_Country
1,19,2,7838.0,0,24,140805.0,15,2,1,44337.0,2,6,5,11,4,17,2,14,19062.0,2,918.0,1,7,5
1,15,16,25466.0,0,21,194533.0,4,0,14,748934.0,2,11,12,4,11,12,12,2,76413.0,7,35382.0,1,13,5
1,14,8,21971.0,10,19,168754.0,13,1,4,79462.0,1,11,11,0,16,11,5,14,64280.0,4,16672.0,1,10,4
0,6,16,,0,6,,4,2,10,,0,11,18,13,13,14,6,14,,4,,0,13,5
1,2,1,5.0,3,3,140924.0,9,2,8,14575.0,2,2,0,8,15,0,11,14,7005.0,4,38.0,1,5,8
1,0,14,1237.0,5,9,140800.0,12,2,3,29164.0,2,7,2,15,6,3,10,14,10911.0,1,706.0,1,9,7
0,15,16,,0,11,,4,2,10,,0,11,18,13,13,14,6,11,,4,,0,13,5
1,11,10,25704.0,6,13,181190.0,1,2,18,112353.0,2,9,13,18,5,4,2,0,105160.0,2,37717.0,1,12,5
1,15,12,26775.0,0,21,207051.0,4,2,16,,2,0,14,6,2,8,1,9,132960.0,4,68868.0,1,0,1
1,13,6,14321.0,8,16,140505.0,4,2,11,422366.0,2,1,6,12,7,9,11,14,24864.0,0,2977.0,1,2,8
1,18,9,21342.0,11,22,178184.0,5,2,2,91656.0,2,3,10,2,13,15,1,13,66785.0,4,23097.0,1,1,1
1,22,0,1994.0,13,25,140778.0,16,2,7,28378.0,2,4,1,1,12,18,3,14,13069.0,3,133.0,1,8,2
0,4,16,,0,18,,3,2,10,,0,11,18,13,13,14,6,8,,4,,0,13,5
1,9,3,5789.0,4,8,140869.0,11,2,9,43936.0,2,6,3,7,3,2,4,14,22017.0,3,713.0,1,11,3
0,7,16,,0,7,,4,2,10,,0,11,18,13,13,14,6,14,,4,,0,13,5
1,8,15,4179.0,9,4,140749.0,2,2,15,32691.0,2,10,4,3,8,1,7,14,19407.0,4,406.0,1,8,5
0,15,16,,0,5,,4,2,10,,0,11,18,13,13,14,6,14,,4,,0,13,5
0,3,16,,0,12,,7,2,10,,0,11,18,13,13,14,6,4,,4,,0,13,5
0,15,16,,1,2,,0,2,10,,0,11,18,13,13,14,6,7,,4,,0,13,5
1,1,7,18610.0,2,17,137427.0,8,1,13,71557.0,2,3,8,14,0,10,2,14,63999.0,2,12474.0,1,2,5
0,20,16,,0,1,,0,2,10,,0,11,18,13,13,14,6,5,,4,,0,13,5
1,17,13,,0,14,202698.0,4,0,12,153299.0,2,11,16,9,13,5,8,3,122391.0,5,65580.0,1,13,5
0,21,16,,0,10,,14,2,10,,0,11,18,13,13,14,6,6,,4,,0,13,5
1,10,5,18287.0,0,15,137562.0,4,0,6,68745.0,2,11,9,17,10,7,0,14,61619.0,1,4778.0,1,3,5
1,12,16,,7,21,240119.0,4,2,17,486724.0,2,11,17,5,1,6,11,12,156117.0,0,114756.0,1,13,5
1,16,4,13066.0,0,20,140384.0,10,2,0,62919.0,2,8,7,16,9,13,0,14,39964.0,1,2211.0,1,6,0
1,5,11,26526.0,12,23,194619.0,6,2,5,149727.0,2,5,15,10,14,16,9,1,115790.0,6,45992.0,1,4,6
0,15,16,,0,0,,4,2,10,,0,11,18,13,13,14,6,10,,4,,0,13,5
