GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,16460955,206,213,6,5,16457260,0,9
0,0,138161,112,119,21,52,134502,0,6
0,0,203930,61,66,18,10,200193,0,5
0,0,4553753,0,46,6,9,4549992,0,5
0,0,4840,6,0,26,8,914,1,0
0,0,9779285,169,176,6,24,9775560,0,7
0,0,334096,65,70,18,10,330365,0,5
0,0,3840387,81,88,18,55,3836677,0,6
0,0,1195742,5,53,1,8,1191876,1,5
0,0,8918600,165,172,6,24,8914875,0,7
0,0,1910663,196,203,18,5,1906803,0,9
0,0,1668281,32,29,18,11,1666599,0,5
0,0,2060217,118,125,30,21,2056039,0,6
0,0,4813930,136,143,6,10,4810370,0,7
0,0,65541,105,112,18,2,61918,1,6
0,0,2103880,123,130,6,49,2100152,0,6
0,0,10591984,174,181,7,24,10589706,0,7
0,0,4340768,39,36,18,11,4339005,0,5
0,0,83566,50,55,31,9,79856,1,5
0,0,20151480,207,214,19,16,20150096,1,9
0,0,11683010,175,182,7,35,11680997,0,7
0,0,44719,18,19,26,6,40601,1,4
1,0,11229,109,116,16,13,7763,1,6
0,0,239685,16,17,11,4,237098,0,4
0,0,4278879,147,154,6,24,4275136,1,7
0,0,2481188,79,85,18,11,2479680,0,5
0,0,12013049,177,184,6,35,12009273,1,7
0,0,12740701,179,186,6,24,12737024,0,7
0,0,338864,66,71,18,10,335124,0,5
0,0,10244238,172,179,6,35,10240936,1,7
0,0,3815,84,91,4,38,90,1,6
0,0,628721,43,41,18,9,624993,1,5
0,0,47239,9,3,28,0,43805,1,0
0,0,4283484,148,155,6,24,4279741,1,7
0,0,5598267,151,158,6,24,5595391,0,7
0,0,154797,58,63,18,10,150979,0,5
0,0,587534,130,137,32,43,585909,0,8
0,0,4522804,40,37,18,11,4521833,0,5
0,0,9462057,166,173,6,35,9458497,1,7
0,0,27954,107,114,18,52,24217,0,6
0,0,279004,124,131,31,28,275159,0,8
0,0,1147490,101,108,25,51,1145631,1,6
0,0,7120666,157,164,6,24,7119032,0,7
1,0,1139483,98,105,20,47,1135756,1,6
0,0,5949017,152,159,7,35,5946681,1,7
0,0,1143911,99,106,18,51,1140042,1,6
0,0,583704,129,136,31,3,582196,0,8
0,0,1703058,33,30,18,11,1701376,1,5
0,0,3105,104,111,23,53,838,1,6
0,0,4513,26,23,31,10,785,0,5
0,0,990197,94,101,18,14,986493,1,6
0,0,4293498,38,35,18,11,4292311,1,5
0,0,1152291,102,109,14,51,1148608,1,6
0,0,1678839,88,95,14,3,1675105,1,6
0,0,2259949,192,199,7,32,2258465,1,7
0,0,77533,19,20,28,23,73331,1,4
0,0,422887,103,110,18,53,419138,1,6
0,0,3622347,85,92,18,3,3618703,0,6
0,0,5971756,154,161,6,24,5968445,0,7
0,0,15794397,187,194,7,24,15790722,0,7
0,0,2626786,37,34,18,11,2624759,0,5
0,0,1698923,113,120,18,39,1695120,1,6
0,0,129819,57,62,18,10,126013,1,5
0,0,16013824,188,195,6,24,16010084,1,7
0,0,10462169,173,180,6,24,10459962,1,7
0,0,278985,131,138,31,12,276142,0,8
0,0,4527437,87,94,5,38,4523676,0,6
0,0,39991,8,2,32,19,37926,1,0
0,0,78806,22,14,28,30,75012,1,3
0,0,209762,106,113,18,2,205917,0,6
0,0,2452752,4,86,12,12,2449024,0,5
0,0,3071,191,198,7,17,1,1,7
0,0,6072691,155,162,6,35,6068918,1,7
0,0,1313993,31,28,33,11,1312530,0,5
0,0,2416530,141,148,6,24,2412853,0,7
0,0,3663817,3,42,10,12,3660173,0,5
0,0,5954817,153,160,6,24,5951374,1,7
0,0,1171908,5,49,1,8,1168174,1,5
0,0,324588,63,68,18,10,320857,0,5
0,0,89469,56,61,18,10,85705,0,5
