GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,112659,181,2,1,8,111770,1
0,839949,139,0,0,5,839030,0
0,1026191,30,0,0,0,1025282,1
0,3610921,95,0,0,0,3610027,1
1,155789,190,2,1,10,154923,0
1,3118809,83,2,1,0,3118143,0
0,1174013,35,0,0,0,1173317,1
0,95815,157,0,0,7,95057,1
0,583967,15,0,0,0,583080,1
1,165870,7,2,1,0,165091,0
1,275737,130,2,1,4,274820,1
0,2252035,65,0,0,0,2251144,0
0,2004091,149,0,0,6,2003193,0
0,2783867,176,0,0,7,2782938,0
0,199181,129,0,0,4,198480,1
0,7961,154,0,0,7,7128,1
1,93377,182,2,1,9,92506,0
0,3031781,81,0,0,0,3030872,1
0,616887,17,0,0,0,616004,1
1,129373,6,2,1,0,128459,0
1,2870102,75,2,1,0,2869325,0
0,3882969,103,0,0,0,3882101,1
0,1767921,133,0,0,4,1767010,0
0,3868423,102,0,0,0,3867484,1
0,2607933,197,0,0,12,2607058,0
0,1893252,54,0,0,0,1892656,1
1,2212759,164,2,1,7,2212110,0
1,2537510,67,2,1,0,2536628,0
0,1194078,36,0,0,0,1193275,0
0,2545626,195,0,0,12,2544759,1
0,179067,159,0,0,7,178182,1
0,1930786,56,0,0,0,1929878,1
1,42700,194,2,1,12,41878,0
1,2956805,78,2,1,0,2956075,1
0,2733039,203,0,0,12,2732154,0
0,983675,27,0,0,0,982762,1
1,2646027,173,2,1,7,2645141,0
0,3168386,84,0,0,0,3167475,0
1,1613672,46,2,1,0,1613054,0
0,1786331,134,0,0,4,1785448,0
1,38833,125,2,1,4,38004,1
0,64524,122,0,0,3,63623,1
0,119359,214,0,0,13,118488,0
0,1291545,119,0,0,2,1290640,0
0,2801127,206,0,0,12,2800200,0
0,1318081,120,0,0,2,1317200,0
1,2698387,202,2,1,12,2697497,0
0,2307482,66,0,0,0,2306646,0
0,97344,127,0,0,4,96440,1
0,46753,2,0,0,0,45868,0
0,1186857,115,0,0,2,1185970,0
0,3003728,80,0,0,0,3002854,1
0,14893,124,0,0,4,13998,1
0,254865,162,0,0,7,253708,1
0,43075,179,0,0,8,42181,1
0,4754,107,0,0,1,3889,1
0,322301,132,0,0,4,321431,1
0,2312685,166,0,0,7,2311817,1
0,2995898,211,0,0,12,2995002,0
1,3220661,87,2,1,0,3220015,1
0,2949731,77,0,0,0,2948776,1
0,38163,141,0,0,6,37286,1
0,880743,25,0,0,0,879833,0
1,3347574,88,2,1,0,3346878,0
1,1417676,42,2,1,0,1417041,0
1,1801661,135,2,1,4,1800772,0
0,2367422,167,0,0,7,2366716,0
1,34996,193,2,1,11,34098,1
0,105637,5,0,0,0,104764,0
0,289183,131,0,0,4,288291,1
0,1908900,55,0,0,0,1907989,1
0,33425,178,0,0,8,32546,0
0,80766,212,0,0,13,79828,1
0,2179730,63,0,0,0,2178836,0
0,56816,187,0,0,10,55936,1
0,3550296,93,0,0,0,3549573,1
0,2821965,207,0,0,12,2821073,0
0,364621,11,0,0,0,363730,0
0,1094682,33,0,0,0,1093809,0
0,857958,24,0,0,0,857048,0
1,2705515,71,2,1,0,2704850,1
0,76101,156,0,0,7,75205,1
0,1770959,49,0,0,0,1770066,1
0,3910556,105,0,0,0,3909665,1
0,2634567,199,0,0,12,2633713,0
1,2926376,209,2,1,12,2925636,0
0,1248359,39,0,0,0,1247462,0
1,78507,126,2,1,4,77618,1
0,93604,213,0,0,13,92715,1
0,820,153,0,0,7,152,1
0,815039,22,0,0,0,814169,0
1,2783215,205,2,1,12,2782301,0
0,113300,158,0,0,7,112144,1
0,133377,189,0,0,10,132540,1
0,11796,0,0,0,0,10901,0
1,146106,128,2,1,4,145433,1
0,1284813,111,0,0,1,1283955,1
1,2877942,76,2,1,0,2877270,0
1,2726363,72,2,1,0,2725684,0
0,120842,109,0,0,1,119945,1
0,1153637,34,0,0,0,1152742,1
0,2008858,59,0,0,0,2007978,1
0,2596095,171,0,0,7,2595159,0
1,759899,21,2,1,0,759170,0
1,2551606,170,2,1,7,2550972,0
1,1040077,31,2,1,0,1039506,1
0,346732,10,0,0,0,345835,0
1,2932579,210,2,1,12,2931935,0
1,4378,123,2,1,4,3485,1
0,826454,23,0,0,0,825605,0
0,127918,215,0,0,13,127024,1
0,84763,4,0,0,0,83884,0
0,1852658,137,0,0,4,1851750,0
0,1009343,29,0,0,0,1008447,1
1,3052381,82,2,1,0,3051492,0
0,2127433,185,0,0,9,2126559,0
0,2662826,201,0,0,12,2661928,0
1,2815974,74,2,1,0,2815301,1
0,43615,155,0,0,7,42720,1
0,2027332,60,0,0,0,2026451,1
0,2051827,152,0,0,6,2050966,1
0,65756,142,0,0,6,64848,1
1,2652248,200,2,1,12,2651353,0
1,3659876,97,2,1,0,3658970,1
0,2564908,68,0,0,0,2564013,1
1,3954382,106,2,1,0,3953716,1
0,2157748,62,0,0,0,2156854,0
0,1347591,41,0,0,0,1346693,0
1,526126,14,2,1,0,525496,1
0,10693,177,0,0,8,9931,1
0,1230850,38,1,0,0,1230443,0
0,1872146,138,0,0,4,1871256,0
1,3175328,85,2,1,0,3174631,0
0,2771720,175,0,0,7,2770833,0
0,743255,20,0,0,0,742382,0
1,3379061,89,2,1,0,3378314,0
1,3182281,86,2,1,0,3181624,0
0,3482173,91,0,0,0,3481283,1
0,1210237,37,0,0,0,1209330,0
1,988351,28,2,1,0,987725,1
1,324293,163,2,1,7,323385,0
0,1438969,43,0,0,0,1438094,0
0,3892299,104,0,0,0,3891419,1
1,3743061,100,2,1,0,3742382,1
1,84968,143,2,1,6,84024,1
0,2097475,184,0,0,9,2096692,0
0,1327411,40,0,0,0,1326527,0
0,237285,161,0,0,7,236377,1
0,189169,219,0,0,13,188272,1
1,2218472,64,2,1,0,2217756,0
0,67225,3,0,0,0,66335,0
0,1205860,116,0,0,2,1204942,0
0,1827968,51,0,0,0,1827078,1
0,2021370,150,0,0,6,2020462,0
0,33872,1,0,0,0,33277,0
1,77458,108,2,1,1,76610,1
0,1150468,114,0,0,2,1149549,0
0,1594881,45,0,0,0,1594014,0
0,2200677,186,0,0,9,2199788,0
0,3426722,90,0,0,0,3425850,0
1,1715761,48,2,1,0,1715156,1
0,1062170,32,0,0,0,1061271,1
1,121515,144,2,1,6,120611,1
0,251301,8,0,0,0,250440,0
0,2574717,196,0,0,12,2573812,0
1,906554,26,2,1,0,905921,0
1,62971,180,2,1,8,62301,1
