BoigSardanistaSardanaId,ComposerName,EditionCount,MusicsperlacoblaSardanaId
9567.0,178,23.0,51
15003.0,245,35.0,376
7048.0,115,27.0,376
11184.0,244,31.0,120
4818.0,212,31.0,170
3881.0,127,29.0,59
2142.0,230,27.0,66
27444.0,18,,235
6813.0,57,33.0,344
29764.0,244,31.0,376
2973.0,73,43.0,177
31400.0,224,25.0,373
6453.0,172,35.0,376
8117.0,245,24.0,279
5143.0,137,28.0,101
2979.0,73,31.0,178
26662.0,39,,376
7126.0,203,29.0,332
12105.0,64,,376
32561.0,152,,376
14187.0,25,18.0,173
29961.0,79,42.0,87
32862.0,211,25.0,376
12328.0,212,31.0,171
15991.0,172,33.0,322
28320.0,242,35.0,112
8369.0,193,37.0,376
8093.0,68,29.0,277
4068.0,154,29.0,269
20679.0,237,29.0,35
14549.0,26,,376
28764.0,210,25.0,376
15611.0,82,,376
9862.0,127,31.0,56
1536.0,207,43.0,221
24212.0,111,27.0,376
28458.0,207,,376
28815.0,244,29.0,376
6950.0,207,33.0,222
11566.0,72,31.0,308
4070.0,154,41.0,268
26004.0,244,33.0,126
15818.0,27,35.0,335
136.0,252,31.0,376
851.0,73,35.0,176
29313.0,244,37.0,376
12890.0,120,30.0,376
31861.0,247,21.0,376
15067.0,50,39.0,376
20103.0,21,27.0,376
7956.0,208,25.0,376
24633.0,40,27.0,376
6752.0,12,33.0,5
2148.0,171,37.0,362
20326.0,19,43.0,360
1258.0,244,37.0,122
22454.0,189,,314
5190.0,97,22.0,146
19093.0,144,34.0,169
29853.0,39,29.0,376
31971.0,8,25.0,376
19841.0,58,,90
19756.0,46,33.0,376
2423.0,6,,376
19196.0,135,33.0,229
1970.0,73,44.0,356
23540.0,244,33.0,123
36237.0,179,,259
6147.0,157,24.0,180
32568.0,39,31.0,376
24847.0,257,,376
19589.0,151,,376
1332.0,56,29.0,297
30588.0,79,41.0,376
9268.0,2,28.0,41
4540.0,184,35.0,376
11196.0,244,29.0,376
21195.0,65,26.0,226
21930.0,225,21.0,329
23079.0,6,,292
1048.0,244,29.0,376
1293.0,124,33.0,376
24628.0,104,34.0,376
2824.0,52,37.0,142
3969.0,142,25.0,144
18913.0,64,,155
11928.0,64,33.0,376
12896.0,257,,376
6077.0,103,23.0,376
25897.0,42,45.0,376
15704.0,106,41.0,376
5194.0,97,24.0,147
20434.0,108,,316
6346.0,18,35.0,237
33046.0,83,28.0,376
20473.0,33,,376
9078.0,147,37.0,376
14431.0,26,29.0,376
19588.0,151,,376
3689.0,109,31.0,347
19372.0,113,21.0,376
2292.0,17,33.0,224
28792.0,130,37.0,376
10150.0,132,,76
13983.0,164,25.0,232
12262.0,18,35.0,236
10553.0,240,28.0,97
29191.0,244,27.0,134
412.0,81,41.0,317
4761.0,203,35.0,331
31464.0,187,17.0,376
7416.0,93,,376
3782.0,116,,376
1886.0,26,29.0,256
