GeneType,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition,StrandOrientation
0,12909,144,1,10807,1
0,6110,100,1,3849,0
1,457048,91,0,454787,0
0,478833,231,1,476677,0
0,16869,153,1,14662,0
1,552888,219,0,550654,0
1,20192,202,0,18165,1
0,3770,52,2,732,1
1,828777,109,0,827212,1
1,9061,57,0,6806,1
0,2776,156,1,509,0
1,211189,118,0,209180,1
1,7765,30,0,5519,1
0,3747,24,1,1363,1
0,692573,71,1,690150,0
0,27924,6,3,26149,1
0,763294,175,1,761027,0
0,1178466,117,1,1176085,0
1,53359,116,0,52601,1
1,96434,222,0,94266,1
1,45480,196,0,43330,1
0,604953,81,1,602554,0
1,5633,12,0,4134,0
1,813661,181,0,811541,0
0,4215,73,1,1969,1
0,480713,38,1,478230,0
1,114439,8,0,112868,1
0,14957,65,1,12933,0
1,356577,107,0,354673,0
0,45278,101,1,42840,0
1,50723,122,0,48507,1
1,562476,172,0,560179,0
0,56175,86,1,53914,1
1,1621,66,0,2,1
0,4679,115,1,2307,1
0,11646,125,1,9286,1
0,487264,96,1,485114,0
0,47037,177,1,44773,1
0,371476,171,1,369323,0
0,477337,10,3,476408,0
0,828692,194,1,827244,1
1,909033,33,0,906619,0
0,1062,3,3,1,0
0,15153,208,1,12949,1
1,81519,11,0,79698,1
0,65232,218,1,62692,1
0,710857,50,2,709519,0
0,76316,29,1,74154,1
1,799420,225,0,796943,0
0,3230,129,1,921,1
0,2056,51,3,2,1
0,4947,46,1,2638,0
1,441740,94,0,439797,1
0,2326647,17,3,2325364,0
1,777368,224,0,775140,0
1,51771,234,0,49540,1
0,59089,41,1,56687,1
1,113111,167,0,111105,1
0,79561,119,1,77369,1
1,1451239,130,0,1449053,0
0,1009290,45,1,1006993,0
1,170211,124,0,168412,1
0,4516,55,3,3179,1
0,611448,112,2,610807,0
0,5046,159,1,2860,1
1,1375691,121,0,1373202,0
0,4025,165,1,1761,1
1,224206,201,0,222371,1
1,689616,83,0,687517,0
1,372955,230,0,370655,1
1,1204656,197,0,1202680,0
1,11060,143,0,8994,1
1,2096,147,0,747,1
0,1138,5,3,2,0
1,8253,103,0,6340,1
1,1189025,188,0,1186812,0
1,496899,102,0,495853,0
0,1474,16,3,101,1
0,1039862,77,1,1037046,0
0,20107,70,1,17801,1
0,14203,59,1,11819,1
0,391932,7,1,389746,1
0,3932,162,1,1401,0
0,915393,64,2,914149,0
0,244454,158,2,243822,0
0,394758,20,2,393970,0
0,574603,169,1,572120,0
1,4883,42,0,2628,1
1,519612,204,0,517492,1
0,2976,164,1,781,0
0,1159648,145,1,1157084,0
0,7454,54,1,5259,1
1,654471,76,0,652312,1
0,2907,36,1,667,0
0,4593,1,1,2230,1
0,1705791,90,1,1703299,1
1,598394,168,0,596190,0
0,2152,9,1,38,0
0,507624,191,1,505363,0
1,459000,173,0,456733,0
1,123424,232,0,121439,0
1,805063,179,0,803291,0
0,3147,43,1,535,1
0,7548,56,1,5362,0
0,11573,110,1,9210,0
0,81116,4,2,80040,1
0,707127,49,1,704929,0
0,351915,200,2,350539,1
0,6111,23,2,4843,1
1,299939,227,0,297915,1
0,115059,160,1,112891,1
0,1036,14,3,2,1
1,763015,84,0,760970,0
1,547726,136,0,545198,0
0,19404,199,1,17227,0
0,53099,223,1,50910,1
0,2191081,89,1,2188577,1
1,52834,183,0,50840,0
1,13918,123,0,11750,1
1,18062,135,0,16122,1
1,436942,176,0,434816,0
1,34512,92,0,32440,1
0,5683,58,3,3845,0
1,1835456,207,0,1833030,0
1,731499,32,0,729406,0
0,482055,113,1,479794,0
1,89110,209,0,86993,1
0,92121,141,1,90979,1
0,7735,185,1,5258,1
0,2352753,132,2,2351474,0
1,5117,217,0,2943,0
0,120751,186,3,119534,1
0,9642,212,1,7252,0
0,28514,111,1,26043,0
0,1699,87,3,101,1
1,3774,18,0,1570,0
1,468090,40,0,465892,0
0,3637,163,2,1680,1
1,619207,205,0,617003,0
0,369971,62,1,367785,0
1,10067,28,0,8418,1
1,1108,161,0,1,0
0,3468,72,1,1171,0
0,1009265,78,1,1006986,0
0,560608,180,1,558551,0
0,28523,82,1,26538,1
0,2650,25,1,386,1
0,6868,184,1,4559,1
0,50074,189,1,47909,1
0,487691,31,1,485538,0
1,17178,108,0,14941,1
0,669010,134,1,666635,0
0,2335,170,3,101,1
0,798,166,3,1,1
1,1167843,146,0,1165567,0
0,140815,228,2,140096,1
1,18493,47,0,16673,1
0,5471,139,1,3207,1
0,5333,21,1,3093,1
0,59387,95,3,57738,1
0,477141,198,2,476586,0
0,5583,99,1,3223,0
1,40877,203,0,40377,1
1,636865,80,0,634829,0
0,180595,120,1,178343,0
0,827,13,2,3,0
1,122003,229,0,119982,1
0,16433,193,2,14709,1
1,35613,195,0,33460,1
1,16106,74,0,14127,0
0,194620,126,1,192110,0
0,85349,67,2,84366,1
0,303473,216,3,301437,1
0,49973,26,2,48072,1
0,7225,106,1,4853,0
0,3201,61,2,2560,1
0,17152,138,1,14774,1
0,43304,157,1,40902,1
0,52112,104,1,49749,1
0,316113,226,1,313945,1
0,3704,22,1,1446,1
1,12933,114,0,10912,1
1,60946,148,0,58898,1
1,1287,19,0,1,0
0,3133,53,1,824,1
0,23314,236,1,21104,0
0,18709,35,1,16532,1
1,411395,37,0,410220,0
0,66424,233,1,64094,1
1,469090,34,0,466913,0
0,4184,235,1,1923,1
0,754574,174,1,752403,0
0,315631,215,1,313523,1
1,480279,206,0,478171,0
1,609383,79,0,607077,0
0,377705,98,1,375522,0
0,400277,27,1,398004,0
0,702444,213,3,701878,0
1,369509,63,0,367296,1
0,5540,44,2,3963,1
0,526037,39,3,525222,0
0,57522,127,1,55348,1
1,28472,221,0,26358,1
1,3258,210,0,754,1
1,961848,155,0,959689,0
1,16197,178,0,13717,1
0,1669,48,3,2,1
1,399311,93,0,397290,0
0,646569,182,2,644707,0
1,27218,69,0,24993,1
0,2152465,190,1,2150273,0
1,5726,0,0,3723,0
1,1909430,131,0,1907460,1
0,1835184,68,1,1832923,0
0,27070,142,1,24536,1
0,311650,214,1,309482,1
0,6765,192,1,4204,1
0,1518,60,3,1,1
1,477984,152,0,475453,0
1,19107,105,0,16912,1
1,2336,150,0,3,1
1,468765,85,0,466540,0
0,4334,97,1,1968,1
0,71096,140,1,68619,1
0,909502,75,1,907241,0
1,1116077,154,0,1113876,0
1,62927,151,0,60651,1
0,7491,128,1,5182,1
0,1333,15,2,3,0
1,811009,211,0,808763,0
0,1475,2,3,3,0
0,471716,220,2,470270,0
0,2123600,88,1,2121408,0
1,669243,187,0,667156,0
1,252998,133,0,250869,0
0,6479,137,2,5838,1
0,68193,149,1,66007,1
