EntityType,ProfileImage,BirthDate,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,EventsParticipated,Gender,CommonsCategory,HeightCm,Birthplace,ProCyclingStatsCyclistId,UciRiderId,Profession,CyclingArchivesCyclistId
1,5,6,10023.0,7,1,794.0,13,1,7,175.0,2,140233.0,54679.0,1,22431.0
0,12,8,,3,8,,7,0,5,,5,,,0,
0,11,8,,3,8,,0,0,0,,5,,,0,
1,8,3,3891.0,5,4,716.0,10,1,10,183.0,0,140196.0,32532.0,2,11292.0
1,9,2,2023.0,2,5,18.0,13,1,11,173.0,3,140422.0,32099.0,1,14358.0
0,3,8,,3,8,,4,0,4,,5,,,0,
0,2,8,,3,8,,1,0,1,,5,,,0,
0,11,8,,3,8,,5,0,14,,5,,,0,
0,0,8,,3,8,,3,0,3,,5,,,0,
1,6,4,4377.0,1,3,31.0,8,1,9,181.0,8,140865.0,198213.0,1,18964.0
1,4,5,10536.0,3,0,948.0,12,1,6,183.0,7,140489.0,60455.0,1,46549.0
0,1,8,,3,8,,6,0,15,,5,,,0,
1,10,0,67.0,6,7,184.0,13,1,13,181.0,1,140418.0,12711.0,1,7526.0
1,13,7,27151.0,0,6,45754.0,9,1,12,168.0,4,194471.0,149475.0,1,125585.0
0,11,8,,3,8,,2,0,2,,5,,,0,
0,11,8,,3,8,,11,0,14,,5,,,0,
1,7,1,1999.0,4,2,452.0,13,1,8,165.0,6,140438.0,26925.0,1,11870.0
